0 0 0 ..CC.MDD.K.MAA.K.NIEEL.NI.JLGGHHJ... 
1 1 0 ..CC.MDD.K.MAA.K.NIEE..NI.JLGGHHJL.. L99 
1 1 0 ..CC.MDD.K.M.AAK.NIEEL.NI.JLGGHHJ... A99 
1 1 0 ..CC.M.DDK.MAA.K.NIEEL.NI.JLGGHHJ... D99 
1 1 0 ...CCMDD.K.MAA.K.NIEEL.NI.JLGGHHJ... C99 
1 1 0 CC...MDD.K.MAA.K.NIEEL.NI.JLGGHHJ... C98 
1 1 0 .CC..MDD.K.MAA.K.NIEEL.NI.JLGGHHJ... C99 
2 2 0 .CCK.MDD.K.MAA...NIEEL.NI.JLGGHHJ... C99 K99 
2 2 0 .CC..MDD.K.MAA.K.NIEE..NI.JLGGHHJL.. C99 L99 
2 2 0 CC...MDD.K.MAA.K.NIEE..NI.JLGGHHJL.. C98 L99 
2 2 0 ...CCMDD.K.MAA.K.NIEE..NI.JLGGHHJL.. C99 L99 
2 2 0 ..CC.M.DDK.MAA.K.NIEE..NI.JLGGHHJL.. D99 L99 
2 2 0 ..CC.MDD.K.M.AAK.NIEE..NI.JLGGHHJL.. A99 L99 
2 2 0 ..CC.MDD...MAA.K.NIEEK.NI.JLGGHHJL.. K99 L99 
2 2 0 ..CC.MDD.K.MAA.K.NI.EE.NI.JLGGHHJL.. E99 L99 
2 2 0 ..CC.MDD.K.MAA.K.NI..EENI.JLGGHHJL.. E98 L99 
2 2 0 .CC..MDD.K.M.AAK.NIEEL.NI.JLGGHHJ... A99 C99 
2 2 0 CC...MDD.K.M.AAK.NIEEL.NI.JLGGHHJ... A99 C98 
2 2 0 ...CCMDD.K.M.AAK.NIEEL.NI.JLGGHHJ... A99 C99 
2 2 0 ..CC.M.DDK.M.AAK.NIEEL.NI.JLGGHHJ... A99 D99 
2 2 0 ..CC.MDD.K.MIAAK.NIEEL.N..JLGGHHJ... A99 I99 
2 2 0 .CC..M.DDK.MAA.K.NIEEL.NI.JLGGHHJ... C99 D99 
2 2 0 CC...M.DDK.MAA.K.NIEEL.NI.JLGGHHJ... C98 D99 
2 2 0 ...CCM.DDK.MAA.K.NIEEL.NI.JLGGHHJ... C99 D99 
2 2 0 CC.K.MDD.K.MAA...NIEEL.NI.JLGGHHJ... C98 K99 
3 3 0 CC.K.MDD.K.MAA.L.NIEEL.NI.J.GGHHJ... C98 K99 L99 
3 3 0 CC.K.MDD.K.M...AANIEEL.NI.JLGGHHJ... A97 C98 K99 
3 3 0 CC.K.MDD.K.M..AA.NIEEL.NI.JLGGHHJ... A98 C98 K99 
3 3 0 .CCK.M.DDK.MAA...NIEEL.NI.JLGGHHJ... C99 D99 K99 
3 3 0 .CCK.MDD.K.M.AA..NIEEL.NI.JLGGHHJ... A99 C99 K99 
3 3 0 .CCK.MDD.K.M..AA.NIEEL.NI.JLGGHHJ... A98 C99 K99 
3 3 0 .CCK.MDD.K.M...AANIEEL.NI.JLGGHHJ... A97 C99 K99 
3 3 0 .CCK.MDD.K.MAA.L.NIEEL.NI.J.GGHHJ... C99 K99 L99 
3 3 0 .CCK.MDD.K.MAA...NIEE..NI.JLGGHHJL.. C99 K99 L99 
3 3 0 .CC..M.DDK.MAA.K.NIEE..NI.JLGGHHJL.. C99 D99 L99 
3 3 0 .CC..MDD.K.M.AAK.NIEE..NI.JLGGHHJL.. A99 C99 L99 
3 3 0 .CC..MDD...MAA.K.NIEEK.NI.JLGGHHJL.. C99 K99 L99 
3 3 0 .CC..MDD.K.MAA.K.NI.EE.NI.JLGGHHJL.. C99 E99 L99 
3 3 0 .CC..MDD.K.MAA.K.NI..EENI.JLGGHHJL.. C99 E98 L99 
3 3 0 CC...M.DDK.MAA.K.NIEE..NI.JLGGHHJL.. C98 D99 L99 
3 3 0 CC.K.MDD.K.MAA...NIEE..NI.JLGGHHJL.. C98 K99 L99 
3 3 0 CC...MDD.K.M.AAK.NIEE..NI.JLGGHHJL.. A99 C98 L99 
3 3 0 CC...MDD...MAA.K.NIEEK.NI.JLGGHHJL.. C98 K99 L99 
3 3 0 CC...MDD.K.MAA.K.NI.EE.NI.JLGGHHJL.. C98 E99 L99 
3 3 0 CC...MDD.K.MAA.K.NI..EENI.JLGGHHJL.. C98 E98 L99 
3 3 0 ...CCM.DDK.MAA.K.NIEE..NI.JLGGHHJL.. C99 D99 L99 
3 3 0 ...CCMDD.K.M.AAK.NIEE..NI.JLGGHHJL.. A99 C99 L99 
3 3 0 ...CCMDD...MAA.K.NIEEK.NI.JLGGHHJL.. C99 K99 L99 
3 3 0 ...CCMDD.K.MAA.K.NI.EE.NI.JLGGHHJL.. C99 E99 L99 
3 3 0 ...CCMDD.K.MAA.K.NI..EENI.JLGGHHJL.. C99 E98 L99 
3 3 0 ..CC.M.DDK.M.AAK.NIEE..NI.JLGGHHJL.. A99 D99 L99 
3 3 0 ..CC.M.DD..MAA.K.NIEEK.NI.JLGGHHJL.. D99 K99 L99 
3 3 0 ..CC.M.DDK.MAA.K.NI.EE.NI.JLGGHHJL.. D99 E99 L99 
3 3 0 ..CC.M.DDK.MAA.K.NI..EENI.JLGGHHJL.. D99 E98 L99 
3 3 0 ..CC.MDD...M.AAK.NIEEK.NI.JLGGHHJL.. A99 K99 L99 
3 3 0 ..CC.MDD.K.MIAAK.NIEE..N..JLGGHHJL.. A99 I99 L99 
3 3 0 ..CC.MDD.K.M.AAK.NI.EE.NI.JLGGHHJL.. A99 E99 L99 
3 3 0 ..CC.MDD.K.M.AAK.NI..EENI.JLGGHHJL.. A99 E98 L99 
3 3 0 ..CC.M..DD.MAA.K.NIEEK.NI.JLGGHHJL.. D98 K99 L99 
3 3 0 ..CC.M...DDMAA.K.NIEEK.NI.JLGGHHJL.. D97 K99 L99 
3 3 0 ..CC.MDD.K.MAA.K.NI.JEENI.JLGGHH.L.. E98 J99 L99 
3 3 0 ..CC.MDD.K.MAAJK.NI.JEENI..LGGHH.L.. E98 J98 L99 
3 3 0 ..CC.MDDJK.MAAJK.NI..EENI..LGGHH.L.. E98 J97 L99 
3 3 0 .CC..M.DDK.M.AAK.NIEEL.NI.JLGGHHJ... A99 C99 D99 
3 3 0 .CC..MDD.K.MIAAK.NIEEL.N..JLGGHHJ... A99 C99 I99 
3 3 0 CC...M.DDK.M.AAK.NIEEL.NI.JLGGHHJ... A99 C98 D99 
3 3 0 CC.K.MDD.K.M.AA..NIEEL.NI.JLGGHHJ... A99 C98 K99 
3 3 0 CC...MDD.K.MIAAK.NIEEL.N..JLGGHHJ... A99 C98 I99 
3 3 0 ...CCM.DDK.M.AAK.NIEEL.NI.JLGGHHJ... A99 C99 D99 
3 3 0 ...CCMDD.K.MIAAK.NIEEL.N..JLGGHHJ... A99 C99 I99 
3 3 0 ..CC.M.DDK.MIAAK.NIEEL.N..JLGGHHJ... A99 D99 I99 
3 3 0 ..CC.MIDDK.MIAAK.N.EEL.N..JLGGHHJ... A99 D99 I98 
3 3 0 I.CC.MIDDK.M.AAK.N.EEL.N..JLGGHHJ... A99 D99 I97 
3 3 0 CC.K.M.DDK.MAA...NIEEL.NI.JLGGHHJ... C98 D99 K99 
4 4 0 ..JCCMDDJK.MAA.K.NI..EENI..LGGHH.L.. C99 E98 J96 L99 
4 4 0 ..CC.M.DD..M.AAK.NIEEK.NI.JLGGHHJL.. A99 D99 K99 L99 
4 4 0 ..CC.M.DDK.MIAAK.NIEE..N..JLGGHHJL.. A99 D99 I99 L99 
4 4 0 ..CC.MIDDK.MIAAK.N.EE..N..JLGGHHJL.. A99 D99 I98 L99 
4 4 0 I.CC.MIDDK.M.AAK.N.EE..N..JLGGHHJL.. A99 D99 I97 L99 
4 4 0 ..CC.M.DDK.M.AAK.NI.EE.NI.JLGGHHJL.. A99 D99 E99 L99 
4 4 0 ..CC.M.DDK.M.AAK.NI..EENI.JLGGHHJL.. A99 D99 E98 L99 
4 4 0 ..CC.M.DDK.MAA.K.NI.JEENI.JLGGHH.L.. D99 E98 J99 L99 
4 4 0 ..CC.M.DDK.MAAJK.NI.JEENI..LGGHH.L.. D99 E98 J98 L99 
4 4 0 ..CC.M..DD.M.AAK.NIEEK.NI.JLGGHHJL.. A99 D98 K99 L99 
4 4 0 ..CC.M...DDM.AAK.NIEEK.NI.JLGGHHJL.. A99 D97 K99 L99 
4 4 0 ..CC.MDD...MIAAK.NIEEK.N..JLGGHHJL.. A99 I99 K99 L99 
4 4 0 ..CC.MDD.K.MIAAK.NI.EE.N..JLGGHHJL.. A99 E99 I99 L99 
4 4 0 ..CC.MDD.K.MIAAK.NI..EEN..JLGGHHJL.. A99 E98 I99 L99 
4 4 0 ..CC.MDD.K.M.AAK.NI.JEENI.JLGGHH.L.. A99 E98 J99 L99 
4 4 0 ..CC.MDD.K.MAA.K.NI.JEENI.JLGG.HHL.. E98 H99 J99 L99 
4 4 0 ..CC.MDD.K.MAAJK.NI.JEENI..LGG.HHL.. E98 H99 J98 L99 
4 4 0 ..CC.MDDJK.MAAJK.NI.EE.NI..LGGHH.L.. E97 J97 L99 
4 4 0 ..CC.MDDJK.MAAJK.NIEE..NI..LGGHH.L.. E96 J97 L99 
4 4 0 ..CC.MDDJK.MAAJK.NI..EENI..LGG.HHL.. E98 H99 J97 L99 
4 4 0 .CC..M.DDK.MIAAK.NIEEL.N..JLGGHHJ... A99 C99 D99 I99 
4 4 0 .CC..MIDDK.MIAAK.N.EEL.N..JLGGHHJ... A99 C99 D99 I98 
4 4 0 ICC..MIDDK.M.AAK.N.EEL.N..JLGGHHJ... A99 C99 D99 I97 
4 4 0 CC.K.M.DDK.M.AA..NIEEL.NI.JLGGHHJ... A99 C98 D99 K99 
4 4 0 CC...M.DDK.MIAAK.NIEEL.N..JLGGHHJ... A99 C98 D99 I99 
4 4 0 CC...MIDDK.MIAAK.N.EEL.N..JLGGHHJ... A99 C98 D99 I98 
4 4 0 CC.K.MDD.K.MIAA..NIEEL.N..JLGGHHJ... A99 C98 I99 K99 
4 4 0 ...CCM.DDK.MIAAK.NIEEL.N..JLGGHHJ... A99 C99 D99 I99 
4 4 0 ...CCMIDDK.MIAAK.N.EEL.N..JLGGHHJ... A99 C99 D99 I98 
4 4 0 I..CCMIDDK.M.AAK.N.EEL.N..JLGGHHJ... A99 C99 D99 I97 
4 4 0 ..CC.MIDDK.MIAAK.NEE.L.N..JLGGHHJ... A99 D99 E99 I98 
4 4 0 I.CC.MIDDK.MAA.K.N.EEL.N..JLGGHHJ... A98 D99 I97 
4 4 0 I.CC.MIDDK.M.AAK.NEE.L.N..JLGGHHJ... A99 D99 E99 I97 
5 5 0 I.CC.MIDDK.M.AAK.NEEJL.N..JLGGHH.... A99 D99 E99 I97 J99 
5 5 0 CC.K.M.DDK.M.AAL.NIEEL.NI.J.GGHHJ... A99 C98 D99 K99 L99 
5 5 0 CC.K.M.DDK.MAA.L.NIEEL.NI.JGG.HHJ... C98 D99 G99 K99 L99 
5 5 0 CC.K.MDD.K.MIAAL.NIEEL.N..J.GGHHJ... A99 C98 I99 K99 L99 
5 5 0 CC.K.MDD.K.M.AAL.NIEEL.NI.JGG.HHJ... A99 C98 G99 K99 L99 
5 5 0 CC.K.MDD.K.MAA.L..IEEL.NI.JGGNHHJ... C98 G99 K99 L99 N99 
5 5 0 CC.K.MDD.K.MAA.L..IEEL..I.JGGNHHJ..N C98 G99 K99 L99 N98 
5 5 0 CC.K.M.DDK.MI..AANIEEL.N..JLGGHHJ... A97 C98 D99 I99 K99 
5 5 0 CC.K.MIDDK.MI..AAN.EEL.N..JLGGHHJ... A97 C98 D99 I98 K99 
5 5 0 CC.K.M.DDK.M...AANIEE..NI.JLGGHHJL.. A97 C98 D99 K99 L99 
5 5 0 CC.K.MDD.K.MI..AANIEE..N..JLGGHHJL.. A97 C98 I99 K99 L99 
5 5 0 CC.K.MDD.K.M...AANI.EE.NI.JLGGHHJL.. A97 C98 E99 K99 L99 
5 5 0 CC.K.MDD.K.M...AANI..EENI.JLGGHHJL.. A97 C98 E98 K99 L99 
5 5 0 CC.K.M.DDK.MI.AA.NIEEL.N..JLGGHHJ... A98 C98 D99 I99 K99 
5 5 0 CC.K.MIDDK.MI.AA.N.EEL.N..JLGGHHJ... A98 C98 D99 I98 K99 
5 5 0 CC.K.M.DDK.M..AA.NIEE..NI.JLGGHHJL.. A98 C98 D99 K99 L99 
5 5 0 CC.K.MDD.K.MI.AA.NIEE..N..JLGGHHJL.. A98 C98 I99 K99 L99 
5 5 0 CC.K.MDD.K.M..AA.NI.EE.NI.JLGGHHJL.. A98 C98 E99 K99 L99 
5 5 0 CC.K.MDD.K.M..AA.NI..EENI.JLGGHHJL.. A98 C98 E98 K99 L99 
5 5 0 .CCK.M.DDK.MIAA..NIEEL.N..JLGGHHJ... A99 C99 D99 I99 K99 
5 5 0 .CCK.MIDDK.MIAA..N.EEL.N..JLGGHHJ... A99 C99 D99 I98 K99 
5 5 0 ICCK.MIDDK.M.AA..N.EEL.N..JLGGHHJ... A99 C99 D99 I97 K99 
5 5 0 .CCK.M.DDK.M.AAL.NIEEL.NI.J.GGHHJ... A99 C99 D99 K99 L99 
5 5 0 .CCK.M.DDK.M.AA..NIEE..NI.JLGGHHJL.. A99 C99 D99 K99 L99 
5 5 0 .CCK.M.DDK.MI.AA.NIEEL.N..JLGGHHJ... A98 C99 D99 I99 K99 
5 5 0 .CCK.MIDDK.MI.AA.N.EEL.N..JLGGHHJ... A98 C99 D99 I98 K99 
5 5 0 ICCK.MIDDK.M..AA.N.EEL.N..JLGGHHJ... A98 C99 D99 I97 K99 
5 5 0 .CCK.M.DDK.M..AA.NIEE..NI.JLGGHHJL.. A98 C99 D99 K99 L99 
5 5 0 .CCK.M.DDK.MI..AANIEEL.N..JLGGHHJ... A97 C99 D99 I99 K99 
5 5 0 .CCK.MIDDK.MI..AAN.EEL.N..JLGGHHJ... A97 C99 D99 I98 K99 
5 5 0 ICCK.MIDDK.M...AAN.EEL.N..JLGGHHJ... A97 C99 D99 I97 K99 
5 5 0 .CCK.M.DDK.M...AANIEE..NI.JLGGHHJL.. A97 C99 D99 K99 L99 
5 5 0 .CCK.M.DDK.MAA.L.NIEEL.NI.JGG.HHJ... C99 D99 G99 K99 L99 
5 5 0 .CCK.M.DDK.MAA...NI.EE.NI.JLGGHHJL.. C99 D99 E99 K99 L99 
5 5 0 .CCK.M.DDK.MAA...NI..EENI.JLGGHHJL.. C99 D99 E98 K99 L99 
5 5 0 .CCK.MDD.K.MIAAL.NIEEL.N..J.GGHHJ... A99 C99 I99 K99 L99 
5 5 0 .CCK.MDD.K.MIAA..NIEE..N..JLGGHHJL.. A99 C99 I99 K99 L99 
5 5 0 .CCK.MDD.K.M.AAL.NIEEL.NI.JGG.HHJ... A99 C99 G99 K99 L99 
5 5 0 .CCK.MDD.K.M.AA..NI.EE.NI.JLGGHHJL.. A99 C99 E99 K99 L99 
5 5 0 .CCK.MDD.K.M.AA..NI..EENI.JLGGHHJL.. A99 C99 E98 K99 L99 
5 5 0 .CCK.MDD.K.MI.AA.NIEE..N..JLGGHHJL.. A98 C99 I99 K99 L99 
5 5 0 .CCK.MDD.K.M..AA.NI.EE.NI.JLGGHHJL.. A98 C99 E99 K99 L99 
5 5 0 .CCK.MDD.K.M..AA.NI..EENI.JLGGHHJL.. A98 C99 E98 K99 L99 
5 5 0 .CCK.MDD.K.MI..AANIEE..N..JLGGHHJL.. A97 C99 I99 K99 L99 
5 5 0 .CCK.MDD.K.M...AANI.EE.NI.JLGGHHJL.. A97 C99 E99 K99 L99 
5 5 0 .CCK.MDD.K.M...AANI..EENI.JLGGHHJL.. A97 C99 E98 K99 L99 
5 5 0 .CCK.MDD.K.MAA.L..IEEL.NI.JGGNHHJ... C99 G99 K99 L99 N99 
5 5 0 .CCK.MDD.K.MAA.L..IEEL..I.JGGNHHJ..N C99 G99 K99 L99 N98 
5 5 0 .CCK.MDD.K.MAA...NI.JEENI.JLGGHH.L.. C99 E98 J99 K99 L99 
5 5 0 .CCK.MDD.K.MAAJ..NI.JEENI..LGGHH.L.. C99 E98 J98 K99 L99 
5 5 0 .CCK.MDDJK.MAAJ..NI..EENI..LGGHH.L.. C99 E98 J97 K99 L99 
5 5 0 .CC..M.DD..M.AAK.NIEEK.NI.JLGGHHJL.. A99 C99 D99 K99 L99 
5 5 0 .CC..M.DDK.MIAAK.NIEE..N..JLGGHHJL.. A99 C99 D99 I99 L99 
5 5 0 .CC..MIDDK.MIAAK.N.EE..N..JLGGHHJL.. A99 C99 D99 I98 L99 
5 5 0 ICC..MIDDK.M.AAK.N.EE..N..JLGGHHJL.. A99 C99 D99 I97 L99 
5 5 0 .CC..M.DDK.M.AAK.NI.EE.NI.JLGGHHJL.. A99 C99 D99 E99 L99 
5 5 0 .CC..M.DDK.M.AAK.NI..EENI.JLGGHHJL.. A99 C99 D99 E98 L99 
5 5 0 .CC..M.DDK.MAA.K.NI.JEENI.JLGGHH.L.. C99 D99 E98 J99 L99 
5 5 0 .CC..M.DDK.MAAJK.NI.JEENI..LGGHH.L.. C99 D99 E98 J98 L99 
5 5 0 .CC..M..DD.M.AAK.NIEEK.NI.JLGGHHJL.. A99 C99 D98 K99 L99 
5 5 0 .CC..M...DDM.AAK.NIEEK.NI.JLGGHHJL.. A99 C99 D97 K99 L99 
5 5 0 .CC..MDD...MIAAK.NIEEK.N..JLGGHHJL.. A99 C99 I99 K99 L99 
5 5 0 .CC..MDD.K.MIAAK.NI.EE.N..JLGGHHJL.. A99 C99 E99 I99 L99 
5 5 0 .CC..MDD.K.MIAAK.NI..EEN..JLGGHHJL.. A99 C99 E98 I99 L99 
5 5 0 .CC..MDD.K.M.AAK.NI.JEENI.JLGGHH.L.. A99 C99 E98 J99 L99 
5 5 0 .CC..MDD.K.MAA.K.NI.JEENI.JLGG.HHL.. C99 E98 H99 J99 L99 
5 5 0 .CC..MDD.K.MAAJK.NI.JEENI..LGG.HHL.. C99 E98 H99 J98 L99 
5 5 0 .CC..MDDJK.MAAJK.NI.EE.NI..LGGHH.L.. C99 E97 J97 L99 
5 5 0 .CC..MDDJK.MAAJK.NIEE..NI..LGGHH.L.. C99 E96 J97 L99 
5 5 0 .CC..MDDJK.MAAJK.NI..EENI..LGG.HHL.. C99 E98 H99 J97 L99 
5 5 0 CC.K.M.DDK.M.AA..NIEE..NI.JLGGHHJL.. A99 C98 D99 K99 L99 
5 5 0 CC.K.M.DDK.MAA...NI.EE.NI.JLGGHHJL.. C98 D99 E99 K99 L99 
5 5 0 CC.K.M.DDK.MAA...NI..EENI.JLGGHHJL.. C98 D99 E98 K99 L99 
5 5 0 CC...M.DD..M.AAK.NIEEK.NI.JLGGHHJL.. A99 C98 D99 K99 L99 
5 5 0 CC...M.DDK.MIAAK.NIEE..N..JLGGHHJL.. A99 C98 D99 I99 L99 
5 5 0 CC...MIDDK.MIAAK.N.EE..N..JLGGHHJL.. A99 C98 D99 I98 L99 
5 5 0 CC...M.DDK.M.AAK.NI.EE.NI.JLGGHHJL.. A99 C98 D99 E99 L99 
5 5 0 CC...M.DDK.M.AAK.NI..EENI.JLGGHHJL.. A99 C98 D99 E98 L99 
5 5 0 CC...M.DDK.MAA.K.NI.JEENI.JLGGHH.L.. C98 D99 E98 J99 L99 
5 5 0 CC...M.DDK.MAAJK.NI.JEENI..LGGHH.L.. C98 D99 E98 J98 L99 
5 5 0 CC.K.MDD.K.MIAA..NIEE..N..JLGGHHJL.. A99 C98 I99 K99 L99 
5 5 0 CC.K.MDD.K.M.AA..NI.EE.NI.JLGGHHJL.. A99 C98 E99 K99 L99 
5 5 0 CC.K.MDD.K.M.AA..NI..EENI.JLGGHHJL.. A99 C98 E98 K99 L99 
5 5 0 CC.K.MDD.K.MAA...NI.JEENI.JLGGHH.L.. C98 E98 J99 K99 L99 
5 5 0 CC.K.MDD.K.MAAJ..NI.JEENI..LGGHH.L.. C98 E98 J98 K99 L99 
5 5 0 CC.K.MDDJK.MAAJ..NI..EENI..LGGHH.L.. C98 E98 J97 K99 L99 
5 5 0 CCJK.MDDJK.MAA...NI..EENI..LGGHH.L.. C98 E98 J96 K99 L99 
5 5 0 CC...M..DD.M.AAK.NIEEK.NI.JLGGHHJL.. A99 C98 D98 K99 L99 
5 5 0 CC...M...DDM.AAK.NIEEK.NI.JLGGHHJL.. A99 C98 D97 K99 L99 
5 5 0 CC...MDD...MIAAK.NIEEK.N..JLGGHHJL.. A99 C98 I99 K99 L99 
5 5 0 CC...MDD.K.MIAAK.NI.EE.N..JLGGHHJL.. A99 C98 E99 I99 L99 
5 5 0 CC...MDD.K.MIAAK.NI..EEN..JLGGHHJL.. A99 C98 E98 I99 L99 
5 5 0 CC...MDD.K.M.AAK.NI.JEENI.JLGGHH.L.. A99 C98 E98 J99 L99 
5 5 0 CC...MDD.K.MAA.K.NI.JEENI.JLGG.HHL.. C98 E98 H99 J99 L99 
5 5 0 CC...MDD.K.MAAJK.NI.JEENI..LGG.HHL.. C98 E98 H99 J98 L99 
5 5 0 CC...MDDJK.MAAJK.NI.EE.NI..LGGHH.L.. C98 E97 J97 L99 
5 5 0 CC...MDDJK.MAAJK.NIEE..NI..LGGHH.L.. C98 E96 J97 L99 
5 5 0 CC...MDDJK.MAAJK.NI..EENI..LGG.HHL.. C98 E98 H99 J97 L99 
5 5 0 CCJ..MDDJK.M.AAK.NI..EENI..LGGHH.L.. A99 C98 E98 J96 L99 
5 5 0 CCJ..MDDJK.MAA.K.NI.EE.NI..LGGHH.L.. C98 E97 J96 L99 
5 5 0 CCJ..MDDJK.MAA.K.NIEE..NI..LGGHH.L.. C98 E96 J96 L99 
5 5 0 CCJ..MDDJK.MAA.K.NI..EENI..LGG.HHL.. C98 E98 H99 J96 L99 
5 5 0 ...CCM.DD..M.AAK.NIEEK.NI.JLGGHHJL.. A99 C99 D99 K99 L99 
5 5 0 ...CCM.DDK.MIAAK.NIEE..N..JLGGHHJL.. A99 C99 D99 I99 L99 
5 5 0 ...CCMIDDK.MIAAK.N.EE..N..JLGGHHJL.. A99 C99 D99 I98 L99 
5 5 0 I..CCMIDDK.M.AAK.N.EE..N..JLGGHHJL.. A99 C99 D99 I97 L99 
5 5 0 ...CCM.DDK.M.AAK.NI.EE.NI.JLGGHHJL.. A99 C99 D99 E99 L99 
5 5 0 ...CCM.DDK.M.AAK.NI..EENI.JLGGHHJL.. A99 C99 D99 E98 L99 
5 5 0 ...CCM.DDK.MAA.K.NI.JEENI.JLGGHH.L.. C99 D99 E98 J99 L99 
5 5 0 ...CCM.DDK.MAAJK.NI.JEENI..LGGHH.L.. C99 D99 E98 J98 L99 
5 5 0 ...CCM..DD.M.AAK.NIEEK.NI.JLGGHHJL.. A99 C99 D98 K99 L99 
5 5 0 ...CCM...DDM.AAK.NIEEK.NI.JLGGHHJL.. A99 C99 D97 K99 L99 
5 5 0 ...CCMDD...MIAAK.NIEEK.N..JLGGHHJL.. A99 C99 I99 K99 L99 
5 5 0 ...CCMDD.K.MIAAK.NI.EE.N..JLGGHHJL.. A99 C99 E99 I99 L99 
5 5 0 ...CCMDD.K.MIAAK.NI..EEN..JLGGHHJL.. A99 C99 E98 I99 L99 
5 5 0 ...CCMDD.K.M.AAK.NI.JEENI.JLGGHH.L.. A99 C99 E98 J99 L99 
5 5 0 ...CCMDD.K.MAA.K.NI.JEENI.JLGG.HHL.. C99 E98 H99 J99 L99 
5 5 0 ...CCMDD.K.MAAJK.NI.JEENI..LGG.HHL.. C99 E98 H99 J98 L99 
5 5 0 ...CCMDDJK.MAAJK.NI.EE.NI..LGGHH.L.. C99 E97 J97 L99 
5 5 0 ...CCMDDJK.MAAJK.NIEE..NI..LGGHH.L.. C99 E96 J97 L99 
5 5 0 ...CCMDDJK.MAAJK.NI..EENI..LGG.HHL.. C99 E98 H99 J97 L99 
5 5 0 ..JCCMDDJK.M.AAK.NI..EENI..LGGHH.L.. A99 C99 E98 J96 L99 
5 5 0 ..JCCMDDJK.MAA.K.NI.EE.NI..LGGHH.L.. C99 E97 J96 L99 
5 5 0 ..JCCMDDJK.MAA.K.NIEE..NI..LGGHH.L.. C99 E96 J96 L99 
5 5 0 ..JCCMDDJK.MAA.K.NI..EENI..LGG.HHL.. C99 E98 H99 J96 L99 
5 5 0 ..CC.M.DD..MIAAK.NIEEK.N..JLGGHHJL.. A99 D99 I99 K99 L99 
5 5 0 ..CC.MIDD..MIAAK.N.EEK.N..JLGGHHJL.. A99 D99 I98 K99 L99 
5 5 0 I.CC.MIDD..M.AAK.N.EEK.N..JLGGHHJL.. A99 D99 I97 K99 L99 
5 5 0 ..CC.M.DDK.MIAAK.NI.EE.N..JLGGHHJL.. A99 D99 E99 I99 L99 
5 5 0 ..CC.M.DDK.MIAAK.NI..EEN..JLGGHHJL.. A99 D99 E98 I99 L99 
5 5 0 ..CC.MIDDK.MIAAK.NEE...N..JLGGHHJL.. A99 D99 E99 I98 L99 
5 5 0 ..CC.MIDDK.MIAAK.N..EE.N..JLGGHHJL.. A99 D99 E99 I98 L99 
5 5 0 ..CC.MIDDK.MIAAK.N...EEN..JLGGHHJL.. A99 D99 E98 I98 L99 
5 5 0 I.CC.MIDDK.MAA.K.N.EE..N..JLGGHHJL.. A98 D99 I97 L99 
5 5 0 I.CC.MIDDK.M.AAK.NEE...N..JLGGHHJL.. A99 D99 E99 I97 L99 
5 5 0 I.CC.MIDDK.M.AAK.N..EE.N..JLGGHHJL.. A99 D99 E99 I97 L99 
5 5 0 I.CC.MIDDK.M.AAK.N...EEN..JLGGHHJL.. A99 D99 E98 I97 L99 
5 5 0 ..CC.M.DDK.M.AAK.NI.JEENI.JLGGHH.L.. A99 D99 E98 J99 L99 
5 5 0 ..CC.M.DDK.MAA.K.NI.JEENI.JLGG.HHL.. D99 E98 H99 J99 L99 
5 5 0 ..CC.M.DDK.MAAJK.NI.JEENI..LGG.HHL.. D99 E98 H99 J98 L99 
5 5 0 ..CC.M..DD.MIAAK.NIEEK.N..JLGGHHJL.. A99 D98 I99 K99 L99 
5 5 0 ..CC.MI.DD.MIAAK.N.EEK.N..JLGGHHJL.. A99 D98 I98 K99 L99 
5 5 0 I.CC.MI.DD.M.AAK.N.EEK.N..JLGGHHJL.. A99 D98 I97 K99 L99 
5 5 0 ..CC.M...DDMIAAK.NIEEK.N..JLGGHHJL.. A99 D97 I99 K99 L99 
5 5 0 ..CC.MI..DDMIAAK.N.EEK.N..JLGGHHJL.. A99 D97 I98 K99 L99 
5 5 0 I.CC.MI..DDM.AAK.N.EEK.N..JLGGHHJL.. A99 D97 I97 K99 L99 
5 5 0 ..CC.MDD.K.MIAAK.NI.JEEN..JLGGHH.L.. A99 E98 I99 J99 L99 
5 5 0 ..CC.MDD.K.M.AAK.NI.JEENI.JLGG.HHL.. A99 E98 H99 J99 L99 
5 5 0 ..CC.MDD.K.MAA.K.N..JEENI.JLGGIHHL.. E98 H99 I99 J99 L99 
5 5 0 ..CC.MDD.K.MAAJK.N..JEENI..LGGIHHL.. E98 H99 I99 J98 L99 
5 5 0 ..CC.MDDJK.MAAJK.NI.EE.NI..LGG.HHL.. E97 H99 J97 L99 
5 5 0 ..CC.MDDJ..MAAJK.NIEEK.NI..LGGHH.L.. E96 J97 K99 L99 
5 5 0 ..CC.MDDJK.MAAJK.NIEEL.NI..LGGHH.... E96 J97 L98 
5 5 0 ..CC.MDDJK.MAAJK.NIEE..NI..LGG.HHL.. E96 H99 J97 L99 
5 5 0 ..CC.MDDJK.MAAJK.N...EENI..LGGIHHL.. E98 H99 I99 J97 L99 
5 5 0 .CC..MIDDK.MIAAK.NEE.L.N..JLGGHHJ... A99 C99 D99 E99 I98 
5 5 0 ICC..MIDDK.MAA.K.N.EEL.N..JLGGHHJ... A98 C99 D99 I97 
