5 0 5 .BBBCCDDJ..LI.JAALIEEE.LI..KFF.HHK.. 
5 0 5 .BBBCCDDJ..LI.JAALIEEE.LI..KFFHH.K.. H99 
5 0 5 .BBBCCDDJ..LI.JAALI.EEELI..KFFHH.K.. E99 H99 
5 0 5 BBB.CCDDJ..LI.JAALI.EEELI..KFFHH.K.. B99 E99 H99 
5 0 5 BBB.CCDDJ..LI.JAALI.EEELI..KFF.HHK.. B99 E99 H98 
5 0 5 BBB.CCDDJ..L..JAALI.EEELI..KFFIHHK.. B99 E99 H98 I99 
5 0 5 BBB.CCDDJ..L..JAALIEEE.LI..KFFIHHK.. B99 E98 H98 I99 
5 0 5 BBBCC.DDJ..L..JAALIEEE.LI..KFFIHHK.. B99 C99 E98 H98 I99 
5 0 5 BBBCC.DDJ..LI.JAALIEEE.LI..KFF.HHK.. B99 C99 E98 H98 I98 
5 0 5 BBBCC.DDJ..LI.JAALIEEE.LI..KFFHH.K.. B99 C99 E98 H97 I98 
5 0 5 BBBCCLDDJ..LI.JAALIEEE..I..KFFHH.K.. B99 C99 E98 H97 I98 L99 
5 0 5 BBBCCLDDJ..LI.JAALI..EEEI..KFFHH.K.. B99 C99 E96 H97 I98 L99 
5 0 5 BBBCCLDDJ..LI.JAALI..EEEI..KFF.HHK.. B99 C99 E96 H96 I98 L99 
5 0 5 BBBCCLDDJ..L..JAALI..EEEI..KFFIHHK.. B99 C99 E96 H96 I97 L99 
5 0 5 BBBCCLDDJ..L..JAALI.EEE.I..KFFIHHK.. B99 C99 E95 H96 I97 L99 
5 0 5 BBBCCLDD...L...AALI.JEEEI.JKFFIHHK.. B99 C99 E96 H96 I97 J98 L99 
5 0 5 BBBCCLDD...LAA...LI.JEEEI.JKFFIHHK.. A97 B99 C99 E96 H96 I97 J98 L99 
5 0 5 BBBCCL...DDLAA...LI.JEEEI.JKFFIHHK.. A97 B99 C99 D97 E96 H96 I97 J98 L99 
5 0 5 BBBCCL...DDL..AA.LI.JEEEI.JKFFIHHK.. A95 B99 C99 D97 E96 H96 I97 J98 L99 
5 0 5 BBBCCLI..DDLI.AA.LI.JEEE..JKFF.HHK.. A95 B99 C99 D97 E96 H96 I95 J98 L99 
5 0 5 BBBCCLI..DDLI.AA.LI.JEEE..JKFFHH.K.. A95 B99 C99 D97 E96 H95 I95 J98 L99 
5 0 5 BBBCCLI..DDLI.AA.LI..EEE..JKFFHHJK.. A95 B99 C99 D97 E96 H95 I95 J97 L99 
5 0 5 BBBCCLI..DDLI.AA.LIEEE....JKFFHHJK.. A95 B99 C99 D97 E94 H95 I95 J97 L99 
5 0 5 BBBCCL...DDLI.AA.LIEEE..I.JKFFHHJK.. A95 B99 C99 D97 E94 H95 I94 J97 L99 
5 0 5 BBBCCL...DDLI.AA.LI.EEE.I.JKFFHHJK.. A95 B99 C99 D97 E93 H95 I94 J97 L99 
5 0 5 BBBCC....DDLI.AA.LI.EEELI.JKFFHHJK.. A95 B99 C99 D97 E93 H95 I94 J97 L98 
5 0 5 BBBCC....DDLI..AALI.EEELI.JKFFHHJK.. A94 B99 C99 D97 E93 H95 I94 J97 L98 
5 0 5 BBBCC....DDLI..AALIEEE.LI.JKFFHHJK.. A94 B99 C99 D97 E92 H95 I94 J97 L98 
5 0 5 BBBCC....DDLIAA..LIEEE.LI.JKFFHHJK.. A92 B99 C99 D97 E92 H95 I94 J97 L98 
5 0 5 BBBCC.I..DDLIAA..LIEEE.L..JKFFHHJK.. A92 B99 C99 D97 E92 H95 I93 J97 L98 
5 0 5 BBBCC.I..DDLIAA..LI.EEEL..JKFFHHJK.. A92 B99 C99 D97 E91 H95 I93 J97 L98 
5 0 5 BBBCCLI..DDLIAA..LI.EEE...JKFFHHJK.. A92 B99 C99 D97 E91 H95 I93 J97 L97 
5 0 5 BBBCCLI..DDLI..AALI.EEE...JKFFHHJK.. A90 B99 C99 D97 E91 H95 I93 J97 L97 
5 0 5 BBBCCLIDD..LI..AALI.EEE...JKFFHHJK.. A90 B99 C99 D95 E91 H95 I93 J97 L97 
5 0 5 BBBCCLIDD..LI..AALI..EEE..JKFFHHJK.. A90 B99 C99 D95 E90 H95 I93 J97 L97 
5 0 5 BBBCCLIDD..LI.JAALI.JEEE...KFFHH.K.. A90 B99 C99 D95 E90 H95 I93 J95 L97 
5 0 5 BBBCCLIDD..LI.JAALI.JEEE...KFF.HHK.. A90 B99 C99 D95 E90 H94 I93 J95 L97 
5 0 5 BBBCCLIDD..LI..AALI.JEEE..JKFF.HHK.. A90 B99 C99 D95 E90 H94 I93 J94 L97 
5 0 5 BBBCCL.DD..LI..AALI.JEEEI.JKFF.HHK.. A90 B99 C99 D95 E90 H94 I92 J94 L97 
5 0 5 BBBCCL.DD..LI..AALI.JEEEI.JKFFHH.K.. A90 B99 C99 D95 E90 H93 I92 J94 L97 
5 0 5 BBBCCL.DD..LIAA..LI.JEEEI.JKFFHH.K.. A88 B99 C99 D95 E90 H93 I92 J94 L97 
5 0 5 BBBCCL.DD..LIAA..LI..EEEI.JKFFHHJK.. A88 B99 C99 D95 E90 H93 I92 J93 L97 
5 0 5 BBBCCL.DD..LIAA..LIEEE..I.JKFFHHJK.. A88 B99 C99 D95 E88 H93 I92 J93 L97 
5 0 5 BBBCCL.DD..LI..AALIEEE..I.JKFFHHJK.. A86 B99 C99 D95 E88 H93 I92 J93 L97 
5 0 5 BBBCCL..DD.LI..AALIEEE..I.JKFFHHJK.. A86 B99 C99 D94 E88 H93 I92 J93 L97 
5 0 5 BBBCCL..DD.LI..AALI..EEEI.JKFFHHJK.. A86 B99 C99 D94 E86 H93 I92 J93 L97 
5 0 5 BBBCCL..DD.LI.JAALI.JEEEI..KFFHH.K.. A86 B99 C99 D94 E86 H93 I92 J91 L97 
5 0 5 BBBCCL..DD.LI.JAALI.JEEEI..KFF.HHK.. A86 B99 C99 D94 E86 H92 I92 J91 L97 
5 0 5 BBBCCL..DD.L..JAALI.JEEEI..KFFIHHK.. A86 B99 C99 D94 E86 H92 I91 J91 L97 
5 0 5 BBBCCL...DDL..JAALI.JEEEI..KFFIHHK.. A86 B99 C99 D93 E86 H92 I91 J91 L97 
5 0 5 BBBCCL..JDDL..JAALI..EEEI..KFFIHHK.. A86 B99 C99 D93 E86 H92 I91 J90 L97 
5 0 5 BBBCCL..JDDL..JAALIEEE..I..KFFIHHK.. A86 B99 C99 D93 E84 H92 I91 J90 L97 
5 0 5 BBBCCLI.JDDLI.JAALIEEE.....KFF.HHK.. A86 B99 C99 D93 E84 H92 I89 J90 L97 
5 0 5 BBBCCLI.JDDLI.JAALIEEE.....KFFHH.K.. A86 B99 C99 D93 E84 H91 I89 J90 L97 
5 0 5 BBBCCLI.JDDLI.JAALI..EEE...KFFHH.K.. A86 B99 C99 D93 E82 H91 I89 J90 L97 
5 0 5 BBBCCL..JDDLI.JAALI..EEEI..KFFHH.K.. A86 B99 C99 D93 E82 H91 I88 J90 L97 
5 0 5 BBBCCL..JDDLI.JAALI.EEE.I..KFFHH.K.. A86 B99 C99 D93 E81 H91 I88 J90 L97 
5 0 5 BBBCCL..JDDLI.JAALI.EEE.I..KFF.HHK.. A86 B99 C99 D93 E81 H90 I88 J90 L97 
5 0 5 BBBCC...JDDLI.JAALI.EEELI..KFF.HHK.. A86 B99 C99 D93 E81 H90 I88 J90 L96 
5 0 5 BBBCC...JDDL..JAALI.EEELI..KFFIHHK.. A86 B99 C99 D93 E81 H90 I87 J90 L96 
5 0 5 BBB.CC..JDDL..JAALI.EEELI..KFFIHHK.. A86 B99 C98 D93 E81 H90 I87 J90 L96 
5 0 5 BBB.CC..JDDL..JAALIEEE.LI..KFFIHHK.. A86 B99 C98 D93 E80 H90 I87 J90 L96 
5 0 5 BBB.CCI.JDDLI.JAALIEEE.L...KFF.HHK.. A86 B99 C98 D93 E80 H90 I85 J90 L96 
5 0 5 BBB.CCI.JDDLI.JAALIEEE.L...KFFHH.K.. A86 B99 C98 D93 E80 H89 I85 J90 L96 
5 0 5 BBB.CCI.JDDLI.JAALI.EEEL...KFFHH.K.. A86 B99 C98 D93 E79 H89 I85 J90 L96 
5 0 5 BBB.CC..JDDLI.JAALI.EEELI..KFFHH.K.. A86 B99 C98 D93 E79 H89 I84 J90 L96 
5 0 5 .BBBCC..JDDLI.JAALI.EEELI..KFFHH.K.. A86 B98 C98 D93 E79 H89 I84 J90 L96 
5 0 5 .BBBCC..JDDLI.JAALI.EEELI..KFF.HHK.. A86 B98 C98 D93 E79 H88 I84 J90 L96 
5 0 5 .BBBCC..JDDLI.JAALIEEE.LI..KFF.HHK.. A86 B98 C98 D93 E78 H88 I84 J90 L96 
5 0 5 IBBBCCI.JDDLI.JAAL.EEE.L...KFF.HHK.. A86 B98 C98 D93 E78 H88 I82 J90 L96 
5 0 5 IBBBCCI.JDDLI.JAAL.EEE.L...KFFHH.K.. A86 B98 C98 D93 E78 H87 I82 J90 L96 
5 0 5 IBBBCCI.JDDLI.JAALEEE..L...KFFHH.K.. A86 B98 C98 D93 E77 H87 I82 J90 L96 
5 0 5 BBB.CC..DD.L..AA.LI.EEELI.JKFFI.JKHH A77 B97 C96 D84 E57 H83 I51 J79 K98 L92 
5 0 5 BBB.CCI.DD.LI.AA.LI.EEEL..JKFF..JKHH A77 B97 C96 D84 E57 H83 I49 J79 K98 L92 
5 0 5 BBB.CCI.DD.LI..AALI.EEEL..JKFF..JKHH A76 B97 C96 D84 E57 H83 I49 J79 K98 L92 
5 0 5 BBB.CCI.DD.LI..AALIEEE.L..JKFF..JKHH A76 B97 C96 D84 E56 H83 I49 J79 K98 L92 
5 0 5 BBB.CCI.DD.LIAA..LIEEE.L..JKFF..JKHH A74 B97 C96 D84 E56 H83 I49 J79 K98 L92 
5 0 5 BBB.CCI..DDLIAA..LIEEE.L..JKFF..JKHH A74 B97 C96 D83 E56 H83 I49 J79 K98 L92 
5 0 5 .BBBCCI..DDLIAA..LIEEE.L..JKFF..JKHH A74 B96 C96 D83 E56 H83 I49 J79 K98 L92 
5 0 5 .BBBCCI..DDLIAA..LI.EEEL..JKFF..JKHH A74 B96 C96 D83 E55 H83 I49 J79 K98 L92 
5 0 5 .BBBCC...DDL.AA..LI.EEELI.JKFFI.JKHH A74 B96 C96 D83 E55 H83 I47 J79 K98 L92 
5 0 5 .BBBCC...DDL...AALI.EEELI.JKFFI.JKHH A72 B96 C96 D83 E55 H83 I47 J79 K98 L92 
5 0 5 .BBBCC...DDL...AALIEEE.LI.JKFFI.JKHH A72 B96 C96 D83 E54 H83 I47 J79 K98 L92 
5 0 5 IBBBCCI..DDLI..AAL.EEE.L..JKFF..JKHH A72 B96 C96 D83 E54 H83 I44 J79 K98 L92 
5 0 5 IBBBCCI..DDLI..AALEEE..L..JKFF..JKHH A72 B96 C96 D83 E53 H83 I44 J79 K98 L92 
5 0 5 IBBBCCI..DDLI..AALEEEK.L..JKFF..J.HH A72 B96 C96 D83 E53 H83 I44 J79 K97 L92 
5 0 5 IBBBCCI..DDLI..AALEEEK.L..JKFF..JHH. A72 B96 C96 D83 E53 H82 I44 J79 K97 L92 
5 0 5 IBBBCCI..DDLIAA..LEEEK.L..JKFF..JHH. A70 B96 C96 D83 E53 H82 I44 J79 K97 L92 
5 0 5 IBBBCCIDD..LIAA..LEEEK.L..JKFF..JHH. A70 B96 C96 D81 E53 H82 I44 J79 K97 L92 
5 0 5 IBBBCCIDD..LIAA..LEEEK.L..JKFF..J.HH A70 B96 C96 D81 E53 H81 I44 J79 K97 L92 
5 0 5 IBBBCCIDD..LIAA..LEEE..L..JKFF..JKHH A70 B96 C96 D81 E53 H81 I44 J79 K96 L92 
5 0 5 IBBBCCIDD..LIAA..L..EEEL..JKFF..JKHH A70 B96 C96 D81 E51 H81 I44 J79 K96 L92 
5 0 5 IBBBCCIDD..LI..AAL..EEEL..JKFF..JKHH A68 B96 C96 D81 E51 H81 I44 J79 K96 L92 
5 0 5 .BBBCC.DD..LI..AALI.EEELI.JKFF..JKHH A68 B96 C96 D81 E51 H81 I42 J79 K96 L92 
5 0 5 .BBBCC.DD..LI..AALIEEE.LI.JKFF..JKHH A68 B96 C96 D81 E50 H81 I42 J79 K96 L92 
5 0 5 .BBBCC.DD..LIAA..LIEEE.LI.JKFF..JKHH A66 B96 C96 D81 E50 H81 I42 J79 K96 L92 
5 0 5 .BBBCC.DD..L.AA..LIEEE.LI.JKFFI.JKHH A66 B96 C96 D81 E50 H81 I41 J79 K96 L92 
5 0 5 .BBBCC.DD..L..AA.LIEEE.LI.JKFFI.JKHH A65 B96 C96 D81 E50 H81 I41 J79 K96 L92 
5 0 5 .BBBCC.DD..L..AA.LI.EEELI.JKFFI.JKHH A65 B96 C96 D81 E49 H81 I41 J79 K96 L92 
5 0 5 .BBBCCIDD..LI.AA.LI.EEEL..JKFF..JKHH A65 B96 C96 D81 E49 H81 I39 J79 K96 L92 
5 0 5 .BBBCC.DD..LAA...LI.EEELI.JKFFI.JKHH A63 B96 C96 D81 E49 H81 I41 J79 K96 L92 
5 0 5 .BBBCC..DD.LAA...LI.EEELI.JKFFI.JKHH A63 B96 C96 D80 E49 H81 I41 J79 K96 L92 
5 0 5 .BBBCC..DD.LAA...LIEEE.LI.JKFFI.JKHH A63 B96 C96 D80 E48 H81 I41 J79 K96 L92 
5 0 5 .BBBCCDD...LAA...LIEEE.LI.JKFFI.JKHH A63 B96 C96 D78 E48 H81 I41 J79 K96 L92 
5 0 5 BBB.CCDD...LAA...LIEEE.LI.JKFFI.JKHH A63 B95 C96 D78 E48 H81 I41 J79 K96 L92 
5 0 5 BBB.CCDD...LAA...LI.EEELI.JKFFI.JKHH A63 B95 C96 D78 E47 H81 I41 J79 K96 L92 
5 0 5 BBB.CCDD...L...AALI.EEELI.JKFFI.JKHH A60 B95 C96 D78 E47 H81 I41 J79 K96 L92 
5 0 5 BBB.CCDD...LI..AALI.EEELI.JKFF..JKHH A60 B95 C96 D78 E47 H81 I40 J79 K96 L92 
5 0 5 BBB.CCDD...LI..AALIEEE.LI.JKFF..JKHH A60 B95 C96 D78 E46 H81 I40 J79 K96 L92 
5 0 5 BBB.CCDD...LIAA..LIEEE.LI.JKFF..JKHH A58 B95 C96 D78 E46 H81 I40 J79 K96 L92 
5 0 5 BBB.CCDD...LIAA..LI.EEELI.JKFF..JKHH A58 B95 C96 D78 E47 H81 I40 J79 K96 L92 
5 0 5 BBB.CC...DDLIAA..LI.EEELI.JKFF..JKHH A58 B95 C96 D75 E47 H81 I40 J79 K96 L92 
5 0 5 BBB.CC...DDLI.AA.LI.EEELI.JKFF..JKHH A57 B95 C96 D75 E47 H81 I40 J79 K96 L92 
5 0 5 .BBBCC...DDLI.AA.LI.EEELI.JKFF..JKHH A57 B94 C96 D75 E47 H81 I40 J79 K96 L92 
5 0 5 .BBBCC...DDLI.AA.LIEEE.LI.JKFF..JKHH A57 B94 C96 D75 E46 H81 I40 J79 K96 L92 
5 0 5 .BBBCCDD...LI.AA.LIEEE.LI.JKFF..JKHH A57 B94 C96 D72 E46 H81 I40 J79 K96 L92 
5 0 5 IBBBCCI..DDLI.AA.L..EEEL..JKFF..JKHH A57 B94 C96 D75 E47 H81 I38 J79 K96 L92 
5 0 5 IBBBCCI.DD.LI.AA.L..EEEL..JKFF..JKHH A57 B94 C96 D74 E47 H81 I38 J79 K96 L92 
5 0 5 IBBBCCI.DD.LI.AA.LEEE..L..JKFF..JKHH A57 B94 C96 D74 E45 H81 I38 J79 K96 L92 
5 0 5 IBBBCCI.DD.LI.AA.LEEEK.L..JKFF..J.HH A57 B94 C96 D74 E45 H81 I38 J79 K95 L92 
5 0 5 IBBBCCI.DD.LI.AA.LEEEK.L..JKFF..JHH. A57 B94 C96 D74 E45 H80 I38 J79 K95 L92 
5 0 5 IBBBCCI.DD.LI.AA.L.EEE.L..JKFF..JKHH A57 B94 C96 D74 E46 H81 I38 J79 K96 L92 
5 0 5 IBBBCCI.DD.LIAA..L.EEE.L..JKFF..JKHH A56 B94 C96 D74 E46 H81 I38 J79 K96 L92 
5 0 5 .BBBCCI.DD.LI.AA.LIEEE.L..JKFF..JKHH A57 B94 C96 D74 E46 H81 I37 J79 K96 L92 
5 0 5 .BBBCCDD...LI.AA.LI.EEELI.JKFF..JKHH A57 B94 C96 D72 E47 H81 I40 J79 K96 L92 
5 0 5 .BBBCC..DD.LI.AA.LI.EEELI.JKFF..JKHH A57 B94 C96 D74 E47 H81 I40 J79 K96 L92 
5 0 5 .BBBCC..DD.LIAA..LI.EEELI.JKFF..JKHH A56 B94 C96 D74 E47 H81 I40 J79 K96 L92 
5 0 5 BBB.CC..DD.LIAA..LI.EEELI.JKFF..JKHH A58 B95 C96 D76 E47 H81 I40 J79 K96 L92 
5 0 5 .BBBCCDD...LIAA..LI.EEELI.JKFF..JKHH A58 B94 C96 D78 E47 H81 I40 J79 K96 L92 
5 0 5 BBB.CCDD...LI.AA.LI.EEELI.JKFF..JKHH A59 B95 C96 D78 E47 H81 I40 J79 K96 L92 
5 0 5 BBB.CC.DD..L...AALI.EEELI.JKFFI.JKHH A60 B95 C96 D77 E47 H81 I41 J79 K96 L92 
5 0 5 BBB.CC.DD..L...AALIEEE.LI.JKFFI.JKHH A60 B95 C96 D77 E46 H81 I41 J79 K96 L92 
5 0 5 BBB.CC.DD..L.AA..LI.EEELI.JKFFI.JKHH A58 B95 C96 D77 E47 H81 I41 J79 K96 L92 
5 0 5 BBB.CCIDD..LIAA..LI.EEEL..JKFF..JKHH A58 B95 C96 D77 E47 H81 I39 J79 K96 L92 
5 0 5 BBBCC.DD...L...AALI.EEELI.JKFFI.JKHH A60 B95 C95 D78 E47 H81 I41 J79 K96 L92 
5 0 5 BBBCC.DD...L...AALIEEE.LI.JKFFI.JKHH A60 B95 C95 D78 E46 H81 I41 J79 K96 L92 
5 0 5 BBBCC...DD.L...AALIEEE.LI.JKFFI.JKHH A60 B95 C95 D76 E46 H81 I41 J79 K96 L92 
5 0 5 BBBCC...DD.LAA...LIEEE.LI.JKFFI.JKHH A57 B95 C95 D76 E46 H81 I41 J79 K96 L92 
5 0 5 BBBCC...DD.LAA...LI.EEELI.JKFFI.JKHH A57 B95 C95 D76 E45 H81 I41 J79 K96 L92 
5 0 5 BBBCC...DD.L...AALI.EEELI.JKFFI.JKHH A60 B95 C95 D76 E47 H81 I41 J79 K96 L92 
5 0 5 BBB.CCDD...L.AA..LI.EEELI.JKFFI.JKHH A62 B95 C96 D78 E47 H81 I41 J79 K96 L92 
5 0 5 BBB.CC...DDLAA...LI.EEELI.JKFFI.JKHH A63 B95 C96 D75 E47 H81 I41 J79 K96 L92 
5 0 5 BBBCC.DD...LAA...LI.EEELI.JKFFI.JKHH A63 B95 C95 D78 E47 H81 I41 J79 K96 L92 
5 0 5 BBBCCLDD...LAA...LI.EEE.I.JKFFI.JKHH A63 B95 C95 D78 E47 H81 I41 J79 K96 L91 
5 0 5 BBBCCLDD...LAA...LI..EEEI.JKFFI.JKHH A63 B95 C95 D78 E46 H81 I41 J79 K96 L91 
5 0 5 BBBCCLDD...LAA...LI.JEEEI.JKFFI..KHH A63 B95 C95 D78 E46 H81 I41 J78 K96 L91 
5 0 5 BBBCCLDD...L...AALI.JEEEI.JKFFI..KHH A60 B95 C95 D78 E46 H81 I41 J78 K96 L91 
5 0 5 BBBCCLDDJ..L..JAALI..EEEI..KFFI..KHH A60 B95 C95 D78 E46 H81 I41 J76 K96 L91 
5 0 5 BBBCCLDDJ..L..JAALIEEE..I..KFFI..KHH A60 B95 C95 D78 E44 H81 I41 J76 K96 L91 
5 0 5 BBBCCLDDJ..LI.JAALIEEE..I..KFF...KHH A60 B95 C95 D78 E44 H81 I40 J76 K96 L91 
5 0 5 BBBCCLDDJ..LI.JAALI.EEE.I..KFF...KHH A60 B95 C95 D78 E43 H81 I40 J76 K96 L91 
5 0 5 BBBCC.DDJ..LI.JAALI.EEELI..KFF...KHH A60 B95 C95 D78 E43 H81 I40 J76 K96 L90 
5 0 5 BBBCC.DDJ..L..JAALI.EEELI..KFFI..KHH A60 B95 C95 D78 E43 H81 I39 J76 K96 L90 
5 0 5 BBB.CCDDJ..L..JAALI.EEELI..KFFI..KHH A60 B95 C94 D78 E43 H81 I39 J76 K96 L90 
5 0 5 BBB.CCDDJ..L..JAALIEEE.LI..KFFI..KHH A60 B95 C94 D78 E42 H81 I39 J76 K96 L90 
5 0 5 BBB.CCDDJ..LI.JAALIEEE.LI..KFF...KHH A60 B95 C94 D78 E42 H81 I38 J76 K96 L90 
5 0 5 .BBBCCDDJ..LI.JAALIEEE.LI..KFF...KHH A60 B94 C94 D78 E42 H81 I38 J76 K96 L90 
5 0 5 .BBBCCDDJ..LI.JAALI.EEELI..KFF...KHH A60 B94 C94 D78 E41 H81 I38 J76 K96 L90 
5 0 5 .BBBCCDDJ..L..JAALIEEE.LI..KFFI..KHH A60 B94 C94 D78 E42 H81 I39 J76 K96 L90 
5 0 5 .BBBCCDDJ..L..JAALI.EEELI..KFFI..KHH A60 B94 C94 D78 E43 H81 I39 J76 K96 L90 
5 0 5 BBB.CCDDJ..LI.JAALI.EEELI..KFF...KHH A60 B95 C94 D78 E43 H81 I40 J76 K96 L90 
5 0 5 BBBCC.DDJ..LI.JAALIEEE.LI..KFF...KHH A60 B95 C95 D78 E44 H81 I40 J76 K96 L90 
5 0 5 BBBCC.DDJ..L..JAALIEEE.LI..KFFI..KHH A60 B95 C95 D78 E44 H81 I41 J76 K96 L90 
5 0 5 BBBCCLDDJ..L..JAALI.EEE.I..KFFI..KHH A60 B95 C95 D78 E45 H81 I41 J76 K96 L91 
5 0 5 BBBCCLDDJ..LI.JAALI..EEEI..KFF...KHH A60 B95 C95 D78 E46 H81 I40 J76 K96 L91 
5 0 5 BBBCCLDD...LI.JAALI.JEEEI..KFF...KHH A60 B95 C95 D78 E46 H81 I40 J75 K96 L91 
5 0 5 BBBCCL...DDLI.JAALI.JEEEI..KFF...KHH A60 B95 C95 D75 E46 H81 I40 J75 K96 L91 
5 0 5 BBBCCL..DD.LAA...LI.JEEEI.JKFFI..KHH A63 B95 C95 D76 E46 H81 I41 J78 K96 L91 
5 0 5 BBBCCLDD...LAA...LIEEE..I.JKFFI.JKHH A63 B95 C95 D78 E46 H81 I41 J79 K96 L91 
5 0 5 BBBCCLDD...L.AA..LIEEE..I.JKFFI.JKHH A62 B95 C95 D78 E46 H81 I41 J79 K96 L91 
5 0 5 BBBCCL.DD..LAA...LIEEE..I.JKFFI.JKHH A63 B95 C95 D77 E46 H81 I41 J79 K96 L91 
5 0 5 BBB.CCDD...L...AALIEEE.LI.JKFFI.JKHH A60 B95 C96 D78 E48 H81 I41 J79 K96 L92 
5 0 5 BBB.CCDD...L.AA..LIEEE.LI.JKFFI.JKHH A62 B95 C96 D78 E48 H81 I41 J79 K96 L92 
5 0 5 BBB.CC...DDLAA...LIEEE.LI.JKFFI.JKHH A63 B95 C96 D75 E48 H81 I41 J79 K96 L92 
5 0 5 BBB.CC.DD..LAA...LIEEE.LI.JKFFI.JKHH A63 B95 C96 D77 E48 H81 I41 J79 K96 L92 
5 0 5 BBBCC.DD...LAA...LIEEE.LI.JKFFI.JKHH A63 B95 C95 D78 E48 H81 I41 J79 K96 L92 
5 0 5 .BBBCCDD...LAA...LI.EEELI.JKFFI.JKHH A63 B96 C96 D80 E49 H81 I41 J79 K96 L92 
5 0 5 BBB.CC.DD..LAA...LI.EEELI.JKFFI.JKHH A63 B95 C96 D81 E49 H81 I41 J79 K96 L92 
5 0 5 .BBBCCDD...L..AA.LI.EEELI.JKFFI.JKHH A65 B96 C96 D80 E49 H81 I41 J79 K96 L92 
5 0 5 IBBBCCIDD..LI.AA.L.EEE.L..JKFF..JKHH A65 B96 C96 D81 E50 H81 I38 J79 K96 L92 
5 0 5 .BBBCCIDD..LI.AA.LIEEE.L..JKFF..JKHH A65 B96 C96 D81 E50 H81 I39 J79 K96 L92 
5 0 5 .BBBCCDD...L..AA.LIEEE.LI.JKFFI.JKHH A65 B96 C96 D80 E50 H81 I41 J79 K96 L92 
5 0 5 .BBBCC.DD..LAA...LIEEE.LI.JKFFI.JKHH A65 B96 C96 D81 E50 H81 I41 J79 K96 L92 
5 0 5 .BBBCC..DD.L.AA..LIEEE.LI.JKFFI.JKHH A66 B96 C96 D80 E50 H81 I41 J79 K96 L92 
5 0 5 .BBBCCDD...L.AA..LIEEE.LI.JKFFI.JKHH A66 B96 C96 D80 E50 H81 I41 J79 K96 L92 
5 0 5 BBB.CC.DD..L.AA..LIEEE.LI.JKFFI.JKHH A66 B95 C96 D81 E50 H81 I41 J79 K96 L92 
5 0 5 .BBBCC..DD.LIAA..LIEEE.LI.JKFF..JKHH A66 B96 C96 D80 E50 H81 I42 J79 K96 L92 
5 0 5 .BBBCCDD...LIAA..LIEEE.LI.JKFF..JKHH A66 B96 C96 D80 E50 H81 I42 J79 K96 L92 
5 0 5 BBB.CC.DD..LIAA..LIEEE.LI.JKFF..JKHH A66 B95 C96 D81 E50 H81 I42 J79 K96 L92 
5 0 5 .BBBCC.DD..LI.AA.LIEEE.LI.JKFF..JKHH A67 B96 C96 D81 E50 H81 I42 J79 K96 L92 
5 0 5 .BBBCCIDD..LI..AALIEEE.L..JKFF..JKHH A68 B96 C96 D81 E50 H81 I41 J79 K96 L92 
5 0 5 .BBBCC..DD.LI..AALIEEE.LI.JKFF..JKHH A68 B96 C96 D80 E50 H81 I42 J79 K96 L92 
5 0 5 .BBBCCDD...LI..AALIEEE.LI.JKFF..JKHH A68 B96 C96 D80 E50 H81 I42 J79 K96 L92 
5 0 5 BBB.CC.DD..LI..AALIEEE.LI.JKFF..JKHH A68 B95 C96 D81 E50 H81 I42 J79 K96 L92 
5 0 5 .BBBCC.DD..LI.AA.LI.EEELI.JKFF..JKHH A67 B96 C96 D81 E51 H81 I42 J79 K96 L92 
5 0 5 .BBBCC..DD.LI..AALI.EEELI.JKFF..JKHH A68 B96 C96 D80 E51 H81 I42 J79 K96 L92 
5 0 5 .BBBCCDD...LI..AALI.EEELI.JKFF..JKHH A68 B96 C96 D80 E51 H81 I42 J79 K96 L92 
5 0 5 BBB.CC.DD..LI..AALI.EEELI.JKFF..JKHH A68 B95 C96 D81 E51 H81 I42 J79 K96 L92 
5 0 5 .BBBCCIDD..LI..AALI.EEEL..JKFF..JKHH A68 B96 C96 D81 E51 H81 I43 J79 K96 L92 
5 0 5 IBBBCCI.DD.LI..AAL..EEEL..JKFF..JKHH A68 B96 C96 D80 E51 H81 I44 J79 K96 L92 
5 0 5 IBBBCCIDD..LI.AA.L..EEEL..JKFF..JKHH A69 B96 C96 D81 E51 H81 I44 J79 K96 L92 
5 0 5 .BBBCC.DD..LIAA..LI.EEELI.JKFF..JKHH A70 B96 C96 D81 E51 H81 I42 J79 K96 L92 
5 0 5 IBBBCCI.DD.LIAA..L..EEEL..JKFF..JKHH A70 B96 C96 D80 E51 H81 I44 J79 K96 L92 
5 0 5 IBBBCCIDD..LIAA..L.EEE.L..JKFF..JKHH A70 B96 C96 D81 E52 H81 I44 J79 K96 L92 
5 0 5 IBBBCCIDD..LI.AA.LEEE..L..JKFF..JKHH A69 B96 C96 D81 E53 H81 I44 J79 K96 L92 
5 0 5 IBBBCCI.DD.LIAA..LEEE..L..JKFF..JKHH A70 B96 C96 D80 E53 H81 I44 J79 K96 L92 
5 0 5 IBBBCCIDD..LI.AA.LEEEK.L..JKFF..J.HH A69 B96 C96 D81 E53 H81 I44 J79 K97 L92 
5 0 5 IBBBCCI.DD.LIAA..LEEEK.L..JKFF..J.HH A70 B96 C96 D80 E53 H81 I44 J79 K97 L92 
5 0 5 IBBBCCIDD..LI.AA.LEEEK.L..JKFF..JHH. A69 B96 C96 D81 E53 H82 I44 J79 K97 L92 
