2 0 2 BBK...J.KDDNJAAM.NEELMFF..LGGG.II... 
1 0 1 BBK..NJ.KDDNJAAM..EELMFF..LGGG.II... N99 
1 0 1 BBK..NJ.KDDNJAAM..EELMFF..LGGG....II I97 N99 
1 0 1 BBK..NJ.KDDNJAAM..EE.MFF..LGGG..L.II I97 L99 N99 
1 0 1 BBK..NJ.KDDNJAAM..EE.MFF..LGGG..LII. I96 L99 N99 
1 0 1 BBK..NJ.KDDNJAAM...EEMFF..LGGG..LII. E99 I96 L99 N99 
1 0 1 BBK..N..KDDN.AAM...EEMFFJ.LGGGJ.LII. E99 I96 J97 L99 N99 
1 0 1 BBK..N..KDDN.AAM...EEMFFJ.LGGGJ.L.II E99 I95 J97 L99 N99 
1 0 1 BBK..N..KDDNJAAM..JEEMFF..LGGG..L.II E99 I95 J95 L99 N99 
1 0 1 BBK..N..KDDN.AAM..JEEMFFJ.LGGG..L.II E99 I95 J96 L99 N99 
1 0 1 BBK..N..KDDNAA.M..JEEMFFJ.LGGG..L.II A99 E99 I95 J96 L99 N99 
1 0 1 BBK..N..KDDNAA.M..JEEMFFJ.LGGG..LII. A99 E99 I94 J96 L99 N99 
1 0 1 BBK..N..KDDN.AAM..EE.MFFJ.LGGGJ.L.II E98 I95 J97 L99 N99 
1 0 1 BBK..N..KDDN.AAM..EELMFFJ.LGGGJ...II E98 I95 J97 L98 N99 
1 0 1 BBK..N..KDDN.AAM..EELMFFJ.LGGGJII... E98 I92 J97 L98 N99 
1 0 1 BBK..N..KDDNAA.M..EELMFFJ.LGGGJII... A99 E98 I92 J97 L98 N99 
1 0 1 BBK..N..KDDNAA.M..EELMFFJ.LGGGJ..II. A99 E98 I90 J97 L98 N99 
1 0 1 BBK..N..KDDNAA.M..EE.MFFJ.LGGGJ.LII. A99 E98 I90 J97 L97 N99 
1 0 1 BBK..N..KDDNAA.M..EELMFFJ.LGGGJ.II.. A99 E98 I91 J97 L98 N99 
1 0 1 BBK..N..KDDN.AAM..EELMFFJ.LGGGJ.II.. E98 I93 J97 L98 N99 
1 0 1 BBK..N..KDDN.AAM..EELMFFJ.LGGGJ..II. E98 I94 J97 L98 N99 
1 0 1 BBK..N..KDDNAA.M..EELMFFJ.LGGGJ...II A99 E98 I95 J97 L98 N99 
1 0 1 BBK..N..KDDNAA.M..EE.MFFJ.LGGGJ.L.II A99 E98 I95 J97 L99 N99 
1 0 1 BBK..N..KDDNAA.M...EEMFFJ.LGGGJ.L.II A99 E99 I95 J97 L99 N99 
1 0 1 BBK..N..KDDN.AAM..EE.MFFJ.LGGGJ.LII. E98 I96 J97 L99 N99 
1 0 1 BBK..N..KDDNAA.M...EEMFFJ.LGGGJ.LII. A99 E99 I96 J97 L99 N99 
1 0 1 BBK..N..KDDN.AAM..JEEMFFJ.LGGG..LII. E99 I96 J98 L99 N99 
1 0 1 BBK..N..KDDNJAAM..JEEMFF..LGGG..LII. E99 I96 J99 L99 N99 
1 0 1 BBK..NJ.KDDNJAAM...EEMFF..LGGG..L.II E99 I97 L99 N99 
1 0 1 BBK..NJ.KDDNJAAM..EELMFF..LGGG...II. I98 N99 
1 0 1 BBK..NJ.KDDNJAAM..EELMFF..LGGG..II.. I99 N99 
1 0 1 BBK..NJ.KDDNJAAM..EELMFF..LGGGII.... I99 N99 
1 0 1 BBK..NJ.KDDNJAAM..EE.MFF..LGGGIIL... I99 L99 N99 
1 0 1 BBK..NJ.KDDNJAAM...EEMFF..LGGGIIL... E99 I99 L99 N99 
1 0 1 BBK..N..KDDN.AAM..JEEMFFJ.LGGGIIL... E99 I99 J98 L99 N99 
1 0 1 BBK..N..KDDNAA.M..JEEMFFJ.LGGGIIL... A99 E99 I99 J98 L99 N99 
1 0 1 BBK..N..KDDNJAAM..JEEMFF..LGGGIIL... E99 I99 J99 L99 N99 
2 0 2 BBK.....KDDNJAAM.NJEEMFF..LGGGIIL... E99 I99 J99 L99 N98 
2 0 2 BBK...J.KDDNJAAM.N.EEMFF..LGGGIIL... E99 I99 L99 N98 
2 0 2 BBK...J.KDDNJAAM.NEE.MFF..LGGGIIL... I99 L99 N98 
2 0 2 BBK...J.KDDNJAAM.NEELMFF..LGGGII.... I99 
2 0 2 BBK...J.KDDNJAAM.NEELMFF..LGGG..II.. I99 
2 0 2 BBK...J.KDDNJAAM.NEELMFF..LGGG...II. I98 
2 0 2 BBK...J.KDDNJAAM.NEELMFF..LGGG....II I97 
2 0 2 BBK...J.KDDNJAAM.NEE.MFF..LGGG..L.II I97 L99 N98 
2 0 2 BBK...J.KDDNJAAM.NEE.MFF..LGGG..LII. I96 L99 N98 
2 0 2 BBK...J.KDDNJAAM.N.EEMFF..LGGG..LII. E99 I96 L99 N98 
2 0 2 BBK.....KDDN.AAM.N.EEMFFJ.LGGGJ.LII. E99 I96 J97 L99 N98 
2 0 2 BBK.....KDDN.AAM.N.EEMFFJ.LGGGJ.L.II E99 I95 J97 L99 N98 
2 0 2 BBK.....KDDNJAAM.NJEEMFF..LGGG..L.II E99 I95 J95 L99 N98 
2 0 2 BBK.....KDDN.AAM.NJEEMFFJ.LGGG..L.II E99 I95 J96 L99 N98 
2 0 2 BB...N..KDDNAAKM..JEEMFFJ.LGGG..L.II A99 E99 I95 J96 K99 L99 N99 
1 0 1 J.KBBNJ.KDDN.AAM..EELMFF..LGGG..II.. A98 B97 E96 I91 J91 K98 L98 N99 
1 0 1 J.KBBNJ.KDDNAA.M..EELMFF..LGGG...II. A97 B97 E96 I92 J91 K98 L98 N99 
1 0 1 ..KBBNJ.KDDNJAAM..EELMFF..LGGG...II. A98 B97 E96 I92 J90 K98 L98 N99 
1 0 1 J.KBBNJ.KDDNAA.M..EE.MFF..LGGG..LII. A97 B97 E96 I92 J91 K98 L99 N99 
1 0 1 ..KBBNJ.KDDNJAAM..EE.MFF..LGGG..LII. A98 B97 E96 I92 J90 K98 L99 N99 
1 0 1 J.KBBNJ.KDDNAA.M...EEMFF..LGGG..LII. A97 B97 E97 I92 J91 K98 L99 N99 
1 0 1 ..KBBN..KDDNJAAM..JEEMFF..LGGG..LII. A98 B97 E97 I92 J89 K98 L99 N99 
1 0 1 ..KBBNJ.KDDNJAAM...EEMFF..LGGG..LII. A98 B97 E97 I92 J90 K98 L99 N99 
1 0 1 J.KBBNJ.KDDN.AAM..EE.MFF..LGGG..L.II A98 B97 E96 I93 J91 K98 L99 N99 
1 0 1 J.KBBNJ.KDDNAA.M...EEMFF..LGGG..L.II A97 B97 E97 I93 J91 K98 L99 N99 
1 0 1 ..KBBNJ.KDDNJAAM...EEMFF..LGGG..L.II A98 B97 E97 I93 J92 K98 L99 N99 
1 0 1 ..KBBN..KDDNJAAM..JEEMFF..LGGG..L.II A98 B97 E97 I93 J93 K98 L99 N99 
1 0 1 ..KBBN..KDDNAA.M..EELMFFJ.LGGGJ..II. A99 B97 E98 I94 J95 K98 L98 N99 
1 0 1 ..KBBN..KDDN.AAM..EE.MFFJ.LGGGJ.LII. A98 B97 E98 I94 J95 K98 L99 N99 
1 0 1 ..KBBN..KDDN.AAM...EEMFFJ.LGGGJ.LII. A98 B97 E99 I94 J95 K98 L99 N99 
1 0 1 ..KBBN..KDDN.AAM..JEEMFFJ.LGGG..LII. A98 B97 E99 I94 J96 K98 L99 N99 
1 0 1 ..KBBN..KDDNAA.M...EEMFFJ.LGGGJ.L.II A99 B97 E99 I95 J95 K98 L99 N99 
1 0 1 ..KBBN..KDDN.AAM..JEEMFFJ.LGGG..L.II A98 B97 E99 I95 J96 K98 L99 N99 
2 0 2 ..KBB...KDDN.AAM.NJEEMFFJ.LGGG..L.II A98 B97 E99 I95 J96 K98 L99 N98 
2 0 2 ..K.BB..KDDN.AAM.NJEEMFFJ.LGGG..L.II A98 B96 E99 I95 J96 K98 L99 N98 
2 0 2 ..K.BB..KDDN.AAM.NJEEMFFJ.LGGG..LII. A98 B96 E99 I94 J96 K98 L99 N98 
2 0 2 ..K.BB..KDDN.AAM.N.EEMFFJ.LGGGJ.LII. A98 B96 E99 I94 J95 K98 L99 N98 
2 0 2 ..K.BB..KDDN.AAM.NEE.MFFJ.LGGGJ.LII. A98 B96 E98 I94 J95 K98 L99 N98 
2 0 2 ..K.BB..KDDN.AAM.NEE.MFFJ.LGGGJ.L.II A98 B96 E98 I93 J95 K98 L99 N98 
2 0 2 ..K.BB..KDDN.AAM.NEELMFFJ.LGGGJ...II A98 B96 E98 I93 J95 K98 L98 N98 
2 0 2 ..K.BB..KDDN.AAM.NEELMFFJ.LGGGJII... A98 B96 E98 I90 J95 K98 L98 N98 
2 0 2 ..K.BB..KDDNAA.M.NEELMFFJ.LGGGJII... A97 B96 E98 I90 J95 K98 L98 N98 
2 0 2 ..K.BB..KDDNAA.M.NEELMFFJ.LGGGJ..II. A97 B96 E98 I88 J95 K98 L98 N98 
2 0 2 ..K.BB..KDDNAA.M.NEELMFFJ.LGGGJ.II.. A97 B96 E98 I89 J95 K98 L98 N98 
2 0 2 ..K.BB..KDDN.AAM.NEELMFFJ.LGGGJ.II.. A98 B96 E98 I91 J95 K98 L98 N98 
2 0 2 ..K.BB..KDDNAA.M.NEELMFFJ.LGGGJ...II A97 B96 E98 I93 J95 K98 L98 N98 
2 0 2 ..K.BB..KDDNAA.M.NEE.MFFJ.LGGGJ.L.II A97 B96 E98 I93 J95 K98 L99 N98 
2 0 2 ..K.BB..KDDNAA.M.N.EEMFFJ.LGGGJ.L.II A97 B96 E97 I93 J95 K98 L99 N98 
2 0 2 ..K.BB..KDDN.AAM.NEELMFFJ.LGGGJ..II. A98 B96 E98 I94 J95 K98 L98 N98 
2 0 2 ..K.BB..KDDNAA.M.NEE.MFFJ.LGGGJ.LII. A97 B96 E98 I94 J95 K98 L99 N98 
2 0 2 ..K.BB..KDDNAA.M.N.EEMFFJ.LGGGJ.LII. A97 B96 E99 I94 J95 K98 L99 N98 
2 0 2 J.K.BBJ.KDDN.AAM.N.EEMFF..LGGG..LII. A98 B96 E99 I94 J93 K98 L99 N98 
2 0 2 J.K.BBJ.KDDN.AAM.NEE.MFF..LGGG..LII. A98 B96 E98 I94 J93 K98 L99 N98 
2 0 2 J.K.BBJ.KDDN.AAM.NEE.MFF..LGGG..L.II A98 B96 E98 I93 J93 K98 L99 N98 
2 0 2 J.K.BBJ.KDDN.AAM.NEELMFF..LGGG....II A98 B96 E98 I93 J93 K98 L98 N98 
2 0 2 J.K.BBJ.KDDN.AAM.NEELMFF..LGGGII.... A98 B96 E98 I89 J93 K98 L98 N98 
2 0 2 J.K.BBJ.KDDN.AAM.NEE.MFF..LGGGIIL... A98 B96 E98 I89 J93 K98 L97 N98 
2 0 2 J.K.BBJ.KDDN.AAM.N.EEMFF..LGGGIIL... A98 B96 E97 I89 J93 K98 L97 N98 
2 0 2 J.K.BBJ.KDDNAA.M.N.EEMFF..LGGGIIL... A97 B96 E97 I89 J93 K98 L97 N98 
2 0 2 ..K.BB..KDDN.AAM.NJEEMFFJ.LGGGIIL... A98 B96 E97 I89 J90 K98 L97 N98 
2 0 2 ..K.BB..KDDNAA.M.NJEEMFFJ.LGGGIIL... A97 B96 E97 I89 J90 K98 L97 N98 
2 0 2 ..K.BB..KDDNJAAM.NJEEMFF..LGGGIIL... A98 B96 E97 I89 J91 K98 L97 N98 
2 0 2 ..K.BBJ.KDDNJAAM.N.EEMFF..LGGGIIL... A98 B96 E97 I89 J92 K98 L97 N98 
2 0 2 J.K.BBJ.KDDNAA.M.NEE.MFF..LGGGIIL... A97 B96 E98 I89 J93 K98 L97 N98 
2 0 2 ..K.BBJ.KDDNJAAM.NEE.MFF..LGGGIIL... A98 B96 E98 I89 J92 K98 L97 N98 
2 0 2 J.K.BBJ.KDDNAA.M.NEELMFF..LGGGII.... A97 B96 E98 I89 J93 K98 L98 N98 
2 0 2 J.K.BBJ.KDDNAA.M.NEELMFF..LGGG...II. A97 B96 E98 I86 J93 K98 L98 N98 
2 0 2 J.K.BBJ.KDDNAA.M.NEELMFF..LGGG..II.. A97 B96 E98 I87 J93 K98 L98 N98 
2 0 2 J.K.BBJ.KDDNAA.M.NEELMFF..LGGG.II... A97 B96 E98 I88 J93 K98 L98 N98 
2 0 2 ..K.BBJ.KDDNJAAM.NEELMFF..LGGGII.... A98 B96 E98 I89 J92 K98 L98 N98 
2 0 2 ..K.BBJ.KDDNJAAM.NEELMFF..LGGG...II. A98 B96 E98 I86 J92 K98 L98 N98 
2 0 2 ..K.BBJ.KDDNJAAM.NEELMFF..LGGG..II.. A98 B96 E98 I87 J92 K98 L98 N98 
2 0 2 ..K.BBJ.KDDNJAAM.NEELMFF..LGGG.II... A98 B96 E98 I88 J92 K98 L98 N98 
2 0 2 J.K.BBJ.KDDN.AAM.NEELMFF..LGGG.II... A98 B96 E98 I90 J93 K98 L98 N98 
2 0 2 J.K.BBJ.KDDN.AAM.NEELMFF..LGGG..II.. A98 B96 E98 I91 J93 K98 L98 N98 
2 0 2 J.K.BBJ.KDDNAA.M.NEELMFF..LGGG....II A97 B96 E98 I93 J93 K98 L98 N98 
2 0 2 ..K.BBJ.KDDNJAAM.NEELMFF..LGGG....II A98 B96 E98 I93 J92 K98 L98 N98 
2 0 2 J.K.BBJ.KDDNAA.M.NEE.MFF..LGGG..L.II A97 B96 E98 I93 J93 K98 L99 N98 
2 0 2 J.K.BBJ.KDDNAA.M.N.EEMFF..LGGG..L.II A97 B96 E97 I93 J93 K98 L99 N98 
2 0 2 ..K.BBJ.KDDNJAAM.NEE.MFF..LGGG..L.II A98 B96 E98 I93 J92 K98 L99 N98 
2 0 2 J.K.BBJ.KDDN.AAM.NEELMFF..LGGG...II. A98 B96 E98 I94 J93 K98 L98 N98 
2 0 2 J.K.BBJ.KDDNAA.M.NEE.MFF..LGGG..LII. A97 B96 E98 I94 J93 K98 L99 N98 
2 0 2 ..K.BBJ.KDDNJAAM.NEE.MFF..LGGG..LII. A98 B96 E98 I94 J92 K98 L99 N98 
2 0 2 J.K.BBJ.KDDNAA.M.N.EEMFF..LGGG..LII. A97 B96 E99 I94 J93 K98 L99 N98 
2 0 2 ..K.BBJ.KDDNJAAM.N.EEMFF..LGGG..LII. A98 B96 E99 I94 J94 K98 L99 N98 
2 0 2 ..K.BB..KDDNJAAM.NJEEMFF..LGGG..LII. A98 B96 E99 I94 J95 K98 L99 N98 
2 0 2 ..K.BB..KDDNAA.M.NJEEMFFJ.LGGG..LII. A97 B96 E99 I94 J96 K98 L99 N98 
2 0 2 ..K.BB..KDDN.AAM.N.EEMFFJ.LGGGJ.L.II A98 B96 E99 I95 J95 K98 L99 N98 
2 0 2 J.K.BBJ.KDDN.AAM.N.EEMFF..LGGG..L.II A98 B96 E99 I95 J93 K98 L99 N98 
2 0 2 ..K.BBJ.KDDNJAAM.N.EEMFF..LGGG..L.II A98 B96 E99 I95 J94 K98 L99 N98 
2 0 2 ..K.BB..KDDNJAAM.NJEEMFF..LGGG..L.II A98 B96 E99 I95 J95 K98 L99 N98 
2 0 2 ..K.BB..KDDNAA.M.NJEEMFFJ.LGGG..L.II A97 B96 E99 I95 J96 K98 L99 N98 
2 0 2 ..KBB...KDDNAA.M.N.EEMFFJ.LGGGJ.L.II A99 B97 E99 I95 J95 K98 L99 N98 
2 0 2 ..KBB...KDDN.AAM.NJEEMFFJ.LGGG..LII. A98 B97 E99 I94 J96 K98 L99 N98 
2 0 2 ..KBB...KDDN.AAM.N.EEMFFJ.LGGGJ.LII. A98 B97 E99 I94 J95 K98 L99 N98 
2 0 2 ..KBB...KDDN.AAM.NEE.MFFJ.LGGGJ.LII. A98 B97 E98 I94 J95 K98 L99 N98 
2 0 2 ..KBB...KDDNAA.M.NEELMFFJ.LGGGJ..II. A99 B97 E98 I94 J95 K98 L98 N98 
2 0 2 ...BBN..KDDNAAKM..EELMFFJ.LGGGJ..II. A99 B97 E98 I94 J95 K97 L98 N99 
2 0 2 .BB..N..KDDNAAKM..EELMFFJ.LGGGJ..II. A99 B95 E98 I94 J95 K97 L98 N99 
2 0 2 .BB..N..KDDNAAKM..EELMFFJ.LGGGJ...II A99 B95 E98 I93 J95 K97 L98 N99 
2 0 2 .BB..N..KDDNAAKM..EE.MFFJ.LGGGJ.L.II A99 B95 E98 I93 J95 K97 L97 N99 
2 0 2 .BB..N..KDDNAAKM...EEMFFJ.LGGGJ.L.II A99 B95 E97 I93 J95 K97 L97 N99 
2 0 2 .BB..N..KDDNAAKM...EEMFFJ.LGGGJ.LII. A99 B95 E97 I92 J95 K97 L97 N99 
2 0 2 .BB..N..KDDNAAKM..JEEMFFJ.LGGG..LII. A99 B95 E97 I92 J94 K97 L97 N99 
2 0 2 ..BB.N..KDDNAAKM..JEEMFFJ.LGGG..LII. A99 B94 E97 I92 J94 K97 L97 N99 
2 0 2 ..BB.N..KDDNAAKM...EEMFFJ.LGGGJ.LII. A99 B94 E97 I92 J95 K97 L97 N99 
2 0 2 ..BB.N..KDDNAAKM..EE.MFFJ.LGGGJ.LII. A99 B94 E96 I92 J95 K97 L97 N99 
2 0 2 ..BB.N...DDNAAKM..EEKMFFJ.LGGGJ.LII. A99 B94 E96 I92 J95 K96 L97 N99 
2 0 2 ..BB.N...DDNAAKM..EEKMFFJ.LGGGJ.L.II A99 B94 E96 I91 J95 K96 L97 N99 
