3 0 3 ...ICC..HI..AAHJ.KDDDJ.KFGEE.KFG.... 
2 0 2 ...ICC..HI..AAHJ..DDDJ.KFGEE.KFG...K K99 
1 0 1 ..HICC..HI..AA.J..DDDJ.KFGEE.KFG...K H99 K99 
1 0 1 ..HICC..HI..AA.J..DDDJ.KFG.EEKFG...K E99 H99 K99 
1 0 1 ..HICC..HI...AAJ..DDDJ.KFG.EEKFG...K A99 E99 H99 K99 
1 0 1 ..HICC..HI...AAJ..DDDJ.KFGEE.KFG...K A99 H99 K99 
2 0 2 ..HICC..HI.K.AAJ.KDDDJ.KFGEE..FG.... A99 H99 K97 
2 0 2 ..HICC..HI.K.AAJ.KDDDJ.KFG..EEFG.... A99 E98 H99 K97 
1 0 1 ..HICC..HI.K.AA..KDDD..KFG.JEEFG.J.. A99 E98 H99 J98 K97 
1 0 1 ..HICC..HI.K.AA..K..DDDKFG.JEEFG.J.. A99 D98 E98 H99 J98 K97 
1 0 1 ..HICC..HI.K.AA..K.GDDDKFG.JEEF..J.. A99 D98 E98 G99 H99 J98 K97 
1 0 1 ..HICC..HI.KAA...KFGDDDKFG.JEE...J.. A90 D94 E98 F91 G97 H99 J96 K97 
1 0 1 ..HICC..HI.K..AA.KFGDDDKFG.JEE...J.. A88 D94 E98 F91 G97 H99 J96 K97 
1 0 1 .GHICC.GHI.K..AA.KF.DDDKF..JEE...J.. A88 D94 E98 F91 G94 H99 J96 K97 
1 0 1 .GHICC.GHI.K..AA.K..DDDKF..JEEF..J.. A88 D94 E98 F90 G94 H99 J96 K97 
1 0 1 .GHICC.GHI.K..AA.KDDD..KF..JEEF..J.. A88 D92 E98 F90 G94 H99 J96 K97 
1 0 1 .GHICC.GHI.K..AA.KDDDJ.KF..JEEF..... A88 D92 E98 F90 G94 H99 J95 K97 
1 0 1 .GHICC.GHI.K...AAKDDDJ.KF..JEEF..... A87 D92 E98 F90 G94 H99 J95 K97 
1 0 1 .G.ICC.GHI.K..HAAKDDDJ.KF..JEEF..... A87 D92 E98 F90 G94 H98 J95 K97 
1 0 1 .G.ICC.GHI.K..HAAKDDD..KF..JEEF..J.. A87 D92 E98 F90 G94 H98 J94 K97 
1 0 1 .G.ICC.GHI.K..HAAK..DDDKF..JEEF..J.. A87 D90 E98 F90 G94 H98 J94 K97 
1 0 1 FG.ICCFGHI.K..HAAK..DDDK...JEE...J.. A87 D90 E98 F86 G94 H98 J94 K97 
1 0 1 FG.ICCFGHI.K..HAAKDDD..K...JEE...J.. A87 D88 E98 F86 G94 H98 J94 K97 
1 0 1 FG.ICCFGHI.K..HAAKDDDJ.K...JEE...... A87 D88 E98 F86 G94 H98 J93 K97 
1 0 1 FGHICCFGHI.K...AAKDDDJ.K...JEE...... A87 D88 E98 F86 G94 H97 J93 K97 
1 0 1 FGHICCFGHI.KAA...KDDDJ.K...JEE...... A84 D88 E98 F86 G94 H97 J93 K97 
1 0 1 FGHICCFGHI.KAA...KDDD..K...JEE...J.. A84 D88 E98 F86 G94 H97 J92 K97 
1 0 1 FGHICCFGHI.KAA...K..DDDK...JEE...J.. A84 D86 E98 F86 G94 H97 J92 K97 
1 0 1 FGHICCFGHI.K.AA..K..DDDK...JEE...J.. A83 D86 E98 F86 G94 H97 J92 K97 
1 0 1 FGHICCFGHI.K.AA..K.DDD.K...JEE...J.. A83 D85 E98 F86 G94 H97 J92 K97 
1 0 1 FGHICCFGHI.K...AAK.DDD.K...JEE...J.. A81 D85 E98 F86 G94 H97 J92 K97 
1 0 1 F.HICCFGHI.K.G.AAK.DDD.K...JEE...J.. A81 D85 E98 F86 G93 H97 J92 K97 
1 0 1 F.HICCFGHI.K.G.AAKDDD..K...JEE...J.. A81 D84 E98 F86 G93 H97 J92 K97 
1 0 1 F.HICCFGHI.K.GAA.KDDD..K...JEE...J.. A80 D84 E98 F86 G93 H97 J92 K97 
1 0 1 F.HICCFGHI.K.GAA.KDDDJ.K...JEE...... A80 D84 E98 F86 G93 H97 J91 K97 
1 0 1 ..HICCFGHI.KFGAA.KDDDJ.K...JEE...... A80 D84 E98 F85 G93 H97 J91 K97 
1 0 1 ..HICCFGHI.KFG.AAKDDDJ.K...JEE...... A79 D84 E98 F85 G93 H97 J91 K97 
1 0 1 ...ICCFGHI.KFGHAAKDDDJ.K...JEE...... A79 D84 E98 F85 G93 H96 J91 K97 
1 0 1 ...ICCFGHI.KFGHAAKDDD..K...JEE...J.. A79 D84 E98 F85 G93 H96 J90 K97 
1 0 1 ...ICCFGHI.KFGHAAK..DDDK...JEE...J.. A79 D82 E98 F85 G93 H96 J90 K97 
1 0 1 ...ICCF.HI.KF.HAAK..DDDK.G.JEE.G.J.. A79 D82 E98 F85 G90 H96 J90 K97 
1 0 1 ...ICCF.HI.KF.HAAKDDD..K.G.JEE.G.J.. A79 D80 E98 F85 G90 H96 J90 K97 
1 0 1 ...ICCF.HI.KF.HAAKDDDJ.K.G.JEE.G.... A79 D80 E98 F85 G90 H96 J89 K97 
1 0 1 ...ICC..HI.K..HAAKF.DDDKFG.JEE.G.J.. A79 D82 E98 F83 G90 H96 J90 K97 
1 0 1 ...ICC..HI.K.GHAAKFGDDDKF..JEE...J.. A79 D82 E98 F83 G88 H96 J90 K97 
1 0 1 ...ICC..HI.KFGHAAKFGDDDK...JEE...J.. A79 D82 E98 F82 G88 H96 J90 K97 
1 0 1 ...ICC..HI.KF.HAAKFGDDDK.G.JEE...J.. A79 D82 E98 F82 G87 H96 J90 K97 
1 0 1 ..HICC..HI.KFG.AAKFGDDDK...JEE...J.. A79 D82 E98 F82 G88 H95 J90 K97 
1 0 1 ..HICC..HI.K.G.AAK.GDDDKF..JEEF..J.. A79 D82 E98 F80 G88 H95 J90 K97 
1 0 1 ..HICC.GHI.K.G.AAK..DDDKF..JEEF..J.. A79 D82 E98 F80 G87 H95 J90 K97 
1 0 1 ..HICC.GHI.K.G.AAKF.DDDKF..JEE...J.. A79 D82 E98 F79 G87 H95 J90 K97 
1 0 1 ..HICC.GHI.K.G.AAKDDD..KF..JEEF..J.. A79 D80 E98 F80 G87 H95 J90 K97 
1 0 1 ..HICC..HI.KFGAA.KFGDDDK...JEE...J.. A78 D82 E98 F82 G88 H95 J90 K97 
1 0 1 ..HICC..HI.KF.AA.KF.DDDK.G.JEE.G.J.. A78 D82 E98 F82 G86 H95 J90 K97 
1 0 1 ..HICC..HI.KF.AA.KFDDD.K.G.JEE.G.J.. A78 D81 E98 F82 G86 H95 J90 K97 
1 0 1 F.HICCF.HI.K..AA.K.DDD.K.G.JEE.G.J.. A78 D81 E98 F80 G86 H95 J90 K97 
1 0 1 F.HICCF.HI.KAA...K.DDD.K.G.JEE.G.J.. A76 D81 E98 F80 G86 H95 J90 K97 
1 0 1 ..HICCF.HI.KF.AA.K..DDDK.G.JEE.G.J.. A78 D82 E98 F81 G86 H95 J90 K97 
1 0 1 ..HICCFGHI.KFGAA.K..DDDK...JEE...J.. A78 D82 E98 F81 G83 H95 J90 K97 
1 0 1 ..HICCFGHI.KFGAA.K.DDD.K...JEE...J.. A78 D81 E98 F81 G83 H95 J90 K97 
1 0 1 ..HICC.GHI.K.GAA.K.DDD.KF..JEEF..J.. A78 D81 E98 F78 G83 H95 J90 K97 
1 0 1 ..HICC.GHI.K.GAA.KFDDD.KF..JEE...J.. A78 D81 E98 F79 G83 H95 J90 K97 
1 0 1 ..HICC.GHI.KFGAA.KFDDD.K...JEE...J.. A78 D81 E98 F80 G83 H95 J90 K97 
1 0 1 .GHICC.GHI.KF.AA.KFDDD.K...JEE...J.. A78 D81 E98 F80 G82 H95 J90 K97 
1 0 1 .GHICCFGHI.KF.AA.K.DDD.K...JEE...J.. A78 D81 E98 F81 G82 H95 J90 K97 
1 0 1 .GHICCFGHI.KF.AA.KDDD..K...JEE...J.. A78 D80 E98 F81 G82 H95 J90 K97 
1 0 1 .GHICCFGHI.KF..AAKDDD..K...JEE...J.. A77 D80 E98 F81 G82 H95 J90 K97 
1 0 1 .GHICCFGHI.KF..AAK..DDDK...JEE...J.. A77 D78 E98 F81 G82 H95 J90 K97 
1 0 1 .GHICCFGHI.KFAA..KDDD..K...JEE...J.. A77 D80 E98 F81 G82 H95 J90 K97 
1 0 1 .GHICCFGHI.KFAA..KDDDJ.K...JEE...... A77 D80 E98 F81 G82 H95 J89 K97 
1 0 1 ..HICC.GHI.KFGAA.KF.DDDK...JEE...J.. A78 D82 E98 F82 G87 H95 J90 K97 
1 0 1 F.HICCF.HI.K.GAA.K.GDDDK...JEE...J.. A78 D82 E98 F80 G88 H95 J90 K97 
1 0 1 ..HICCF.HI.KFGAA.K.GDDDK...JEE...J.. A78 D82 E98 F81 G88 H95 J90 K97 
1 0 1 .GHICC.GHI.KF..AAKF.DDDK...JEE...J.. A79 D82 E98 F82 G86 H95 J90 K97 
1 0 1 ..HICC.GHI.KFG.AAKF.DDDK...JEE...J.. A79 D82 E98 F82 G87 H95 J90 K97 
1 0 1 ..HICCF.HI.KFG.AAK.GDDDK...JEE...J.. A79 D82 E98 F81 G88 H95 J90 K97 
1 0 1 ..HICC..HI.K.G.AAKFGDDDKF..JEE...J.. A79 D82 E98 F83 G88 H95 J90 K97 
1 0 1 ...ICC..HI.K..HAAKFGDDDKFG.JEE...J.. A79 D82 E98 F83 G89 H96 J90 K97 
1 0 1 ...ICC..HI.K..HAAKFDDD.KFG.JEE.G.J.. A79 D81 E98 F83 G90 H96 J90 K97 
1 0 1 F..ICCF.HI.K..HAAK.DDD.K.G.JEE.G.J.. A79 D81 E98 F80 G90 H96 J90 K97 
1 0 1 ...ICC..HI.KF.HAAKFDDD.K.G.JEE.G.J.. A79 D81 E98 F82 G90 H96 J90 K97 
1 0 1 ...ICC..HI.KF.HAAKF.DDDK.G.JEE.G.J.. A79 D82 E98 F84 G90 H96 J90 K97 
1 0 1 ...ICCF.HI.KF.HAAK.GDDDK.G.JEE...J.. A79 D82 E98 F85 G91 H96 J90 K97 
1 0 1 ...ICCF.HI.KFGHAAK.GDDDK...JEE...J.. A79 D82 E98 F85 G92 H96 J90 K97 
1 0 1 ...ICC.GHI.K.GHAAKF.DDDKF..JEE...J.. A79 D82 E98 F83 G93 H96 J90 K97 
1 0 1 ...ICC.GHI.K.GHAAKFDDD.KF..JEE...J.. A79 D81 E98 F83 G93 H96 J90 K97 
1 0 1 ...ICC.GHI.K.GHAAK.DDD.KF..JEEF..J.. A79 D81 E98 F82 G93 H96 J90 K97 
1 0 1 ...ICC.GHI.KFGHAAKFDDD.K...JEE...J.. A79 D81 E98 F82 G93 H96 J90 K97 
1 0 1 .G.ICC.GHI.KF.HAAKFDDD.K...JEE...J.. A79 D81 E98 F82 G92 H96 J90 K97 
1 0 1 .G.ICCFGHI.KF.HAAK.DDD.K...JEE...J.. A79 D81 E98 F81 G92 H96 J90 K97 
1 0 1 .G.ICC.GHI.K..HAAKFDDD.KF..JEE...J.. A79 D81 E98 F83 G92 H96 J90 K97 
1 0 1 ...ICC.GHI.KFGHAAKF.DDDK...JEE...J.. A79 D82 E98 F84 G93 H96 J90 K97 
1 0 1 ..HICCFGHI.KFG.AAK..DDDK...JEE...J.. A79 D82 E98 F85 G93 H95 J90 K97 
1 0 1 ...ICCFGHI.KFGHAAK.DDD.K...JEE...J.. A79 D83 E98 F85 G93 H96 J90 K97 
1 0 1 .GHICCFGHI.KF.AA.KDDDJ.K...JEE...... A80 D84 E98 F85 G92 H97 J91 K97 
1 0 1 F.HICCFGHI.K.GAA.K..DDDK...JEE...J.. A80 D82 E98 F86 G93 H97 J92 K97 
1 0 1 ..HICCFGHI.KFGAA.KDDD..K...JEE...J.. A80 D84 E98 F85 G93 H97 J92 K97 
1 0 1 ..HICCFGHI.KFG.AAKDDD..K...JEE...J.. A81 D84 E98 F85 G93 H97 J92 K97 
1 0 1 F.HICCFGHI.K.GAA.K.DDD.K...JEE...J.. A80 D85 E98 F86 G93 H97 J92 K97 
1 0 1 F..ICCFGHI.K.GHAAK.DDD.K...JEE...J.. A81 D85 E98 F86 G93 H96 J92 K97 
1 0 1 ..HICC.GHI.K.G.AAK.DDD.KF..JEEF..J.. A81 D85 E98 F82 G93 H97 J92 K97 
1 0 1 ..HICC.GHI.K.G.AAKFDDD.KF..JEE...J.. A81 D85 E98 F83 G93 H97 J92 K97 
1 0 1 ..HICC.GHI.KFG.AAKFDDD.K...JEE...J.. A81 D85 E98 F84 G93 H97 J92 K97 
1 0 1 ..HICCFGHI.KFG.AAK.DDD.K...JEE...J.. A81 D85 E98 F85 G93 H97 J92 K97 
1 0 1 .GHICC.GHI.K...AAK.DDD.KF..JEEF..J.. A81 D85 E98 F82 G94 H97 J92 K97 
1 0 1 .GHICC.GHI.KAA...K.DDD.KF..JEEF..J.. A78 D85 E98 F82 G94 H97 J92 K97 
1 0 1 .GHICC.GHI.KAA...KFDDD.KF..JEE...J.. A78 D85 E98 F81 G94 H97 J92 K97 
1 0 1 .GHICC.GHI.K...AAKFDDD.KF..JEE...J.. A81 D85 E98 F83 G94 H97 J92 K97 
1 0 1 .GHICC.GHI.KF..AAKFDDD.K...JEE...J.. A81 D85 E98 F84 G94 H97 J92 K97 
1 0 1 .GHICCFGHI.KF..AAK.DDD.K...JEE...J.. A81 D85 E98 F85 G94 H97 J92 K97 
1 0 1 FGHICCFGHI.K..AA.K.DDD.K...JEE...J.. A82 D85 E98 F86 G94 H97 J92 K97 
1 0 1 .GHICC.GHI.K.AA..K.DDD.KF..JEEF..J.. A83 D85 E98 F82 G94 H97 J92 K97 
1 0 1 .GHICC.GHI.K.AA..KFDDD.KF..JEE...J.. A83 D85 E98 F83 G94 H97 J92 K97 
1 0 1 .GHICC.GHI.KFAA..KFDDD.K...JEE...J.. A83 D85 E98 F84 G94 H97 J92 K97 
1 0 1 .GHICCFGHI.KFAA..K.DDD.K...JEE...J.. A83 D85 E98 F85 G94 H97 J92 K97 
1 0 1 .GHICC.GHI.KFAA..KF.DDDK...JEE...J.. A83 D86 E98 F84 G94 H97 J92 K97 
1 0 1 .GHICCFGHI.KFAA..K..DDDK...JEE...J.. A83 D86 E98 F85 G94 H97 J92 K97 
1 0 1 FGHICCFGHI.KAA...K.DDD.K...JEE...J.. A84 D87 E98 F86 G94 H97 J92 K97 
1 0 1 FGHICCFGHI.K..AA.KDDD..K...JEE...J.. A82 D88 E98 F86 G94 H97 J92 K97 
1 0 1 FGHICCFGHI.K.AA..KDDD..K...JEE...J.. A83 D88 E98 F86 G94 H97 J92 K97 
1 0 1 FGHICCFGHI.K.AA..KDDDJ.K...JEE...... A85 D88 E98 F86 G94 H97 J93 K97 
1 0 1 FGHICCFGHI.K..AA.KDDDJ.K...JEE...... A86 D88 E98 F86 G94 H97 J93 K97 
1 0 1 F.HICCFGHI.K.G.AAKDDDJ.K...JEE...... A87 D88 E98 F86 G93 H97 J93 K97 
1 0 1 .GHICCFGHI.KF..AAKDDDJ.K...JEE...... A87 D88 E98 F85 G94 H97 J93 K97 
1 0 1 F..ICCFGHI.K.GHAAKDDDJ.K...JEE...... A87 D88 E98 F86 G93 H98 J93 K97 
1 0 1 .G.ICCFGHI.KF.HAAKDDDJ.K...JEE...... A87 D88 E98 F85 G94 H98 J93 K97 
1 0 1 FGHICCFGHI.K...AAKDDD..K...JEE...J.. A87 D88 E98 F86 G94 H97 J94 K97 
1 0 1 F..ICCFGHI.K.GHAAKDDD..K...JEE...J.. A87 D88 E98 F86 G93 H98 J94 K97 
1 0 1 .G.ICCFGHI.KF.HAAKDDD..K...JEE...J.. A87 D88 E98 F85 G94 H98 J94 K97 
1 0 1 FG.ICCFGHI.K..HAAK.DDD.K...JEE...J.. A87 D89 E98 F86 G94 H98 J94 K97 
1 0 1 F..ICCF.HI.K.GHAAK.GDDDK...JEE...J.. A87 D90 E98 F86 G92 H98 J94 K97 
1 0 1 F..ICCFGHI.K.GHAAK..DDDK...JEE...J.. A87 D90 E98 F86 G93 H98 J94 K97 
1 0 1 .G.ICCFGHI.KF.HAAK..DDDK...JEE...J.. A87 D90 E98 F87 G94 H98 J94 K97 
1 0 1 .G.ICC.GHI.KF.HAAKF.DDDK...JEE...J.. A87 D90 E98 F88 G94 H98 J94 K97 
1 0 1 .G.ICC.GHI.K..HAAKF.DDDKF..JEE...J.. A87 D90 E98 F89 G94 H98 J94 K97 
1 0 1 ...ICC..HI.K..HAAK..DDDKFG.JEEFG.J.. A87 D90 E98 F90 G90 H98 J94 K97 
1 0 1 ...ICC..HI.K..HAAKDDD..KFG.JEEFG.J.. A87 D88 E98 F90 G90 H98 J94 K97 
1 0 1 ...ICC..HI.K..HAAKDDDJ.KFG.JEEFG.... A87 D88 E98 F90 G90 H98 J93 K97 
1 0 1 ..HICC..HI.K...AAKDDDJ.KFG.JEEFG.... A87 D88 E98 F90 G90 H97 J93 K97 
1 0 1 ..HICC..HI.KAA...KDDDJ.KFG.JEEFG.... A84 D88 E98 F90 G90 H97 J93 K97 
1 0 1 ..HICC..HI.K..AA.KDDDJ.KFG.JEEFG.... A86 D88 E98 F90 G90 H97 J93 K97 
1 0 1 ...ICC..HI.K..HAAK.GDDDKFG.JEEF..J.. A87 D90 E98 F90 G91 H98 J94 K97 
1 0 1 ...ICC..HI.K.GHAAK.GDDDKF..JEEF..J.. A87 D90 E98 F90 G92 H98 J94 K97 
1 0 1 ...ICC.GHI.K.GHAAK..DDDKF..JEEF..J.. A87 D90 E98 F90 G93 H98 J94 K97 
1 0 1 .G.ICC.GHI.K..HAAK.DDD.KF..JEEF..J.. A87 D91 E98 F90 G94 H98 J94 K97 
1 0 1 ...ICC.GHI.K.GHAAKDDD..KF..JEEF..J.. A87 D92 E98 F90 G93 H98 J94 K97 
1 0 1 ...ICC.GHI.K.GHAAKDDDJ.KF..JEEF..... A87 D92 E98 F90 G93 H98 J95 K97 
1 0 1 ..HICC.GHI.K.G.AAKDDDJ.KF..JEEF..... A87 D92 E98 F90 G93 H99 J95 K97 
1 0 1 .GHICC.GHI.KAA...KDDDJ.KF..JEEF..... A86 D92 E98 F90 G94 H99 J95 K97 
1 0 1 .GHICC.GHI.K.AA..KDDDJ.KF..JEEF..... A87 D92 E98 F90 G94 H99 J95 K97 
1 0 1 ..HICC.GHI.K.GAA.KDDDJ.KF..JEEF..... A88 D92 E98 F90 G93 H99 J95 K97 
1 0 1 .GHICC.GHI.K...AAKDDD..KF..JEEF..J.. A87 D92 E98 F90 G94 H99 J96 K97 
1 0 1 .GHICC.GHI.KAA...KDDD..KF..JEEF..J.. A86 D92 E98 F90 G94 H99 J96 K97 
1 0 1 .GHICC.GHI.K.AA..KDDD..KF..JEEF..J.. A87 D92 E98 F90 G94 H99 J96 K97 
1 0 1 ..HICC.GHI.K.GAA.KDDD..KF..JEEF..J.. A88 D92 E98 F90 G93 H99 J96 K97 
1 0 1 .GHICC.GHI.K..AA.K.DDD.KF..JEEF..J.. A88 D93 E98 F90 G94 H99 J96 K97 
1 0 1 .GHICC.GHI.K...AAK..DDDKF..JEEF..J.. A87 D94 E98 F90 G94 H99 J96 K97 
1 0 1 .GHICC.GHI.KAA...K..DDDKF..JEEF..J.. A86 D94 E98 F90 G94 H99 J96 K97 
1 0 1 .GHICC.GHI.K.AA..K..DDDKF..JEEF..J.. A87 D94 E98 F90 G94 H99 J96 K97 
1 0 1 ..HICC..HI.K.GAA.K.GDDDKF..JEEF..J.. A88 D94 E98 F90 G92 H99 J96 K97 
1 0 1 ..HICC.GHI.K.GAA.K..DDDKF..JEEF..J.. A88 D94 E98 F90 G93 H99 J96 K97 
1 0 1 .GHICC.GHI.K..AA.KFDDD.KF..JEE...J.. A88 D93 E98 F91 G94 H99 J96 K97 
1 0 1 FGHICCFGHI.K..AA.K..DDDK...JEE...J.. A88 D94 E98 F88 G94 H99 J96 K97 
1 0 1 .GHICCFGHI.KF.AA.K..DDDK...JEE...J.. A88 D94 E98 F89 G94 H99 J96 K97 
1 0 1 .GHICC.GHI.KF.AA.KF.DDDK...JEE...J.. A88 D94 E98 F90 G94 H99 J96 K97 
1 0 1 .GHICC.GHI.K...AAKF.DDDKF..JEE...J.. A87 D94 E98 F91 G94 H99 J96 K97 
1 0 1 .GHICC.GHI.KAA...KF.DDDKF..JEE...J.. A86 D94 E98 F91 G94 H99 J96 K97 
1 0 1 .GHICC.GHI.K.AA..KF.DDDKF..JEE...J.. A87 D94 E98 F91 G94 H99 J96 K97 
1 0 1 ..HICC.GHI.K.GAA.KF.DDDKF..JEE...J.. A88 D94 E98 F91 G95 H99 J96 K97 
1 0 1 ..HICC..HI.K.GAA.KFGDDDKF..JEE...J.. A88 D94 E98 F91 G96 H99 J96 K97 
1 0 1 ..HICCF.HI.KF.AA.K.GDDDK.G.JEE...J.. A88 D94 E98 F89 G97 H99 J96 K97 
1 0 1 ..HICC..HI.KF.AA.KFGDDDK.G.JEE...J.. A88 D94 E98 F90 G97 H99 J96 K97 
1 0 1 ..HICC..HI.K..AA.KF.DDDKFG.JEE.G.J.. A88 D94 E98 F91 G98 H99 J96 K97 
1 0 1 ..HICC..HI.K..AA.KFDDD.KFG.JEE.G.J.. A88 D95 E98 F91 G98 H99 J96 K97 
1 0 1 ..HICC..HI.K..AA.K.DDD.KFG.JEEFG.J.. A92 D95 E98 F92 G98 H99 J96 K97 
1 0 1 ...ICC..HI.K..HAAK.DDD.KFG.JEEFG.J.. A93 D95 E98 F92 G98 H98 J96 K97 
1 0 1 ..HICC..HI.K...AAKFDDD.KFG.JEE.G.J.. A93 D95 E98 F93 G98 H99 J96 K97 
1 0 1 ..HICC..HI.KF..AAKFDDD.K.G.JEE.G.J.. A93 D95 E98 F94 G98 H99 J96 K97 
1 0 1 ...ICCF.HI.KF.HAAK.DDD.K.G.JEE.G.J.. A93 D95 E98 F95 G98 H98 J96 K97 
1 0 1 ..HICCF.HI.KF.AA.K.DDD.K.G.JEE.G.J.. A94 D95 E98 F95 G98 H99 J96 K97 
1 0 1 ..HICC..HI.K.AA..KFDDD.KFG.JEE.G.J.. A95 D95 E98 F93 G98 H99 J96 K97 
1 0 1 ..HICC..HI.KFAA..KFDDD.K.G.JEE.G.J.. A95 D95 E98 F94 G98 H99 J96 K97 
1 0 1 F.HICCF.HI.K.AA..K.DDD.K.G.JEE.G.J.. A95 D95 E98 F94 G98 H99 J96 K97 
1 0 1 ..HICCF.HI.KF.AA.KDDD..K.G.JEE.G.J.. A94 D96 E98 F95 G98 H99 J96 K97 
1 0 1 ..HICCF.HI.KF.AA.KDDDJ.K.G.JEE.G.... A94 D96 E98 F95 G98 H99 J97 K97 
1 0 1 F.HICCF.HI.K..AA.KDDDJ.K.G.JEE.G.... A96 D96 E98 F96 G98 H99 J97 K97 
1 0 1 F..ICCF.HI.K..HAAKDDDJ.K.G.JEE.G.... A97 D96 E98 F96 G98 H98 J97 K97 
1 0 1 ..HICCF.HI.KF..AAKDDDJ.K.G.JEE.G.... A97 D96 E98 F95 G98 H99 J97 K97 
1 0 1 F.HICCF.HI.KAA...KDDD..K.G.JEE.G.J.. A94 D96 E98 F96 G98 H99 J98 K97 
1 0 1 F.HICCF.HI.K.AA..KDDD..K.G.JEE.G.J.. A95 D96 E98 F96 G98 H99 J98 K97 
1 0 1 F.HICCF.HI.K..AA.KDDD..K.G.JEE.G.J.. A96 D96 E98 F96 G98 H99 J98 K97 
1 0 1 F..ICCF.HI.K..HAAKDDD..K.G.JEE.G.J.. A97 D96 E98 F96 G98 H98 J98 K97 
1 0 1 ..HICCF.HI.KF..AAKDDD..K.G.JEE.G.J.. A97 D96 E98 F95 G98 H99 J98 K97 
1 0 1 F.HICCF.HI.K...AAK.DDD.K.G.JEE.G.J.. A97 D97 E98 F96 G98 H99 J98 K97 
1 0 1 F.HICCF.HI.KAA...K..DDDK.G.JEE.G.J.. A94 D98 E98 F96 G98 H99 J98 K97 
1 0 1 F.HICCF.HI.K..AA.K..DDDK.G.JEE.G.J.. A96 D98 E98 F96 G98 H99 J98 K97 
1 0 1 F..ICCF.HI.K..HAAK..DDDK.G.JEE.G.J.. A97 D98 E98 F96 G98 H98 J98 K97 
1 0 1 ..HICC..HI.K...AAKF.DDDKFG.JEE.G.J.. A97 D98 E98 F93 G98 H99 J98 K97 
1 0 1 ..HICC..HI.KF..AAKF.DDDK.G.JEE.G.J.. A97 D98 E98 F94 G98 H99 J98 K97 
1 0 1 ..HICCF.HI.KF..AAK..DDDK.G.JEE.G.J.. A97 D98 E98 F95 G98 H99 J98 K97 
1 0 1 FGHICCFGHI.K...AAK..DDDK...JEE...J.. A97 D98 E98 F96 G96 H99 J98 K97 
1 0 1 F.HICCFGHI.K.G.AAK..DDDK...JEE...J.. A97 D98 E98 F96 G97 H99 J98 K97 
1 0 1 F.HICCF.HI.K.G.AAK.GDDDK...JEE...J.. A97 D98 E98 F96 G98 H99 J98 K97 
