15 0 15 F..BBBF..H.KAA.HJKCCCIJK..GIDDEEG... 
15 0 15 F..BBBF..H.KAA.HJKCCC.JK..GIDDEEGI.. I99 
15 0 15 F..BBBF..H.KAA.HJK.CCCJK..GIDDEEGI.. C99 I99 
15 0 15 F..BBBF..HJKAA.HJK.CCC.K..GIDDEEGI.. C99 I99 J99 
15 0 15 F..BBBF..HJKAA.HJK..CCCK..GIDDEEGI.. C98 I99 J99 
15 0 15 F..BBBF..HJK.AAHJK..CCCK..GIDDEEGI.. A99 C98 I99 J99 
15 0 15 F..BBBF..HJK.AAHJKCCC..K..GIDDEEGI.. A99 C96 I99 J99 
15 0 15 F..BBBF..HJK.AAHJKCCCI.K..GIDDEEG... A99 C96 I98 J99 
15 0 15 ...BBBF..HJKFAAHJKCCCI.K..GIDDEEG... A99 C96 F99 I98 J99 
15 0 15 ...BBBF..H.KFAAHJKCCCIJK..GIDDEEG... A99 C96 F99 I98 J98 
15 0 15 ...BBBF..H.KFAAHJKCCC.JK..GIDDEEGI.. A99 C96 F99 I97 J98 
15 0 15 ...BBBF..H.KFAAHJK.CCCJK..GIDDEEGI.. A99 C95 F99 I97 J98 
15 0 15 ...BBBF..HJKFAAHJK.CCC.K..GIDDEEGI.. A99 C95 F99 I97 J97 
15 0 15 ...BBB...HJK.AAHJKFCCC.KF.GIDDEEGI.. A99 C95 F97 I97 J97 
15 0 15 ...BBB...HJKAA.HJKFCCC.KF.GIDDEEGI.. A98 C95 F97 I97 J97 
15 0 15 ...BBB...HJKAA.HJKF.CCCKF.GIDDEEGI.. A98 C94 F97 I97 J97 
15 0 15 BBB......HJKAA.HJKF.CCCKF.GIDDEEGI.. A98 B97 C94 F97 I97 J97 
10 0 10 BBB.J....HJKAA.H.KF.CCCKF.GIDDEEGI.. A98 B97 C94 F97 I97 J96 
5 0 5 BBBHJ....HJKAA...KF.CCCKF.GIDDEEGI.. A98 B97 C94 F97 H99 I97 J96 
5 0 5 BBBHJ....HJKAA...KFCCC.KF.GIDDEEGI.. A98 B97 C93 F97 H99 I97 J96 
5 0 5 BBBHJ....HJK...AAKFCCC.KF.GIDDEEGI.. A95 B97 C93 F97 H99 I97 J96 
5 0 5 BBBHJ.F..HJKF..AAK.CCC.K..GIDDEEGI.. A95 B97 C93 F95 H99 I97 J96 
5 0 5 BBBHJ.F..HJKF..AAK..CCCK..GIDDEEGI.. A95 B97 C92 F95 H99 I97 J96 
5 0 5 BBBHJ.F..HJKFAA..K..CCCK..GIDDEEGI.. A93 B97 C92 F95 H99 I97 J96 
5 0 5 BBBHJ.F..HJKFAA..KCCC..K..GIDDEEGI.. A93 B97 C90 F95 H99 I97 J96 
5 0 5 BBBHJ.F..HJKFAA..KCCCI.K..GIDDEEG... A93 B97 C90 F95 H99 I96 J96 
5 0 5 BBBHJ.F..HJKF..AAKCCCI.K..GIDDEEG... A91 B97 C90 F95 H99 I96 J96 
5 0 5 BBBHJKF..HJKF..AAKCCCI....GIDDEEG... A91 B97 C90 F95 H99 I96 J96 K99 
5 0 5 BBBHJKF..HJKF..AAKCCC.....GIDDEEGI.. A91 B97 C90 F95 H99 I95 J96 K99 
5 0 5 BBBHJKF..HJKF..AAK...CCC..GIDDEEGI.. A91 B97 C87 F95 H99 I95 J96 K99 
5 0 5 BBBHJKF.GHJKF.GAAK...CCC...IDDEE.I.. A91 B97 C87 F95 G97 H99 I95 J96 K99 
5 0 5 BBBHJK...HJK...AAK..GCCCF.GIDDF..IEE A85 B97 C73 E94 F88 G93 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK...AAKF.GCCCF.GIDD...IEE A85 B97 C73 E94 F87 G93 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK..GAAKF.GCCCF..IDD...IEE A85 B97 C73 E94 F87 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKF.GAAKF.GCCC...IDD...IEE A85 B97 C73 E94 F86 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKAA...KF.GCCCF.GIDD...IEE A82 B97 C73 E94 F87 G93 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKAA...KF..CCCF.GIDD..GIEE A82 B97 C73 E94 F87 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKAA...K...CCCF.GIDDF.GIEE A82 B97 C73 E94 F86 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKAA...KCCC...F.GIDDF.GIEE A82 B97 C70 E94 F86 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKAA...KCCCI..F.GIDDF.G.EE A82 B97 C70 E94 F86 G92 H99 I90 J96 K97 
5 0 5 BBBHJK...HJKAA...KCCCI..F.GIDDF.GEE. A82 B97 C70 E93 F86 G92 H99 I90 J96 K97 
5 0 5 BBBHJ....HJKAA...KCCCI.KF.GIDDF.GEE. A82 B97 C70 E93 F86 G92 H99 I90 J96 K96 
5 0 5 BBBHJ....HJK...AAKCCCI.KF.GIDDF.GEE. A79 B97 C70 E93 F86 G92 H99 I90 J96 K96 
5 0 5 BBBHJ....HJK...AAKCCCI.KF.GIDDF.G.EE A79 B97 C70 E92 F86 G92 H99 I90 J96 K96 
5 0 5 BBBHJ....HJK...AAKCCC..KF.GIDDF.GIEE A79 B97 C70 E92 F86 G92 H99 I89 J96 K96 
5 0 5 BBBHJ....HJK.AA..KCCC..KF.GIDDF.GIEE A77 B97 C70 E92 F86 G92 H99 I89 J96 K96 
5 0 5 BBBHJ....HJK.AA..KCCCI.KF.GIDDF.G.EE A77 B97 C70 E92 F86 G92 H99 I90 J96 K96 
5 0 5 BBBHJ....HJK..AA.KCCCI.KF.GIDDF.G.EE A78 B97 C70 E92 F86 G92 H99 I90 J96 K96 
5 0 5 BBBHJ....HJK..AA.KCCCI.KF.GIDDF.GEE. A80 B97 C70 E93 F86 G92 H99 I90 J96 K96 
5 0 5 BBBHJ....HJK.AA..KCCCI.KF.GIDDF.GEE. A81 B97 C70 E93 F86 G92 H99 I90 J96 K96 
5 0 5 BBBHJK...HJK...AAKCCCI..F.GIDDF.GEE. A79 B97 C70 E93 F86 G92 H99 I90 J96 K97 
5 0 5 BBBHJK...HJK..AA.KCCCI..F.GIDDF.GEE. A80 B97 C70 E93 F86 G92 H99 I90 J96 K97 
5 0 5 BBBHJK...HJK.AA..KCCCI..F.GIDDF.GEE. A81 B97 C70 E93 F86 G92 H99 I90 J96 K97 
5 0 5 BBBHJ....HJKAA...KCCCI.KF.GIDDF.G.EE A82 B97 C70 E94 F86 G92 H99 I90 J96 K96 
5 0 5 BBBHJK...HJK...AAKCCCI..F.GIDDF.G.EE A79 B97 C70 E94 F86 G92 H99 I90 J96 K97 
5 0 5 BBBHJK...HJK..AA.KCCCI..F.GIDDF.G.EE A80 B97 C70 E94 F86 G92 H99 I90 J96 K97 
5 0 5 BBBHJK...HJK.AA..KCCCI..F.GIDDF.G.EE A81 B97 C70 E94 F86 G92 H99 I90 J96 K97 
5 0 5 BBBHJ....HJKAA...KCCC..KF.GIDDF.GIEE A82 B97 C70 E94 F86 G92 H99 I91 J96 K96 
5 0 5 BBBHJK...HJK...AAKCCC...F.GIDDF.GIEE A79 B97 C70 E94 F86 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK...AAK..CCC.F.GIDDF.GIEE A79 B97 C68 E94 F86 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK...AAKF.CCC.F.GIDD..GIEE A79 B97 C68 E94 F85 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK...AAKFCCC..F.GIDD..GIEE A79 B97 C67 E94 F85 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKF..AAKFCCC....GIDD..GIEE A79 B97 C67 E94 F84 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKFAA..KFCCC....GIDD..GIEE A77 B97 C67 E94 F84 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK.AA..K.CCC..F.GIDDF.GIEE A77 B97 C67 E94 F82 G92 H99 I91 J96 K97 
5 0 5 BBBHJ....HJKFAA..KFCCC.K..GIDD..GIEE A77 B97 C67 E94 F84 G92 H99 I91 J96 K96 
5 0 5 BBBHJ....HJK.AA..KFCCC.KF.GIDD..GIEE A77 B97 C67 E94 F83 G92 H99 I91 J96 K96 
5 0 5 BBBHJ....HJKAA...KFCCC.KF.GIDD..GIEE A76 B97 C67 E94 F83 G92 H99 I91 J96 K96 
5 0 5 BBBHJ....HJKAA...KF.CCCKF.GIDD..GIEE A76 B97 C66 E94 F83 G92 H99 I91 J96 K96 
5 0 5 BBBHJKF..HJKFAA..K.CCC....GIDD..GIEE A77 B97 C67 E94 F83 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK.AA..KFCCC..F.GIDD..GIEE A77 B97 C67 E94 F85 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK..AA.KFCCC..F.GIDD..GIEE A78 B97 C67 E94 F85 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK.AA..KF.CCC.F.GIDD..GIEE A77 B97 C68 E94 F85 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK.AA..K..CCC.F.GIDDF.GIEE A77 B97 C68 E94 F86 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK...AAK.CCC..F.GIDDF.GIEE A79 B97 C69 E94 F86 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK..AA.KCCC...F.GIDDF.GIEE A80 B97 C70 E94 F86 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK.AA..KCCC...F.GIDDF.GIEE A81 B97 C70 E94 F86 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKAA...K.CCC..F.GIDDF.GIEE A82 B97 C71 E94 F86 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKAA...K..CCC.F.GIDDF.GIEE A82 B97 C72 E94 F86 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK.AA..K...CCCF.GIDDF.GIEE A81 B97 C73 E94 F86 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKAA...KFCCC..F.GIDD..GIEE A82 B97 C71 E94 F87 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKAA...KF.CCC.F.GIDD..GIEE A82 B97 C72 E94 F87 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK.AA..KF..CCCF.GIDD..GIEE A81 B97 C73 E94 F87 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK.AA..KF.GCCCF.GIDD...IEE A83 B97 C73 E94 F87 G93 H99 I91 J96 K97 
5 0 5 BBBHJKF..HJKFAA..K..GCCC..GIDD...IEE A83 B97 C73 E94 F85 G93 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK..GAAK..GCCCF..IDDF..IEE A85 B97 C73 E94 F88 G92 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKAA...K..GCCCF.GIDDF..IEE A84 B97 C73 E94 F88 G93 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK.AA..K..GCCCF.GIDDF..IEE A85 B97 C73 E94 F88 G93 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK..AA.KF.GCCCF.GIDD...IEE A86 B97 C73 E94 F89 G93 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKF..AAKF.GCCC..GIDD...IEE A85 B97 C73 E94 F90 G93 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKFAA..KF.GCCC..GIDD...IEE A85 B97 C73 E94 F90 G93 H99 I91 J96 K97 
5 0 5 BBBHJKF..HJKF.AA.K..GCCC..GIDD...IEE A86 B97 C73 E94 F89 G93 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK..AA.K...CCCF.GIDDF.GIEE A86 B97 C73 E94 F88 G94 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK..AA.KF..CCCF.GIDD..GIEE A86 B97 C73 E94 F89 G94 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKFAA..KF..CCC..GIDD..GIEE A85 B97 C73 E94 F90 G94 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKF.AA.KFCCC....GIDD..GIEE A86 B97 C73 E94 F90 G94 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK..AA.KF.CCC.F.GIDD..GIEE A86 B97 C74 E94 F89 G94 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKF..AAKF.CCC...GIDD..GIEE A85 B97 C74 E94 F90 G94 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKFAA..KF.CCC...GIDD..GIEE A85 B97 C74 E94 F90 G94 H99 I91 J96 K97 
5 0 5 BBBHJKF..HJKF.AA.K..CCC...GIDD..GIEE A86 B97 C74 E94 F89 G94 H99 I91 J96 K97 
5 0 5 BBBHJ....HJK..AA.KF.CCCKF.GIDD..GIEE A86 B97 C74 E94 F91 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJKAA...K..CCCKF.GIDDF.GIEE A84 B97 C74 E94 F92 G94 H99 I91 J96 K98 
5 0 5 BBBHJK...HJK..AA.K..CCC.F.GIDDF.GIEE A86 B97 C74 E94 F92 G94 H99 I91 J96 K97 
5 0 5 BBBHJ....HJK..AA.KCCC..KF.GIDDF.GIEE A86 B97 C74 E94 F92 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJKAA...K.CCC.KF.GIDDF.GIEE A84 B97 C75 E94 F92 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJK.AA..K.CCC.KF.GIDDF.GIEE A85 B97 C75 E94 F92 G94 H99 I91 J96 K98 
5 0 5 BBBHJK...HJK..AA.K.CCC..F.GIDDF.GIEE A86 B97 C75 E94 F92 G94 H99 I91 J96 K97 
5 0 5 BBBHJ....HJK..AA.KFCCC.KF.GIDD..GIEE A86 B97 C75 E94 F93 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJKF.AA.KFCCC.K..GIDD..GIEE A86 B97 C75 E94 F94 G94 H99 I91 J96 K98 
5 0 5 BBBHJKF..HJKF.AA.K.CCC....GIDD..GIEE A86 B97 C75 E94 F95 G94 H99 I91 J96 K97 
5 0 5 BBBHJ....HJK...AAK.CCC.KF.GIDDF.GIEE A87 B97 C75 E94 F92 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJK...AAKFCCC.KF.GIDD..GIEE A87 B97 C75 E94 F93 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJKF..AAKFCCC.K..GIDD..GIEE A87 B97 C75 E94 F94 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJK...AAK..CCCKF.GIDDF.GIEE A87 B97 C76 E94 F92 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJK...AAKF.CCCKF.GIDD..GIEE A87 B97 C76 E94 F93 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJKF..AAKF.CCCK..GIDD..GIEE A87 B97 C76 E94 F94 G94 H99 I91 J96 K98 
5 0 5 BBBHJ.F..HJKF.AA.K..CCCK..GIDD..GIEE A88 B97 C76 E94 F95 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJK.AA..K..CCCKF.GIDDF.GIEE A89 B97 C76 E94 F92 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJK.AA..KF.CCCKF.GIDD..GIEE A89 B97 C76 E94 F93 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJKFAA..KF.CCCK..GIDD..GIEE A89 B97 C76 E94 F94 G94 H99 I91 J96 K98 
5 0 5 BBBHJKF..HJKFAA..K..CCC...GIDD..GIEE A89 B97 C76 E94 F95 G94 H99 I91 J96 K97 
5 0 5 BBBHJ.F..HJKFAA..K.CCC.K..GIDD..GIEE A89 B97 C77 E94 F95 G94 H99 I91 J96 K98 
5 0 5 BBBHJ.F..HJKF.AA.KCCC..K..GIDD..GIEE A88 B97 C78 E94 F95 G94 H99 I91 J96 K98 
5 0 5 BBBHJ.F..HJKF.AA.KCCCI.K..GIDD..G.EE A88 B97 C78 E94 F95 G94 H99 I92 J96 K98 
5 0 5 BBBHJ.F..HJKF.AA.KCCCI.K..GIDD..GEE. A90 B97 C78 E95 F95 G94 H99 I92 J96 K98 
5 0 5 BBBHJKF..HJKFAA..KCCCI....GIDD..GEE. A89 B97 C78 E95 F95 G94 H99 I92 J96 K99 
5 0 5 BBBHJKF..HJKF.AA.KCCCI....GIDD..GEE. A90 B97 C78 E95 F95 G94 H99 I92 J96 K99 
5 0 5 BBBHJ.F..HJKF..AAKCCCI.K..GIDD..G.EE A91 B97 C78 E96 F95 G94 H99 I92 J96 K98 
5 0 5 BBBHJKF..HJKFAA..KCCCI....GIDD..G.EE A89 B97 C78 E96 F95 G94 H99 I92 J96 K99 
5 0 5 BBBHJKF..HJKF.AA.KCCCI....GIDD..G.EE A90 B97 C78 E96 F95 G94 H99 I92 J96 K99 
5 0 5 BBBHJ.F..HJKF..AAKCCC..K..GIDD..GIEE A91 B97 C78 E96 F95 G94 H99 I93 J96 K98 
5 0 5 BBBHJKF..HJKFAA..KCCC.....GIDD..GIEE A89 B97 C78 E96 F95 G94 H99 I93 J96 K99 
5 0 5 BBBHJKF..HJKF.AA.KCCC.....GIDD..GIEE A90 B97 C78 E96 F95 G94 H99 I93 J96 K99 
5 0 5 BBBHJKF..HJKF..AAK.CCC....GIDD..GIEE A91 B97 C79 E96 F95 G94 H99 I93 J96 K99 
5 0 5 BBBHJKF..HJKF..AAK..CCC...GIDD..GIEE A91 B97 C80 E96 F95 G94 H99 I93 J96 K99 
5 0 5 BBBHJKF..HJKFAA..K...CCC..GIDD..GIEE A89 B97 C81 E96 F95 G94 H99 I93 J96 K99 
5 0 5 BBBHJKF..HJKF.AA.K...CCC..GIDD..GIEE A90 B97 C81 E96 F95 G94 H99 I93 J96 K99 
5 0 5 BBBHJK...HJK...AAK...CCCF.GIDDF.GIEE A91 B97 C81 E96 F92 G94 H99 I93 J96 K99 
5 0 5 BBBHJK...HJK...AAKF..CCCF.GIDD..GIEE A91 B97 C81 E96 F93 G94 H99 I93 J96 K99 
5 0 5 BBBHJK...HJKF..AAKF..CCC..GIDD..GIEE A91 B97 C81 E96 F94 G94 H99 I93 J96 K99 
5 0 5 BBBHJKF..HJKF..AAK..GCCC..GIDD...IEE A91 B97 C81 E96 F95 G95 H99 I93 J96 K99 
5 0 5 BBBHJKF..HJKF.GAAK..GCCC...IDD...IEE A91 B97 C81 E96 F95 G96 H99 I93 J96 K99 
5 0 5 BBBHJK..GHJK..GAAK...CCCF..IDDF..IEE A91 B97 C81 E96 F92 G97 H99 I93 J96 K99 
5 0 5 BBBHJK..GHJK..GAAKCCC...F..IDDF..IEE A91 B97 C78 E96 F92 G97 H99 I93 J96 K99 
5 0 5 BBBHJK..GHJK..GAAKCCCI..F..IDDF...EE A91 B97 C78 E96 F92 G97 H99 I92 J96 K99 
5 0 5 BBBHJK..GHJK..GAAKCCCI..F..IDDFEE... A91 B97 C78 E93 F92 G97 H99 I92 J96 K99 
5 0 5 BBBHJK..GHJK..GAAKCCC...F..IDDFEEI.. A91 B97 C78 E93 F92 G97 H99 I91 J96 K99 
5 0 5 BBBHJK..GHJK..GAAK..CCC.F..IDDFEEI.. A91 B97 C76 E93 F92 G97 H99 I91 J96 K99 
5 0 5 BBBHJK..GHJKF.GAAKF.CCC....IDD.EEI.. A91 B97 C76 E93 F90 G97 H99 I91 J96 K99 
5 0 5 BBBHJK..GHJKF.GAAKF.CCC....IDDEE.I.. A91 B97 C76 E92 F90 G97 H99 I91 J96 K99 
5 0 5 BBBHJK..GHJKF.GAAKFCCC.....IDDEE.I.. A91 B97 C75 E92 F90 G97 H99 I91 J96 K99 
5 0 5 BBBHJK..GHJK..GAAKFCCC..F..IDDEE.I.. A91 B97 C75 E92 F89 G97 H99 I91 J96 K99 
5 0 5 BBBHJK..GHJK..GAAKFCCC..F..IDD.EEI.. A91 B97 C75 E91 F89 G97 H99 I91 J96 K99 
5 0 5 BBBHJ...GHJK..GAAKFCCC.KF..IDD.EEI.. A91 B97 C75 E91 F89 G97 H99 I91 J96 K98 
5 0 5 BBBHJ...GHJK..GAAK.CCC.KF..IDDFEEI.. A91 B97 C75 E91 F88 G97 H99 I91 J96 K98 
5 0 5 BBBHJ...GHJK..GAAKF.CCCKF..IDD.EEI.. A91 B97 C74 E91 F89 G97 H99 I91 J96 K98 
5 0 5 BBBHJ...GHJK..GAAKF.CCCKF..IDDEE.I.. A91 B97 C74 E90 F89 G97 H99 I91 J96 K98 
5 0 5 BBBHJ.F.GHJKF.GAAK..CCCK...IDDEE.I.. A91 B97 C74 E90 F87 G97 H99 I91 J96 K98 
5 0 5 BBBHJ.F.GHJKF.GAAKCCC..K...IDDEE.I.. A91 B97 C72 E90 F87 G97 H99 I91 J96 K98 
5 0 5 BBBHJ.F.GHJKF.GAAKCCCI.K...IDDEE.... A91 B97 C72 E90 F87 G97 H99 I90 J96 K98 
