10 0 10 .....L..ICCLG.IAAMG.JDDMH.JKEEHFFK.. 
8 0 8 ..I..L..ICCLG..AAMG.JDDMH.JKEEHFFK.. I99 
7 0 7 G.I..LG.ICCL...AAM..JDDMH.JKEEHFFK.. G98 I99 
6 0 6 G.I..LG.ICCL...AAMH.JDDMH.JKEE.FFK.. G98 H99 I99 
6 0 6 G.I..LG.ICCL...AAMH.JDDMH.JKEEFF.K.. F99 G98 H99 I99 
6 0 6 G.I..LG.ICCL...AAMH..DDMH.JKEEFFJK.. F99 G98 H99 I99 J99 
6 0 6 G.I..LG.ICCL...AAMHDD..MH.JKEEFFJK.. D98 F99 G98 H99 I99 J99 
6 0 6 ..I..LG.ICCLG..AAMH.JDDMH.JKEE.FFK.. G97 H99 I99 
7 0 7 G.I..LG.ICCL...AAMHDDK.MH.JKEEFFJ... D98 F99 G98 H99 I99 J99 K99 
7 0 7 G.I..LG.ICCLH..AAMHDD..M..JKEEFFJK.. D98 F99 G98 H98 I99 J99 
7 0 7 G.I..LG.ICCL.AA..MHDD..MH.JKEEFFJK.. A98 D98 F99 G98 H99 I99 J99 
7 0 7 G.I..LG.ICCL.AAK.MHDDK.MH.J.EEFFJ... A98 D98 F99 G98 H99 I99 J99 K98 
7 0 7 G.I..LG.ICCL.AAK.MHDDK.MH.JEE.FFJ... A98 D98 E99 F99 G98 H99 I99 J99 K98 
7 0 7 G.I..LG.ICCL.AAK..HDDK..H.JEEMFFJ..M A98 D98 E99 F99 G98 H99 I99 J99 K98 M98 
7 0 7 G.I...G.ICC..AAK.LHDDK.LH.JEEMFFJ..M A98 D98 E99 F99 G98 H99 I99 J99 K98 L98 M98 
6 0 6 G.I...G.IKCCAA.K.LH.JDDLH.JEEM...FFM A93 C99 D96 E99 F92 G98 H95 I99 J96 K95 L98 M98 
6 0 6 G.I...G.IKCCAA.K.LH.JDDLH.JEEM.FF..M A93 C99 D96 E99 F90 G98 H95 I99 J96 K95 L98 M98 
6 0 6 G.I...G.IKCC.AAK.L..JDDLH.JEEMH..FFM A92 C99 D96 E99 F92 G98 H96 I99 J96 K95 L98 M98 
6 0 6 G.I...G.IKCCAA.K.L..JDDLH.JEEMHFF..M A93 C99 D96 E99 F92 G98 H96 I99 J96 K95 L98 M98 
6 0 6 G.I...G.IKCCAA.K.LH.JDDLH.JEEM..FF.M A93 C99 D96 E99 F93 G98 H97 I99 J96 K95 L98 M98 
6 0 6 ..IK..G.IKCCG..AALH.JDDLH.JEEM..FF.M A96 C99 D96 E99 F93 G97 H97 I99 J96 K96 L98 M98 
6 0 6 ..IK..G.IKCCG..AALH.JDDLH.JEEM...FFM A96 C99 D96 E99 F92 G97 H97 I99 J96 K96 L98 M98 
6 0 6 ..IK..G.IKCCG..AALH..DDLH.JEEM..JFFM A96 C99 D96 E99 F92 G97 H97 I99 J95 K96 L98 M98 
6 0 6 ..IK..G.IKCCG..AAL..JDDLH.JEEMH.FF.M A96 C99 D96 E99 F93 G97 H96 I99 J96 K96 L98 M98 
6 0 6 G.IK..G.IKCCAA...LH.JDDLH.JEEM.FF..M A93 C99 D96 E99 F94 G98 H97 I99 J96 K96 L98 M98 
6 0 6 ..IK..G.IKCCG..AALH.JDDLH.JEEM.FF..M A96 C99 D96 E99 F94 G97 H97 I99 J96 K96 L98 M98 
6 0 6 G.IK..G.IKCCAA...L..JDDLH.JEEMHFF..M A93 C99 D96 E99 F94 G98 H98 I99 J96 K96 L98 M98 
6 0 6 ..IK..G.IKCCG..AAL..JDDLH.JEEMHFF..M A96 C99 D96 E99 F94 G97 H98 I99 J96 K96 L98 M98 
6 0 6 G.IK..G.IKCC...AAL..JDDLH.JEEMH.FF.M A96 C99 D96 E99 F95 G98 H98 I99 J96 K96 L98 M98 
6 0 6 G.IK..G.IKCCAA...L..JDDLH.JEEMH..FFM A93 C99 D96 E99 F96 G98 H98 I99 J96 K96 L98 M98 
6 0 6 ..IK..G.IKCCG..AAL..JDDLH.JEEMH..FFM A96 C99 D96 E99 F96 G97 H98 I99 J96 K96 L98 M98 
6 0 6 ..IK..G.IKCCGAA..L..JDDLH.JEEMH..FFM A94 C99 D96 E99 F96 G97 H98 I99 J96 K96 L98 M98 
6 0 6 ..IK..G.IKCCG..AAL...DDLH.JEEMH.JFFM A96 C99 D96 E99 F96 G97 H98 I99 J97 K96 L98 M98 
6 0 6 G.IK..G.IKCCAA...L...DDLH.JEEMH.JFFM A97 C99 D96 E99 F96 G98 H98 I99 J97 K96 L98 M98 
6 0 6 G.I...G.IKCC.AAK.L...DDLH.JEEMH.JFFM A98 C99 D96 E99 F96 G98 H98 I99 J97 K95 L98 M98 
6 0 6 ..IK..G.IKCCGAA..L...DDLH.JEEMH.JFFM A98 C99 D96 E99 F96 G97 H98 I99 J97 K96 L98 M98 
6 0 6 G.IK..G.IKCC...AALH..DDLH.JEEM..JFFM A96 C99 D96 E99 F96 G98 H99 I99 J97 K96 L98 M98 
6 0 6 G.IK..G.IKCCAA...LH..DDLH.JEEM..JFFM A97 C99 D96 E99 F96 G98 H99 I99 J97 K96 L98 M98 
6 0 6 G.I...G.IKCC.AAK.LH..DDLH.JEEM..JFFM A98 C99 D96 E99 F96 G98 H99 I99 J97 K95 L98 M98 
6 0 6 ..IK..G.IKCCGAA..LH..DDLH.JEEM..JFFM A98 C99 D96 E99 F96 G97 H99 I99 J97 K96 L98 M98 
6 0 6 G.IK..G.IKCC.AA..L..JDDLH.JEEMH..FFM A98 C99 D96 E99 F96 G98 H98 I99 J98 K96 L98 M98 
6 0 6 G.IK..G.IKCC...AALH.JDDLH.JEEM...FFM A96 C99 D96 E99 F96 G98 H99 I99 J98 K96 L98 M98 
6 0 6 G.IK..G.IKCCAA...LH.JDDLH.JEEM...FFM A97 C99 D96 E99 F96 G98 H99 I99 J98 K96 L98 M98 
6 0 6 G.I...G.IKCC.AAK.LH.JDDLH.JEEM...FFM A98 C99 D96 E99 F96 G98 H99 I99 J98 K95 L98 M98 
6 0 6 ..IK..G.IKCCGAA..LH.JDDLH.JEEM...FFM A98 C99 D96 E99 F96 G97 H99 I99 J98 K96 L98 M98 
6 0 6 G.IK..G.IKCC...AALH.JDDLH.JEEMFF...M A96 C99 D96 E99 F99 G98 H99 I99 J98 K96 L98 M98 
6 0 6 G.I...G.IKCC.AAK.LH.JDDLH.JEEMFF...M A98 C99 D96 E99 F99 G98 H99 I99 J98 K95 L98 M98 
6 0 6 G.IK..G.IKCC...AALH..DDLH.JEEMFFJ..M A96 C99 D96 E99 F99 G98 H99 I99 J99 K96 L98 M98 
6 0 6 G.I...G.IKCC.AAK.LH..DDLH.JEEMFFJ..M A98 C99 D96 E99 F99 G98 H99 I99 J99 K95 L98 M98 
7 0 7 G.I...G.IKCC.AAK.LH.DD.LH.JEEMFFJ..M A98 C99 D95 E99 F99 G98 H99 I99 J99 K95 L98 M98 
7 0 7 G.I...G.IKCCAA.K.LH..DDLH.JEEMFFJ..M A97 C99 D96 E99 F99 G98 H99 I99 J99 K95 L98 M98 
7 0 7 G.IK..G.IKCC...AALH.DD.LH.JEEMFFJ..M A96 C99 D95 E99 F99 G98 H99 I99 J99 K96 L98 M98 
7 0 7 G.IK..G.IKCCH..AALH..DDL..JEEMFFJ..M A96 C99 D96 E99 F99 G98 H98 I99 J99 K96 L98 M98 
7 0 7 G..K..G.IKCC..IAALH..DDLH.JEEMFFJ..M A96 C99 D96 E99 F99 G98 H99 I98 J99 K96 L98 M98 
7 0 7 ..IK..G.IKCCG..AALH..DDLH.JEEMFFJ..M A96 C99 D96 E99 F99 G97 H99 I99 J99 K96 L98 M98 
7 0 7 G.IK..G.IKCC..JAALH.JDDLH..EEMFF...M A96 C99 D96 E99 F99 G98 H99 I99 J97 K96 L98 M98 
7 0 7 G.IK..G.IKCCH..AALH.JDDL..JEEMFF...M A96 C99 D96 E99 F99 G98 H98 I99 J98 K96 L98 M98 
7 0 7 G..K..G.IKCC..IAALH.JDDLH.JEEMFF...M A96 C99 D96 E99 F99 G98 H99 I98 J98 K96 L98 M98 
7 0 7 ..I...G.IKCCGAAK.LH.JDDLH.JEEM...FFM A98 C99 D96 E99 F96 G97 H99 I99 J98 K95 L98 M98 
7 0 7 G..K..G.IKCCAAI..LH.JDDLH.JEEM...FFM A97 C99 D96 E99 F96 G98 H99 I98 J98 K96 L98 M98 
7 0 7 G..K..G.IKCC..IAALH.JDDLH.JEEM...FFM A96 C99 D96 E99 F96 G98 H99 I98 J98 K96 L98 M98 
7 0 7 ..IK..G.IKCCGAA..LHDD..LH.JEEM..JFFM A98 C99 D94 E99 F96 G97 H99 I99 J97 K96 L98 M98 
7 0 7 ..IK..G.IKCCGAA..LH.DD.LH.JEEM..JFFM A98 C99 D95 E99 F96 G97 H99 I99 J97 K96 L98 M98 
7 0 7 G.I...G.IKCC.AAK.LHDD..LH.JEEM..JFFM A98 C99 D94 E99 F96 G98 H99 I99 J97 K95 L98 M98 
7 0 7 G.I...G.I.CC.AAK.LHDDK.LH.JEEM..JFFM A98 C99 D94 E99 F96 G98 H99 I99 J97 K94 L98 M98 
6 0 6 G.I...G.I.CC.AAK.L.DDK.LH.JEEMH.JFFM A98 C99 D94 E99 F96 G98 H98 I99 J97 K94 L98 M98 
6 0 6 G.I...G.I.CC.AAK.LDD.K.LH.JEEMH.JFFM A98 C99 D93 E99 F96 G98 H98 I99 J97 K94 L98 M98 
6 0 6 G.I...G.I.CC.AAK.LDDJK.LH.JEEMH..FFM A98 C99 D93 E99 F96 G98 H98 I99 J96 K94 L98 M98 
6 0 6 G.I...G.I.CCAA.K.LDDJK.LH.JEEMH..FFM A97 C99 D93 E99 F96 G98 H98 I99 J96 K94 L98 M98 
6 0 6 G.I...G.I.CCAA.K.LDDJK.LH.JEEMHFF..M A97 C99 D93 E99 F94 G98 H98 I99 J96 K94 L98 M98 
6 0 6 G.I...G.ICC.AA.K.LDDJK.LH.JEEMHFF..M A97 C98 D93 E99 F94 G98 H98 I99 J96 K94 L98 M98 
6 0 6 G.I...G.ICC.AA.K.LDDJK.LH.JEEMH.FF.M A97 C98 D93 E99 F93 G98 H98 I99 J96 K94 L98 M98 
6 0 6 G.I..LG.ICCLAA.K..DDJK..H.JEEMH.FF.M A97 C98 D93 E99 F93 G98 H98 I99 J96 K94 L96 M98 
6 0 6 G.I..LG.ICCLAA.K..DDJK..H.JEEMH..FFM A97 C98 D93 E99 F92 G98 H98 I99 J96 K94 L96 M98 
6 0 6 G.I..LG.ICCLAA.K.MDDJK.MH.JEE.H..FF. A97 C98 D93 E99 F92 G98 H98 I99 J96 K94 L96 M96 
5 0 5 G.I..LG.ICCLAA.K.MDD.K.MH.JEE.H.JFF. A97 C98 D93 E99 F92 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCLAA.K.MDD.K.MH.JEE.H.J.FF A97 C98 D93 E99 F91 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCLAA.K.MDD.K.MH.J.EEH.J.FF A97 C98 D93 E98 F91 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCLAA.K.M.DDK.MH.J.EEH.J.FF A97 C98 D92 E98 F91 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCLAA.K.M.DDK.MH.J.EEH.JFF. A97 C98 D92 E98 F90 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCL.AAK.M.DDK.MH.J.EEH.JFF. A96 C98 D92 E98 F90 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCL.AAK.M.DDK.MH.JEE.H.JFF. A96 C98 D92 E97 F90 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCL.AAK.M.DDK.MH.JEE.H.J.FF A96 C98 D92 E97 F89 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCL.AAK...DDK.MH.JEEMH.J.FF A96 C98 D92 E97 F89 G98 H98 I99 J95 K94 L96 M95 
5 0 5 G.I..LG.ICCL.AAK..DD.K.MH.JEEMH.J.FF A96 C98 D91 E97 F89 G98 H98 I99 J95 K94 L96 M95 
5 0 5 G.I..LG.ICCL.AAK..DD.K.MH.JEEMH.JFF. A96 C98 D91 E97 F88 G98 H98 I99 J95 K94 L96 M95 
5 0 5 G.I...G.ICCL.AAK.LDD.K.MH.JEEMH.JFF. A96 C98 D91 E97 F88 G98 H98 I99 J95 K94 L95 M95 
5 0 5 G.I...G.ICCL.AAK.L.DDK.MH.JEEMH.JFF. A96 C98 D90 E97 F88 G98 H98 I99 J95 K94 L95 M95 
5 0 5 G.I...G.ICCLAA.K.L.DDK.MH.JEEMH.JFF. A95 C98 D90 E97 F88 G98 H98 I99 J95 K94 L95 M95 
5 0 5 G.I..LG.ICCLAA.K...DDK.MH.JEEMH.JFF. A95 C98 D90 E97 F88 G98 H98 I99 J95 K94 L94 M95 
5 0 5 G.I...G.ICCLAA.K.LDD.K.MH.JEEMH.JFF. A95 C98 D91 E97 F88 G98 H98 I99 J95 K94 L95 M95 
5 0 5 G.I..LG.ICCLAA.K...DDK.MH.JEEMH.J.FF A95 C98 D92 E97 F89 G98 H98 I99 J95 K94 L96 M95 
5 0 5 G.I..LG.ICCL.AAK...DDK.MH.JEEMH.JFF. A96 C98 D92 E97 F90 G98 H98 I99 J95 K94 L96 M95 
5 0 5 G.I..LG.ICCL.AAK.MDD.K.MH.J.EEH.JFF. A96 C98 D91 E98 F90 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCL.AAK.M.DDK.MH.J.EEH.J.FF A96 C98 D92 E98 F91 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCL.AAK.MDD.K.MH.J.EEH.J.FF A96 C98 D93 E98 F91 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCLAA.K..DD.K.MH.JEEMH.J.FF A97 C98 D93 E99 F91 G98 H98 I99 J95 K94 L96 M95 
5 0 5 G.I..LG.ICCLAA.K.M.DDK.MH.JEE.H.J.FF A97 C98 D92 E99 F91 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCL.AAK.MDD.K.MH.JEE.H.J.FF A96 C98 D93 E99 F91 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCLAA.K.MDD.K.MH.J.EEH.JFF. A97 C98 D93 E98 F92 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCLAA.K..DD.K.MH.JEEMH.JFF. A97 C98 D93 E99 F92 G98 H98 I99 J95 K94 L96 M95 
5 0 5 G.I..LG.ICCLAA.K.M.DDK.MH.JEE.H.JFF. A97 C98 D92 E99 F92 G98 H98 I99 J95 K94 L96 M96 
5 0 5 G.I..LG.ICCL.AAK.MDD.K.MH.JEE.H.JFF. A96 C98 D93 E99 F92 G98 H98 I99 J95 K94 L96 M96 
6 0 6 ..I..LG.ICCLGAAK.MDD.K.MH.JEE.H.JFF. A96 C98 D93 E99 F92 G97 H98 I99 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA.K.MHDDK.MH.JEE...JFF. A97 C98 D92 E99 F92 G98 H97 I99 J95 K94 L96 M96 
6 0 6 G....LG.ICCLAAIK.M.DDK.MH.JEE.H.JFF. A97 C98 D92 E99 F92 G98 H98 I98 J95 K94 L96 M96 
6 0 6 G....LG.ICCLAAIK..DD.K.MH.JEEMH.JFF. A97 C98 D93 E99 F92 G98 H98 I98 J95 K94 L96 M95 
6 0 6 G.I..LG.ICCLAA...MDD.K.MH.JKEEH.JFF. A97 C98 D93 E98 F92 G98 H98 I99 J95 K93 L96 M96 
6 0 6 G.I..LG.ICCL...AAMDD.K.MH.JKEEH.JFF. A94 C98 D93 E98 F92 G98 H98 I99 J95 K93 L96 M96 
5 0 5 G.I..LG.ICCL...AAMDD.K.MH.JKEEH.J.FF A94 C98 D93 E98 F91 G98 H98 I99 J95 K93 L96 M96 
5 0 5 G.I..LG.ICCL...AAM.DDK.MH.JKEEH.J.FF A94 C98 D92 E98 F91 G98 H98 I99 J95 K93 L96 M96 
5 0 5 ..I..LG.ICCLG..AAM.DDK.MH.JKEEH.J.FF A94 C98 D92 E98 F91 G97 H98 I99 J95 K93 L96 M96 
5 0 5 ..I..LG.ICCLG..AAMDD.K.MH.JKEEH.J.FF A94 C98 D93 E98 F91 G97 H98 I99 J95 K93 L96 M96 
6 0 6 ..I..LG.ICCLG..AAMDD...MH.JKEEH.JKFF A94 C98 D93 E98 F91 G97 H98 I99 J95 K92 L96 M96 
6 0 6 ..I..LG.ICCLG..AAM...DDMH.JKEEH.JKFF A94 C98 D90 E98 F91 G97 H98 I99 J95 K92 L96 M96 
6 0 6 ..I..LG.ICCLG..AAMH..DDMH.JKEE..JKFF A94 C98 D90 E98 F91 G97 H97 I99 J95 K92 L96 M96 
6 0 6 ..I..LG.ICCLG..AAMHDD..MH.JKEE..JKFF A94 C98 D88 E98 F91 G97 H97 I99 J95 K92 L96 M96 
6 0 6 G.I..LG.ICCL...AAMHDD..MH.JKEE..JKFF A94 C98 D88 E98 F91 G96 H97 I99 J95 K92 L96 M96 
6 0 6 G.I..LG.ICCL...AAMH..DDMH.JKEE..JKFF A94 C98 D90 E98 F91 G96 H97 I99 J95 K92 L96 M96 
6 0 6 G.I..LG.ICCL...AAM...DDMH.JKEEH.JKFF A94 C98 D90 E98 F91 G96 H98 I99 J95 K92 L96 M96 
6 0 6 ..I..LG.ICCLG..AAMDDJK.MH.JKEEH...FF A94 C98 D93 E98 F91 G97 H98 I99 J94 K93 L96 M96 
6 0 6 ..I..LG.ICCLG..AAMDDJK.MH.JKEEHFF... A94 C98 D93 E98 F88 G97 H98 I99 J94 K93 L96 M96 
6 0 6 G.I..LG.ICCL...AAMDDJK.MH.JKEEHFF... A94 C98 D93 E98 F88 G96 H98 I99 J94 K93 L96 M96 
6 0 6 ..I..LG.ICCLGAA..MDD.K.MH.JKEEH.J.FF A92 C98 D93 E98 F91 G97 H98 I99 J95 K93 L96 M96 
6 0 6 ..I..LG.ICCLGAA..MDD.K.MH.JKEEH.JFF. A92 C98 D93 E98 F90 G97 H98 I99 J95 K93 L96 M96 
6 0 6 ..I..LG.ICCLGAA..M.DDK.MH.JKEEH.JFF. A92 C98 D92 E98 F90 G97 H98 I99 J95 K93 L96 M96 
6 0 6 ..I..LG.ICCLG.AA.MDD.K.MH.JKEEH.J.FF A93 C98 D93 E98 F91 G97 H98 I99 J95 K93 L96 M96 
6 0 6 .....LG.ICCLG.IAAMDD.K.MH.JKEEH.J.FF A94 C98 D93 E98 F91 G97 H98 I98 J95 K93 L96 M96 
6 0 6 ..I..LG.ICCLG..AAM.DDK.MH.JKEEH.JFF. A94 C98 D92 E98 F90 G97 H98 I99 J95 K93 L96 M96 
6 0 6 ..I..LG.ICCLG..AAM.DD..MH.JKEEH.JKFF A94 C98 D92 E98 F91 G97 H98 I99 J95 K92 L96 M96 
6 0 6 ..I..LG.ICCLG..AAMHDDK.MH.JKEE..J.FF A94 C98 D92 E98 F91 G97 H97 I99 J95 K93 L96 M96 
6 0 6 ..I..LG.ICCLGAA..M.DDK.MH.JKEEH.J.FF A92 C98 D92 E98 F91 G97 H98 I99 J95 K93 L96 M96 
6 0 6 ..I..LG.ICCLG.AA.M.DDK.MH.JKEEH.J.FF A93 C98 D92 E98 F91 G97 H98 I99 J95 K93 L96 M96 
6 0 6 .....LG.ICCLG.IAAM.DDK.MH.JKEEH.J.FF A94 C98 D92 E98 F91 G97 H98 I98 J95 K93 L96 M96 
6 0 6 G.I..LG.ICCL...AAM.DD..MH.JKEEH.JKFF A94 C98 D92 E98 F91 G98 H98 I99 J95 K92 L96 M96 
6 0 6 G.I..LG.ICCL...AAMHDDK.MH.JKEE..J.FF A94 C98 D92 E98 F91 G98 H97 I99 J95 K93 L96 M96 
6 0 6 G.I..LG.ICCL..AA.M.DDK.MH.JKEEH.J.FF A93 C98 D92 E98 F91 G98 H98 I99 J95 K93 L96 M96 
6 0 6 G....LG.ICCL..IAAM.DDK.MH.JKEEH.J.FF A94 C98 D92 E98 F91 G98 H98 I98 J95 K93 L96 M96 
6 0 6 G.I..LG.ICCL...AAMDD...MH.JKEEH.JKFF A94 C98 D93 E98 F91 G98 H98 I99 J95 K92 L96 M96 
6 0 6 G.I..LG.ICCL...AAMDDJK.MH.JKEEH...FF A94 C98 D93 E98 F91 G98 H98 I99 J94 K93 L96 M96 
6 0 6 G.I..LG.ICCL..AA.MDD.K.MH.JKEEH.J.FF A93 C98 D93 E98 F91 G98 H98 I99 J95 K93 L96 M96 
6 0 6 G....LG.ICCL..IAAMDD.K.MH.JKEEH.J.FF A94 C98 D93 E98 F91 G98 H98 I98 J95 K93 L96 M96 
6 0 6 G.I..LG.ICCL...AAM.DDK.MH.JKEEH.JFF. A94 C98 D92 E98 F92 G98 H98 I99 J95 K93 L96 M96 
6 0 6 ..I..LG.ICCLG..AAMDD.K.MH.JKEEH.JFF. A94 C98 D93 E98 F92 G97 H98 I99 J95 K93 L96 M96 
6 0 6 G....LG.ICCLAAIK.MDD.K.MH.J.EEH.JFF. A97 C98 D93 E98 F92 G98 H98 I98 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCL.AAK.MDDJK.MH.JEE.H...FF A96 C98 D93 E99 F91 G98 H98 I99 J94 K94 L96 M96 
6 0 6 ..I..LG.ICCLGAAK.MDD.K.MH.JEE.H.J.FF A96 C98 D93 E99 F91 G97 H98 I99 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA.K.MHDDK.MH.JEE...J.FF A97 C98 D92 E99 F91 G98 H97 I99 J95 K94 L96 M96 
6 0 6 G....LG.ICCLAAIK.M.DDK.MH.JEE.H.J.FF A97 C98 D92 E99 F91 G98 H98 I98 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA.K..DDJK.MH.JEEMH...FF A97 C98 D93 E99 F91 G98 H98 I99 J94 K94 L96 M95 
6 0 6 G.I..LG.ICCLAA.K..DDJK.MH.JEEMHFF... A97 C98 D93 E99 F88 G98 H98 I99 J94 K94 L96 M95 
6 0 6 G.I...G.ICCLAA.K.LDDJK.MH.JEEMHFF... A97 C98 D93 E99 F88 G98 H98 I99 J94 K94 L95 M95 
6 0 6 G.I...G.ICCLAA.K.LDDJK.MH.JEEMH.FF.. A97 C98 D93 E99 F87 G98 H98 I99 J94 K94 L95 M95 
6 0 6 G....LG.ICCLAAIK..DD.K.MH.JEEMH.J.FF A97 C98 D93 E99 F91 G98 H98 I98 J95 K94 L96 M95 
6 0 6 G.I..LG.ICCL.AAK.MDDJK.MH.J.EEH...FF A96 C98 D93 E98 F91 G98 H98 I99 J94 K94 L96 M96 
6 0 6 G.I..LG.ICCL.AA..MDD.K.MH.JKEEH.J.FF A96 C98 D93 E98 F91 G98 H98 I99 J95 K93 L96 M96 
6 0 6 ..I..LG.ICCLGAAK.MDD.K.MH.J.EEH.J.FF A96 C98 D93 E98 F91 G97 H98 I99 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCL.AAK.MHDDK.MH.J.EE..J.FF A96 C98 D92 E98 F91 G98 H97 I99 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCL.AA..M.DDK.MH.JKEEH.J.FF A96 C98 D92 E98 F91 G98 H98 I99 J95 K93 L96 M96 
