11 0 11 HBBL..H.JLCCI.JAAMI.KDDM..KEEN.FF..N 
10 0 10 HBBL..H.JLCCI.JAAMI.KDDM..KEEN...FFN F98 
9 0 9 HBBL..H.JLCCI.JAAMI..DDM..KEEN..KFFN F98 K99 
8 0 8 HBBL..H.JLCC..JAAM...DDMI.KEENI.KFFN F98 I98 K99 
7 0 7 .BBL..H.JLCCH.JAAM...DDMI.KEENI.KFFN F98 H99 I98 K99 
7 0 7 .BBL..H.JLCCH.JAAMI..DDMI.KEEN..KFFN F98 H99 I97 K99 
7 0 7 BB.L..H.JLCCH.JAAM...DDMI.KEENI.KFFN B99 F98 H99 I98 K99 
7 0 7 BB.L..H.JLCCH.JAAM..KDDMI.KEENI..FFN B99 F98 H99 I98 K98 
7 0 7 BBJL..H.JLCCH..AAM..KDDMI.KEENI..FFN B99 F98 H99 I98 J99 K98 
7 0 7 BBJL..H.JLCCH..AAM..KDDMI.KEENIFF..N B99 F96 H99 I98 J99 K98 
7 0 7 BBJL..H.JLCCH..AAM..KDDMI.KEENI.FF.N B99 F97 H99 I98 J99 K98 
7 0 7 BBJL..H.JLCCHAA..M..KDDMI.KEENI..FFN A98 B99 F98 H99 I98 J99 K98 
7 0 7 BBJL..H.JLCCHAA..M...DDMI.KEENI.KFFN A98 B99 F98 H99 I98 J99 K97 
7 0 7 BBJL..H.JLCCH..AAM...DDMI.KEENI.KFFN B99 F98 H99 I98 J99 K99 
8 0 8 BBJL..H.JLCCH..AAMI..DDMI.KEEN..KFFN B99 F98 H99 I97 J99 K99 
8 0 8 BBJL..H.JLCCH..AAM.DD..MI.KEENI.KFFN B99 D98 F98 H99 I98 J99 K99 
8 0 8 BBJL..H.JLCCH..AAM..DD.MI.KEENI.KFFN B99 D99 F98 H99 I98 J99 K99 
8 0 8 BBJL....JLCCH..AAMH..DDMI.KEENI.KFFN B99 F98 H98 I98 J99 K99 
8 0 8 BBJL..H.JLCCHAA..MI..DDMI.KEEN..KFFN A98 B99 F98 H99 I97 J99 K97 
8 0 8 BBJL..H.JLCCHAA..M.DD..MI.KEENI.KFFN A98 B99 D98 F98 H99 I98 J99 K97 
8 0 8 BBJ...H.J.CCHAAL.M.DDL.MI.KEENI.KFFN A98 B99 D98 F98 H99 I98 J99 K97 L98 
8 0 8 BBJ...H.JCC.HAAL.M.DDL.MI.KEENI.KFFN A98 B99 C99 D98 F98 H99 I98 J99 K97 L98 
8 0 8 BBJ..MH.JCCMHAAL...DDL..I.KEENI.KFFN A98 B99 C99 D98 F98 H99 I98 J99 K97 L98 M98 
7 0 7 BBJ..MH.JCCMHAAL.N.DDL.NI.KEE.I.KFF. A98 B99 C99 D98 F98 H99 I98 J99 K97 L98 M98 N98 
7 0 7 BBJ..MH.JCCMHAAL.N.DDL.NI.KEE.I.K.FF A98 B99 C99 D98 F97 H99 I98 J99 K97 L98 M98 N98 
7 0 7 H..BBMH.JCCM..JAANIDD..NI.KLEE..KLFF A96 B96 C99 D98 E99 F97 H98 I97 J98 K97 L96 M98 N98 
7 0 7 H..BBMH.JCCM..JAANI..DDNI.KLEE..KLFF A96 B96 C99 D96 E99 F97 H98 I97 J98 K97 L96 M98 N98 
7 0 7 H.JBBMH.JCCM...AANI..DDNI.KLEE..KLFF A96 B96 C99 D96 E99 F97 H98 I97 J97 K97 L96 M98 N98 
7 0 7 H.JBBMH.JCCM...AAN...DDNI.KLEEI.KLFF A96 B96 C99 D96 E99 F97 H98 I96 J97 K97 L96 M98 N98 
7 0 7 ..JBBMH.JCCMH..AAN...DDNI.KLEEI.KLFF A96 B96 C99 D96 E99 F97 H97 I96 J97 K97 L96 M98 N98 
7 0 7 ...BBMH.JCCMH.JAAN...DDNI.KLEEI.KLFF A96 B96 C99 D96 E99 F97 H97 I96 J96 K97 L96 M98 N98 
7 0 7 BB...MH.JCCMH.JAAN...DDNI.KLEEI.KLFF A96 B93 C99 D96 E99 F97 H97 I96 J96 K97 L96 M98 N98 
7 0 7 BBJ..MH.JCCMH..AAN...DDNI.KLEEI.KLFF A96 B93 C99 D96 E99 F97 H97 I96 J95 K97 L96 M98 N98 
7 0 7 .BB..MH.JCCMH.JAAN...DDNI.KLEEI.KLFF A96 B94 C99 D96 E99 F97 H97 I96 J96 K97 L96 M98 N98 
7 0 7 .BB..MH.JCCMH.JAANI..DDNI.KLEE..KLFF A96 B94 C99 D96 E99 F97 H97 I95 J96 K97 L96 M98 N98 
7 0 7 ..BB.MH.JCCMH.JAANI..DDNI.KLEE..KLFF A96 B93 C99 D96 E99 F97 H97 I95 J96 K97 L96 M98 N98 
7 0 7 HBB..MH.JCCM..JAAN...DDNI.KLEEI.KLFF A96 B94 C99 D96 E99 F97 H96 I96 J96 K97 L96 M98 N98 
7 0 7 H.BB.MH.JCCM..JAAN...DDNI.KLEEI.KLFF A96 B93 C99 D96 E99 F97 H96 I96 J96 K97 L96 M98 N98 
7 0 7 ..BB.MH.JCCMH.JAAN...DDNI.KLEEI.KLFF A96 B95 C99 D96 E99 F97 H97 I96 J96 K97 L96 M98 N98 
7 0 7 ..JBBMH.JCCMH..AANI..DDNI.KLEE..KLFF A96 B96 C99 D96 E99 F97 H97 I97 J97 K97 L96 M98 N98 
7 0 7 ..JBBMH.JCCMH..AANIDD..NI.KLEE..KLFF A96 B96 C99 D94 E99 F97 H97 I97 J97 K97 L96 M98 N98 
7 0 7 ...BBMH.JCCMH.JAANI..DDNI.KLEE..KLFF A96 B96 C99 D96 E99 F97 H97 I97 J98 K97 L96 M98 N98 
7 0 7 HBB..MH.JCCM..JAANI..DDNI.KLEE..KLFF A96 B94 C99 D96 E99 F97 H98 I97 J98 K97 L96 M98 N98 
7 0 7 H.BB.MH.JCCM..JAANI..DDNI.KLEE..KLFF A96 B95 C99 D96 E99 F97 H98 I97 J98 K97 L96 M98 N98 
7 0 7 H.JBBMH.JCCM...AANIDD..NI.KLEE..KLFF A96 B96 C99 D98 E99 F97 H98 I97 J97 K97 L96 M98 N98 
7 0 7 ...BBMH.JCCMH.JAANIDD..NI.KLEE..KLFF A96 B96 C99 D98 E99 F97 H97 I97 J98 K97 L96 M98 N98 
7 0 7 H..BBMH.JCCM..JAAN...DDNI.KLEEI.KLFF A96 B96 C99 D96 E99 F97 H98 I98 J98 K97 L96 M98 N98 
7 0 7 H..BBMH.JCCM..JAANIDDL.NI.KLEE..K.FF A96 B96 C99 D98 E99 F97 H98 I97 J98 K97 L97 M98 N98 
7 0 7 ..JBBMH.JCCMH..AAN.DDL.NI.KLEEI.KFF. A96 B96 C99 D98 E99 F96 H99 I98 J97 K97 L97 M98 N98 
7 0 7 ..JBBMH.JCCMHAA..N.DDL.NI.KLEEI.KFF. A94 B96 C99 D98 E99 F96 H99 I98 J97 K97 L97 M98 N98 
7 0 7 ..JBBMH.JCCMHAAL.N.DDL.NI.K.EEI.KFF. A94 B96 C99 D98 E99 F96 H99 I98 J97 K97 L96 M98 N98 
6 0 6 H.JBBMH.JCCM.AAL.N.DDL.NI.K.EEI.KFF. A94 B96 C99 D98 E99 F96 H98 I98 J97 K97 L96 M98 N98 
6 0 6 H.JBBMH.JCCM.AAL.N.DDL.NI.K.EEI.K.FF A94 B96 C99 D98 E99 F95 H98 I98 J97 K97 L96 M98 N98 
6 0 6 H.JBBMH.JCCM.AAL.N.DDL.NI.KEE.I.K.FF A94 B96 C99 D98 E98 F95 H98 I98 J97 K97 L96 M98 N98 
6 0 6 H.JBBMH.JCCM.AAL...DDL.NI.KEENI.K.FF A94 B96 C99 D98 E98 F95 H98 I98 J97 K97 L96 M98 N97 
6 0 6 H.JBBMH.JCCM.AAL...DDL.NI.KEENI.KFF. A94 B96 C99 D98 E98 F94 H98 I98 J97 K97 L96 M98 N97 
5 0 5 H.JBB.H.JCCM.AAL.M.DDL.NI.KEENI.KFF. A94 B96 C99 D98 E98 F94 H98 I98 J97 K97 L96 M97 N97 
5 0 5 H.JBB.H.JCCM.AAL.MDD.L.NI.KEENI.KFF. A94 B96 C99 D97 E98 F94 H98 I98 J97 K97 L96 M97 N97 
5 0 5 H.JBB.H.JCCMAA.L.MDD.L.NI.KEENI.KFF. A93 B96 C99 D97 E98 F94 H98 I98 J97 K97 L96 M97 N97 
5 0 5 H.JBB.H.JCCMAA.L.M.DDL.NI.KEENI.KFF. A93 B96 C99 D98 E98 F94 H98 I98 J97 K97 L96 M97 N97 
6 0 6 H.JBB.H.JCCMAA.L.M.DDL.NI.KEENI.K.FF A93 B96 C99 D98 E98 F93 H98 I98 J97 K97 L96 M97 N97 
6 0 6 H.JBB.H.JCCMAA.L.M.DDL..I.KEENI.KFFN A93 B96 C99 D98 E98 F94 H98 I98 J97 K97 L96 M97 N96 
6 0 6 H.JBB.H.JCC.AA.L.M.DDL.MI.KEENI.KFFN A93 B96 C99 D98 E98 F94 H98 I98 J97 K97 L96 M96 N96 
6 0 6 H.JBB.H.JCC.AA.L.MDD.L.MI.KEENI.KFFN A93 B96 C99 D97 E98 F94 H98 I98 J97 K97 L96 M96 N96 
6 0 6 H.JBB.H.JCC.AA.L.MDDKL.MI.KEENI..FFN A93 B96 C99 D97 E98 F94 H98 I98 J97 K96 L96 M96 N96 
6 0 6 H.JBB.H.JCC.AA.L.MDDKL.MI.KEENIFF..N A93 B96 C99 D97 E98 F92 H98 I98 J97 K96 L96 M96 N96 
6 0 6 H.JBB.H.JCCMAA.L.MDDKL..I.KEENIFF..N A93 B96 C99 D97 E98 F92 H98 I98 J97 K96 L96 M95 N96 
6 0 6 H.JBB.H.JCCMAA.L.MDDKL..I.KEENI.FF.N A93 B96 C99 D97 E98 F91 H98 I98 J97 K96 L96 M95 N96 
6 0 6 H.JBB.H.JCCMAA.L.MDDKL.NI.KEENI.FF.. A93 B96 C99 D97 E98 F91 H98 I98 J97 K96 L96 M95 N95 
6 0 6 H.J.BBH.JCCMAA.L.MDDKL..I.KEENI.FF.N A93 B95 C99 D97 E98 F91 H98 I98 J97 K96 L96 M95 N96 
6 0 6 H.J.BBH.JCCMAA.L.MDDKL..I.KEENI..FFN A93 B95 C99 D97 E98 F90 H98 I98 J97 K96 L96 M95 N96 
6 0 6 H.J.BBH.JCCMAA.L.MDD.L..I.KEENI.KFFN A93 B95 C99 D97 E98 F90 H98 I98 J97 K95 L96 M95 N96 
6 0 6 H.J.BBH.JCCM.AAL.MDD.L..I.KEENI.KFFN A92 B95 C99 D97 E98 F90 H98 I98 J97 K95 L96 M95 N96 
6 0 6 H.J.BBH.JCCM.AAL.M.DDL..I.KEENI.KFFN A92 B95 C99 D96 E98 F90 H98 I98 J97 K95 L96 M95 N96 
6 0 6 H.J.BBH.JCC..AAL.M.DDL.MI.KEENI.KFFN A92 B95 C99 D96 E98 F90 H98 I98 J97 K95 L96 M94 N96 
6 0 6 H.J.BBH.J.CC.AAL.M.DDL.MI.KEENI.KFFN A92 B95 C98 D96 E98 F90 H98 I98 J97 K95 L96 M94 N96 
6 0 6 H.J.BBH.J.CC.AAL.MDD.L.MI.KEENI.KFFN A92 B95 C98 D95 E98 F90 H98 I98 J97 K95 L96 M94 N96 
6 0 6 H.J.BBH.J.CC.AAL.MDDKL.MI.KEENI..FFN A92 B95 C98 D95 E98 F90 H98 I98 J97 K94 L96 M94 N96 
6 0 6 H.J.BBH.J.CCAA.L.MDDKL.MI.KEENI..FFN A91 B95 C98 D95 E98 F90 H98 I98 J97 K94 L96 M94 N96 
6 0 6 H.J.BBH.J.CCAA.L.MDDKL.MI.KEENIFF..N A91 B95 C98 D95 E98 F88 H98 I98 J97 K94 L96 M94 N96 
6 0 6 H.J.BBH.J.CCAA.L.MDDKL.MI.KEENI.FF.N A91 B95 C98 D95 E98 F89 H98 I98 J97 K94 L96 M94 N96 
6 0 6 H.JBB.H.J.CCAA.L.MDDKL.MI.KEENI.FF.N A91 B94 C98 D95 E98 F89 H98 I98 J97 K94 L96 M94 N96 
6 0 6 H.J.BBH.JCC..AAL.MDDKL.MI.KEENI..FFN A92 B95 C97 D95 E98 F90 H98 I98 J97 K94 L96 M94 N96 
6 0 6 H.JBB.H.J.CC.AAL.MDDKL.MI.KEENI..FFN A92 B94 C98 D95 E98 F90 H98 I98 J97 K94 L96 M94 N96 
6 0 6 H.J.BBH.J.CCAA.L.MDD.L.MI.KEENI.KFFN A91 B95 C98 D95 E98 F90 H98 I98 J97 K95 L96 M94 N96 
6 0 6 H.JBB.H.J.CC.AAL.MDD.L.MI.KEENI.KFFN A92 B94 C98 D95 E98 F90 H98 I98 J97 K95 L96 M94 N96 
6 0 6 H.J.BBH.J.CCAA.L.M.DDL.MI.KEENI.KFFN A91 B95 C98 D96 E98 F90 H98 I98 J97 K95 L96 M94 N96 
6 0 6 H.JBB.H.J.CC.AAL.M.DDL.MI.KEENI.KFFN A92 B94 C98 D96 E98 F90 H98 I98 J97 K95 L96 M94 N96 
6 0 6 H.J.BBH.JCC..AAL.MDD.L.MI.KEENI.KFFN A92 B95 C99 D97 E98 F90 H98 I98 J97 K95 L96 M94 N96 
6 0 6 H.J.BBH.JCCM.AAL.MDDKL..I.KEENI..FFN A92 B95 C99 D97 E98 F90 H98 I98 J97 K96 L96 M95 N96 
6 0 6 H.JBB.H.JCCM.AAL.MDDKL..I.KEENI..FFN A92 B94 C99 D97 E98 F90 H98 I98 J97 K96 L96 M95 N96 
6 0 6 H.J.BBH.JCC.AA.L.MDDKL.MI.KEENI.FF.N A93 B95 C99 D97 E98 F91 H98 I98 J97 K96 L96 M94 N96 
6 0 6 H.JBB.H.JCCMAA.L.MDDKL.NI.KEENIFF... A93 B96 C99 D97 E98 F92 H98 I98 J97 K96 L96 M95 N95 
6 0 6 H.J.BBH.JCCMAA.L.MDDKL..I.KEENIFF..N A93 B95 C99 D97 E98 F92 H98 I98 J97 K96 L96 M95 N96 
6 0 6 H.JBB.H.J.CCAA.L.MDDKL.MI.KEENIFF..N A93 B96 C98 D97 E98 F92 H98 I98 J97 K96 L96 M96 N96 
6 0 6 H.J.BBH.JCC.AA.L.MDDKL.MI.KEENIFF..N A93 B95 C99 D97 E98 F92 H98 I98 J97 K96 L96 M96 N96 
6 0 6 H.JBB.H.JCC.AA.L.MDDKL.MI.KEENI.FF.N A93 B96 C99 D97 E98 F93 H98 I98 J97 K96 L96 M96 N96 
6 0 6 H.JBB.H.JCCMAA.L.MDDKL..I.KEENI..FFN A93 B96 C99 D97 E98 F94 H98 I98 J97 K96 L96 M95 N96 
6 0 6 H.JBB.H.JCC..AAL.MDDKL.MI.KEENI..FFN A92 B96 C99 D97 E98 F94 H98 I98 J97 K96 L96 M96 N96 
6 0 6 H.JBB.H.J.CCAA.L.MDDKL.MI.KEENI..FFN A93 B96 C98 D97 E98 F94 H98 I98 J97 K96 L96 M96 N96 
6 0 6 H.J.BBH.JCC.AA.L.MDDKL.MI.KEENI..FFN A93 B95 C99 D97 E98 F94 H98 I98 J97 K96 L96 M96 N96 
6 0 6 H.JBB.H.JCC..AAL.MDD.L.MI.KEENI.KFFN A92 B96 C99 D97 E98 F94 H98 I98 J97 K97 L96 M96 N96 
6 0 6 H.JBB.H.J.CCAA.L.MDD.L.MI.KEENI.KFFN A93 B96 C98 D97 E98 F94 H98 I98 J97 K97 L96 M96 N96 
6 0 6 H.J.BBH.JCC.AA.L.MDD.L.MI.KEENI.KFFN A93 B95 C99 D97 E98 F94 H98 I98 J97 K97 L96 M96 N96 
6 0 6 H.JBB.H.JCC..AAL.M.DDL.MI.KEENI.KFFN A92 B96 C99 D98 E98 F94 H98 I98 J97 K97 L96 M96 N96 
6 0 6 H.JBB.H.J.CCAA.L.M.DDL.MI.KEENI.KFFN A93 B96 C98 D98 E98 F94 H98 I98 J97 K97 L96 M96 N96 
6 0 6 H.J.BBH.JCC.AA.L.M.DDL.MI.KEENI.KFFN A93 B95 C99 D98 E98 F94 H98 I98 J97 K97 L96 M96 N96 
6 0 6 H.J.BBH.JCCMAA.L.M.DDL..I.KEENI.KFFN A93 B95 C99 D98 E98 F94 H98 I98 J97 K97 L96 M97 N96 
6 0 6 H.JBB.H.JCCMAA.L.MIDDL.NI.KEEN..KFF. A93 B96 C99 D98 E98 F94 H98 I97 J97 K97 L96 M97 N97 
6 0 6 H..BB.H.JCCMAAJL.M.DDL.NI.KEENI.KFF. A93 B96 C99 D98 E98 F94 H98 I98 J96 K97 L96 M97 N97 
6 0 6 H..BBMH.JCCMAAJL...DDL.NI.KEENI.KFF. A93 B96 C99 D98 E98 F94 H98 I98 J96 K97 L96 M96 N97 
6 0 6 H..BBMH.JCCMAAJL...DDL.NI.KEENI.K.FF A93 B96 C99 D98 E98 F93 H98 I98 J96 K97 L96 M96 N97 
6 0 6 H..BBMH.JCCMAAJL.N.DDL.NI.KEE.I.K.FF A93 B96 C99 D98 E98 F93 H98 I98 J96 K97 L96 M96 N96 
6 0 6 H..BBMH.JCCMAAJL.N.DDL.NI.K.EEI.K.FF A93 B96 C99 D98 E97 F93 H98 I98 J96 K97 L96 M96 N96 
6 0 6 H..BBMH.JCCMAAJL.N.DDL.NI.K.EEI.KFF. A93 B96 C99 D98 E97 F92 H98 I98 J96 K97 L96 M96 N96 
6 0 6 H..BBMH.JCCMAAJL.NDD.L.NI.K.EEI.KFF. A93 B96 C99 D97 E97 F92 H98 I98 J96 K97 L96 M96 N96 
6 0 6 H..BBMH.JCCMAAJL.NDD.L.NI.KEE.I.KFF. A93 B96 C99 D97 E96 F92 H98 I98 J96 K97 L96 M96 N96 
6 0 6 H.JBBMH.JCCMAA.L.NDD.L.NI.KEE.I.KFF. A93 B96 C99 D97 E96 F92 H98 I98 J95 K97 L96 M96 N96 
6 0 6 H.JBBMH.JCCMAA.L.NDD.L.NI.KEE.I.K.FF A93 B96 C99 D97 E96 F91 H98 I98 J95 K97 L96 M96 N96 
6 0 6 H.JBBMH.JCCMAA.L.NDD.L.NI.K.EEI.K.FF A93 B96 C99 D97 E95 F91 H98 I98 J95 K97 L96 M96 N96 
6 0 6 H.JBBMH.JCCMAA.L..DD.L.NI.KEENI.K.FF A93 B96 C99 D97 E96 F91 H98 I98 J95 K97 L96 M96 N95 
6 0 6 H.JBBMH.JCCMAA.L.N.DDL.NI.KEE.I.KFF. A93 B96 C99 D96 E96 F92 H98 I98 J95 K97 L96 M96 N96 
6 0 6 H.JBBMH.JCCM.AAL.NDD.L.NI.KEE.I.KFF. A92 B96 C99 D97 E96 F92 H98 I98 J95 K97 L96 M96 N96 
6 0 6 HBB..MH.JCCMAAJL.NDD.L.NI.KEE.I.KFF. A93 B94 C99 D97 E96 F92 H98 I98 J96 K97 L96 M96 N96 
6 0 6 HBB..MH.JCCMAAJL.NDD.L.NI.KEE.I.K.FF A93 B94 C99 D97 E96 F91 H98 I98 J96 K97 L96 M96 N96 
6 0 6 HBB..MH.JCCMAAJL.NDD.L.NI.K.EEI.K.FF A93 B94 C99 D97 E95 F91 H98 I98 J96 K97 L96 M96 N96 
6 0 6 H.BB.MH.JCCMAAJL.NDD.L.NI.K.EEI.K.FF A93 B93 C99 D97 E95 F91 H98 I98 J96 K97 L96 M96 N96 
6 0 6 HBB..MH.JCCMAAJL..DD.L.NI.KEENI.K.FF A93 B94 C99 D97 E96 F91 H98 I98 J96 K97 L96 M96 N95 
6 0 6 H.BB.MH.JCCMAAJL..DD.L.NI.KEENI.K.FF A93 B93 C99 D97 E96 F91 H98 I98 J96 K97 L96 M96 N95 
6 0 6 H.BB.MH.JCCMAAJL..DD.L.NI.KEENI.KFF. A93 B93 C99 D97 E96 F90 H98 I98 J96 K97 L96 M96 N95 
6 0 6 H.BB..H.JCCMAAJL.MDD.L.NI.KEENI.KFF. A93 B93 C99 D97 E96 F90 H98 I98 J96 K97 L96 M95 N95 
6 0 6 HBB...H.JCCMAAJL.MDD.L.NI.KEENI.KFF. A93 B92 C99 D97 E96 F90 H98 I98 J96 K97 L96 M95 N95 
6 0 6 H.BB.MH.JCCMAAJL.NDD.L.NI.KEE.I.K.FF A93 B93 C99 D97 E96 F91 H98 I98 J96 K97 L96 M96 N96 
6 0 6 HBB..MH.JCCMAAJL..DD.L.NI.KEENI.KFF. A93 B94 C99 D97 E96 F92 H98 I98 J96 K97 L96 M96 N95 
6 0 6 H.BB.MH.JCCMAAJL.NDD.L.NI.KEE.I.KFF. A93 B95 C99 D97 E96 F92 H98 I98 J96 K97 L96 M96 N96 
6 0 6 H.JBBMH.JCCMAA.L.NDD.L.NI.K.EEI.KFF. A93 B96 C99 D97 E97 F92 H98 I98 J95 K97 L96 M96 N96 
6 0 6 HBB..MH.JCCMAAJL.NDD.L.NI.K.EEI.KFF. A93 B94 C99 D97 E97 F92 H98 I98 J96 K97 L96 M96 N96 
6 0 6 H.BB.MH.JCCMAAJL.NDD.L.NI.K.EEI.KFF. A93 B95 C99 D97 E97 F92 H98 I98 J96 K97 L96 M96 N96 
6 0 6 H..BBMH.JCCMAAJL.NDD.L.NI.K.EEI.K.FF A93 B96 C99 D97 E97 F93 H98 I98 J96 K97 L96 M96 N96 
6 0 6 H..BBMH.JCCMAAJL.NDD.L.NI.KEE.I.K.FF A93 B96 C99 D97 E98 F93 H98 I98 J96 K97 L96 M96 N96 
6 0 6 H..BBMH.JCCMAAJL..DD.L.NI.KEENI.K.FF A93 B96 C99 D97 E98 F93 H98 I98 J96 K97 L96 M96 N97 
6 0 6 H..BBMH.JCCMAAJL.N.DDL.NI.KEE.I.KFF. A93 B96 C99 D98 E98 F94 H98 I98 J96 K97 L96 M96 N96 
6 0 6 H..BBMH.JCCMAAJL..DD.L.NI.KEENI.KFF. A93 B96 C99 D97 E98 F94 H98 I98 J96 K97 L96 M96 N97 
6 0 6 H.J.BBH.JCCMAA.L.M.DDL.NI.KEENI.KFF. A93 B95 C99 D98 E98 F94 H98 I98 J97 K97 L96 M97 N97 
6 0 6 H.JBB.H.JCCMAA.L.MDD.L.NI.KEENI.K.FF A93 B96 C99 D97 E98 F93 H98 I98 J97 K97 L96 M97 N97 
