10 0 10 ..CC.MDD.K.MAA.K.NIEEL.NI.JLGGHHJ... 
10 0 10 ..CC.MDD.K.MAA.K.NIEE..NI.JLGGHHJL.. L99 
10 0 10 ..CC.MDD.K.MAA.K.NI..EENI.JLGGHHJL.. E98 L99 
10 0 10 ..CC.MDD.K.MAA.K.NI.JEENI.JLGGHH.L.. E98 J99 L99 
10 0 10 ..CC.MDD.K.MAA.K.NI.JEENI.JLGG.HHL.. E98 H99 J99 L99 
10 0 10 ..CC.MDD.K.MAA.K.N..JEENI.JLGGIHHL.. E98 H99 I99 J99 L99 
10 0 10 ..CC.MDD.K.M.AAK.N..JEENI.JLGGIHHL.. A99 E98 H99 I99 J99 L99 
10 0 10 ..CC.MDD.K.MIAAK.NI.JEEN..JLGG.HHL.. A99 E98 H99 I97 J99 L99 
10 0 10 ..CC.MDD.K.MIAAK.NI.JEEN..JLGGHH.L.. A99 E98 H98 I97 J99 L99 
10 0 10 ..CC.MDD.K.MIAAK.NI..EEN..JLGGHHJL.. A99 E98 H98 I97 J98 L99 
10 0 10 ..CC.MDD.K.MIAAK.NIEE..N..JLGGHHJL.. A99 E96 H98 I97 J98 L99 
10 0 10 ..CC.MDD.K.MIAAK.NIEEL.N..JLGGHHJ... A99 E96 H98 I97 J98 L98 
10 0 10 ..CC.M.DDK.MIAAK.NIEEL.N..JLGGHHJ... A99 D99 E96 H98 I97 J98 L98 
10 0 10 ..CC.M.DDK.M.AAK.NIEEL.NI.JLGGHHJ... A99 D99 E96 H98 I96 J98 L98 
10 0 10 ..CC.M.DDK.M.AAK.NIEE..NI.JLGGHHJL.. A99 D99 E96 H98 I96 J98 L97 
10 0 10 ..CC.M.DDK.M.AAK.NI..EENI.JLGGHHJL.. A99 D99 E94 H98 I96 J98 L97 
10 0 10 ..CC.M.DDK.M.AAK.NI.JEENI.JLGGHH.L.. A99 D99 E94 H98 I96 J97 L97 
10 0 10 ..CC.M.DDK.M.AAK.NI.JEENI.JLGG.HHL.. A99 D99 E94 H97 I96 J97 L97 
10 0 10 I.CC.MIDDK.M.AAK.N..JEEN..JLGG.HHL.. A99 D99 E94 H97 I93 J97 L97 
10 0 10 I.CC.MIDDK.MAA.K.N..JEEN..JLGG.HHL.. A98 D99 E94 H97 I93 J97 L97 
10 0 10 I.CC.MIDDK.MAA.K.N..JEEN..JLGGHH.L.. A98 D99 E94 H96 I93 J97 L97 
10 0 10 I.CC.MIDDK.MAA.K.N...EEN..JLGGHHJL.. A98 D99 E94 H96 I93 J96 L97 
10 0 10 I.CC.MIDDK.MAA.K.NEE...N..JLGGHHJL.. A98 D99 E91 H96 I93 J96 L97 
10 0 10 I.CC.MIDDK.MAA.K.NEE.L.N..JLGGHHJ... A98 D99 E91 H96 I93 J96 L96 
10 0 10 I.CC.MIDDK.MAA.K.NEEJL.N..JLGGHH.... A98 D99 E91 H96 I93 J95 L96 
10 0 10 I.CC.MIDDK.MAA.K.NEEJL.N..JLGG....HH A98 D99 E91 H92 I93 J95 L96 
10 0 10 I.CC.MIDDK.MAA.K.NEEJ..N..JLGG...LHH A98 D99 E91 H92 I93 J95 L95 
10 0 10 I.CC.MIDDK.MAA.K.NEE...N..JLGG..JLHH A98 D99 E91 H92 I93 J94 L95 
10 0 10 I.CC.MIDDK.MAA.K.N...EEN..JLGG..JLHH A98 D99 E88 H92 I93 J94 L95 
10 0 10 I.CC.MIDDK.MAA.K.N..JEEN..JLGG...LHH A98 D99 E88 H92 I93 J93 L95 
10 0 10 I.CC.MIDDK.M.AAK.N..JEEN..JLGG...LHH A97 D99 E88 H92 I93 J93 L95 
10 0 10 ..CC.M.DDK.M.AAK.N..JEENI.JLGGI..LHH A97 D99 E88 H92 I89 J93 L95 
10 0 10 ..CC.M.DDK.M.AAK.N...EENI.JLGGI.JLHH A97 D99 E88 H92 I89 J92 L95 
10 0 10 ..CC.MIDDK.MIAAK.N...EEN..JLGG..JLHH A97 D99 E88 H92 I86 J92 L95 
10 0 10 ..CC.MIDDK.MIAAK.NEE...N..JLGG..JLHH A97 D99 E85 H92 I86 J92 L95 
10 0 10 ..CC.MIDDK.MIAAK.NEE.L.N..JLGG..J.HH A97 D99 E85 H92 I86 J92 L94 
10 0 10 ..CC.MIDDK.MIAAK.NEE.L.N..JLGG..JHH. A97 D99 E85 H91 I86 J92 L94 
10 0 10 ..CC.MIDDK.MIAAK.NEEJL.N..JLGG...HH. A97 D99 E85 H91 I86 J91 L94 
10 0 10 ..CC.MIDDK.MIAAK.NEEJL.N..JLGGHH.... A97 D99 E85 H88 I86 J91 L94 
10 0 10 ..CC.MIDDK.MIAAK.NEEJ..N..JLGGHH.L.. A97 D99 E85 H88 I86 J91 L93 
10 0 10 ..CC.MIDDK.MIAAK.NEEJ..N..JLGG.HHL.. A97 D99 E85 H87 I86 J91 L93 
10 0 10 ..CC.MIDD..MIAAK.NEEJK.N..JLGG.HHL.. A97 D99 E85 H87 I86 J91 K99 L93 
10 0 10 ..CC.MI..DDMIAAK.NEEJK.N..JLGG.HHL.. A97 D97 E85 H87 I86 J91 K99 L93 
10 0 10 ..CC.MI..DDMIAAK.NEEJK.N..JLGGHH.L.. A97 D97 E85 H86 I86 J91 K99 L93 
10 0 10 ..CC.MI..DDMIAAK.NEE.K.N..JLGGHHJL.. A97 D97 E85 H86 I86 J90 K99 L93 
10 0 10 ..CC.MI..DDMIAAK.N.EEK.N..JLGGHHJL.. A97 D97 E84 H86 I86 J90 K99 L93 
10 0 10 ..CC.M...DDM.AAK.NIEEK.NI.JLGGHHJL.. A97 D97 E84 H86 I84 J90 K99 L93 
10 0 10 ..CC.M...DDMAA.K.NIEEK.NI.JLGGHHJL.. A96 D97 E84 H86 I84 J90 K99 L93 
10 0 10 ..CC.M.DD..MAA.K.NIEEK.NI.JLGGHHJL.. A96 D95 E84 H86 I84 J90 K99 L93 
5 0 5 CC.K.MDD.K.M...AANEE...NI.JLGGI.JLHH A89 C96 D94 E73 H72 I73 J76 K97 L83 
5 0 5 CC.K.MDD.K.M...AAN...EENI.JLGGI.JLHH A89 C96 D94 E70 H72 I73 J76 K97 L83 
5 0 5 CCJK.MDDJK.M...AAN...EENI..LGGI..LHH A89 C96 D94 E70 H72 I73 J72 K97 L83 
5 0 5 CCJK.MDDJK.MI..AANI..EEN...LGG...LHH A89 C96 D94 E70 H72 I71 J72 K97 L83 
5 0 5 CCJK.MDDJK.MI..AANIEE..N...LGG...LHH A89 C96 D94 E68 H72 I71 J72 K97 L83 
5 0 5 CCJK.MDDJK.MI..AANIEEL.N...LGG....HH A89 C96 D94 E68 H72 I71 J72 K97 L82 
5 0 5 CCJK.MDDJK.MI..AANIEEL.N...LGGHH.... A89 C96 D94 E68 H68 I71 J72 K97 L82 
5 0 5 CCJK.MDDJK.MI..AANIEE..N...LGGHH.L.. A89 C96 D94 E68 H68 I71 J72 K97 L81 
5 0 5 CCJK.MDDJK.MI..AANIEE..N...LGG.HHL.. A89 C96 D94 E68 H67 I71 J72 K97 L81 
5 0 5 CCJK.MDDJK.MI..AANI..EEN...LGG.HHL.. A89 C96 D94 E66 H67 I71 J72 K97 L81 
5 0 5 CCJK.MDDJK.M...AAN...EENI..LGGIHHL.. A89 C96 D94 E66 H67 I69 J72 K97 L81 
5 0 5 CCJK.MDDJK.M...AAN..EE.NI..LGGIHHL.. A89 C96 D94 E65 H67 I69 J72 K97 L81 
5 0 5 CCJK.MDDJK.M...AANI.EE.NI..LGG.HHL.. A89 C96 D94 E65 H67 I68 J72 K97 L81 
5 0 5 CCJK.MDDJK.M...AANI.EE.NI..LGGHH.L.. A89 C96 D94 E65 H66 I68 J72 K97 L81 
5 0 5 CCJK.MDDJK.M...AANI..EENI..LGGHH.L.. A89 C96 D94 E64 H66 I68 J72 K97 L81 
5 0 5 CCJK.MDDJK.MAA...NI..EENI..LGGHH.L.. A86 C96 D94 E64 H66 I68 J72 K97 L81 
5 0 5 CCJK.MDDJK.MAA...NI..EENI..LGG.HHL.. A86 C96 D94 E64 H65 I68 J72 K97 L81 
5 0 5 CCJK.MDDJK.MAA...NIEE..NI..LGG.HHL.. A86 C96 D94 E62 H65 I68 J72 K97 L81 
5 0 5 CCJK.MDDJK.MAA...NIEEL.NI..LGG.HH... A86 C96 D94 E62 H65 I68 J72 K97 L80 
5 0 5 CCJK.MDDJK.MAA...NIEEL.NI..LGG....HH A86 C96 D94 E62 H62 I68 J72 K97 L80 
5 0 5 CCJK.MDDJK.MAA...NIEE..NI..LGG...LHH A86 C96 D94 E62 H62 I68 J72 K97 L79 
5 0 5 CCJK.MDDJK.MAA...N.EE..NI..LGGI..LHH A86 C96 D94 E62 H62 I67 J72 K97 L79 
5 0 5 CCJK.MDDJK.MAA...N..EE.NI..LGGI..LHH A86 C96 D94 E61 H62 I67 J72 K97 L79 
5 0 5 CCJK.MDDJK.M..AA.N..EE.NI..LGGI..LHH A84 C96 D94 E61 H62 I67 J72 K97 L79 
5 0 5 CCJK.MDDJK.MI.AA.NI.EE.N...LGG...LHH A84 C96 D94 E61 H62 I65 J72 K97 L79 
5 0 5 CCJK.MDDJK.MIAA..NI.EE.N...LGG...LHH A83 C96 D94 E61 H62 I65 J72 K97 L79 
5 0 5 CCJK.MDDJK.M.AA..NI.EE.NI..LGG...LHH A83 C96 D94 E61 H62 I64 J72 K97 L79 
5 0 5 CCJK.MDDJK.M.AA..NI..EENI..LGG...LHH A83 C96 D94 E60 H62 I64 J72 K97 L79 
5 0 5 CCJK.MDDJK.M..AA.NI..EENI..LGG...LHH A82 C96 D94 E60 H62 I64 J72 K97 L79 
5 0 5 CCJK.MDDJK.M...AANI.EE.NI..LGG...LHH A81 C96 D94 E61 H62 I64 J72 K97 L79 
5 0 5 CC.K.MDDJK.M..JAANI.EE.NI..LGG...LHH A81 C96 D94 E61 H62 I64 J71 K97 L79 
5 0 5 CC.K.MDDJK.M..JAAN..EE.NI..LGGI..LHH A81 C96 D94 E61 H62 I63 J71 K97 L79 
5 0 5 CC.K.MDDJK.M..JAAN.EE..NI..LGGI..LHH A81 C96 D94 E60 H62 I63 J71 K97 L79 
5 0 5 CC.K.MDDJK.M..JAAN.EEL.NI..LGGI...HH A81 C96 D94 E60 H62 I63 J71 K97 L78 
5 0 5 CC.K.MDDJK.M..JAAN.EEL.NI..LGGIHH... A81 C96 D94 E60 H59 I63 J71 K97 L78 
5 0 5 CC.K.MDDJK.M..JAAN.EE..NI..LGGIHHL.. A81 C96 D94 E60 H59 I63 J71 K97 L77 
5 0 5 CC.K.MDDJK.M..JAANIEE..NI..LGG.HHL.. A81 C96 D94 E60 H59 I62 J71 K97 L77 
5 0 5 CC.K.MDDJK.M..JAANIEE..NI..LGGHH.L.. A81 C96 D94 E60 H58 I62 J71 K97 L77 
5 0 5 CC.K.MDDJK.M..JAANIEEL.NI..LGGHH.... A81 C96 D94 E60 H58 I62 J71 K97 L76 
5 0 5 CC.K.MDDJK.M..JAANIEEL.NI..LGG...HH. A81 C96 D94 E60 H55 I62 J71 K97 L76 
5 0 5 CC.K.MDDJK.MI.JAANIEEL.N...LGG...HH. A81 C96 D94 E60 H55 I61 J71 K97 L76 
5 0 5 CC.K.MDDJK.MI.JAANIEEL.N...LGG..HH.. A81 C96 D94 E60 H54 I61 J71 K97 L76 
5 0 5 .CCK.MDDJK.MI.JAANIEEL.N...LGG..HH.. A81 C95 D94 E60 H54 I61 J71 K97 L76 
5 0 5 .CCK.MDDJK.MI.JAANIEEL.N...LGG....HH A81 C95 D94 E60 H52 I61 J71 K97 L76 
5 0 5 .CCK.MDDJK.MI.JAANIEE..N...LGG...LHH A81 C95 D94 E60 H52 I61 J71 K97 L75 
5 0 5 .CCK.MDDJK.MI.JAANI..EEN...LGG...LHH A81 C95 D94 E58 H52 I61 J71 K97 L75 
5 0 5 .CCK.MDDJK.M..JAAN...EENI..LGGI..LHH A81 C95 D94 E58 H52 I59 J71 K97 L75 
5 0 5 .CCK.MDDJK.M..JAANEE...NI..LGGI..LHH A81 C95 D94 E55 H52 I59 J71 K97 L75 
5 0 5 .CCK.MDDJK.M..JAANEE.L.NI..LGGI...HH A81 C95 D94 E55 H52 I59 J71 K97 L74 
5 0 5 .CCK.MDDJK.M..JAANEE.L.NI..LGGIHH... A81 C95 D94 E55 H49 I59 J71 K97 L74 
5 0 5 .CCK.MDDJK.M..JAANEE...NI..LGGIHHL.. A81 C95 D94 E55 H49 I59 J71 K97 L73 
5 0 5 .CCK.MDDJK.M..JAAN...EENI..LGGIHHL.. A81 C95 D94 E52 H49 I59 J71 K97 L73 
5 0 5 .CCK.MDDJK.MI.JAANI..EEN...LGG.HHL.. A81 C95 D94 E52 H49 I57 J71 K97 L73 
5 0 5 .CCK.MDDJK.MI.JAANI..EEN...LGGHH.L.. A81 C95 D94 E52 H48 I57 J71 K97 L73 
5 0 5 .CCK.MDDJK.MI.JAANIEE..N...LGGHH.L.. A81 C95 D94 E50 H48 I57 J71 K97 L73 
5 0 5 .CCK.MDDJK.MI.JAANI.EE.N...LGGHH.L.. A81 C95 D94 E51 H48 I57 J71 K97 L73 
5 0 5 .CCK.MDDJK.M..JAANI.EE.NI..LGGHH.L.. A81 C95 D94 E51 H48 I56 J71 K97 L73 
5 0 5 .CCK.MDDJK.M..JAANI.EE.NI..LGG.HHL.. A81 C95 D94 E51 H47 I56 J71 K97 L73 
5 0 5 CC.K.MDDJK.MI.JAANI.EE.N...LGGHH.L.. A81 C94 D94 E51 H48 I57 J71 K97 L73 
5 0 5 CC.K.MDDJK.MI.JAANI.EE.N...LGG.HHL.. A81 C94 D94 E51 H47 I57 J71 K97 L73 
5 0 5 .CCK.MDDJK.M..JAANI..EENI..LGGHH.L.. A81 C95 D94 E52 H48 I56 J71 K97 L73 
5 0 5 .CCK.MDD.K.M...AANI..EENI.JLGGHHJL.. A81 C95 D94 E52 H48 I56 J68 K97 L73 
5 0 5 .CCK.MDD.K.M...AANIEE..NI.JLGGHHJL.. A81 C95 D94 E50 H48 I56 J68 K97 L73 
5 0 5 .CCK.MDD.K.M...AANIEEL.NI.JLGGHHJ... A81 C95 D94 E50 H48 I56 J68 K97 L72 
5 0 5 .CCK.MDD.K.MI..AANIEEL.N..JLGGHHJ... A81 C95 D94 E50 H48 I55 J68 K97 L72 
5 0 5 .CCK.MDD.K.MIAA..NIEEL.N..JLGGHHJ... A79 C95 D94 E50 H48 I55 J68 K97 L72 
5 0 5 .CCK.MDD.K.MIAA..NIEE..N..JLGGHHJL.. A79 C95 D94 E50 H48 I55 J68 K97 L71 
5 0 5 .CCK.MDD.K.MIAA..NI..EEN..JLGGHHJL.. A79 C95 D94 E48 H48 I55 J68 K97 L71 
5 0 5 .CCK.MDD.K.MIAA..NI.JEEN..JLGGHH.L.. A79 C95 D94 E48 H48 I55 J67 K97 L71 
5 0 5 .CCK.MDD.K.MIAA..NI.JEEN..JLGG.HHL.. A79 C95 D94 E48 H47 I55 J67 K97 L71 
5 0 5 .CCK.MDD.K.M.AA..N..JEENI.JLGGIHHL.. A79 C95 D94 E48 H47 I53 J67 K97 L71 
5 0 5 .CCK.MDD.K.M..AA.N..JEENI.JLGGIHHL.. A78 C95 D94 E48 H47 I53 J67 K97 L71 
5 0 5 .CCK.MDD.K.M..AA.NI.JEENI.JLGG.HHL.. A78 C95 D94 E48 H47 I52 J67 K97 L71 
5 0 5 .CCK.MDD.K.M..AA.NI.JEENI.JLGGHH.L.. A78 C95 D94 E48 H46 I52 J67 K97 L71 
5 0 5 .CCK.MDD.K.MAA...NI.JEENI.JLGGHH.L.. A76 C95 D94 E48 H46 I52 J67 K97 L71 
5 0 5 .CCK.M.DDK.M..AA.NI.JEENI.JLGGHH.L.. A78 C95 D93 E48 H46 I52 J67 K97 L71 
5 0 5 .CCK.M.DDK.M..AA.NI..EENI.JLGGHHJL.. A78 C95 D93 E48 H46 I52 J66 K97 L71 
5 0 5 .CCK.M.DDK.M..AA.NIEE..NI.JLGGHHJL.. A78 C95 D93 E46 H46 I52 J66 K97 L71 
