8 0 8 ......CCI..LH.IAALHDDK.LEEJK....JGGG 
7 0 7 ..I...CCI..LH..AALHDDK.LEEJK....JGGG I99 
7 0 7 ..I...CCI...H..AALHDDK.LEEJK.L..JGGG I99 L99 
7 0 7 ..I...CCI...HAA..LHDDK.LEEJK.L..JGGG A98 I99 L99 
6 0 6 ..IK..CCIK..HAA..LHDD..LEEJ..L..JGGG A98 I99 K97 L99 
5 0 5 ..IK..CCIK..HAA..LH..DDLEEJ..L..JGGG A98 D98 I99 K97 L99 
5 0 5 ..IK..CCIK..HAA..LH.JDDLEEJ..L...GGG A98 D98 I99 J99 K97 L99 
4 0 4 ..IK.LCCIK.LHAA..LH.JDD.EEJ......GGG A98 D98 I99 J99 K97 L97 
4 0 4 ..IK.LCCIK.LH..AALH.JDD.EEJ......GGG A96 D98 I99 J99 K97 L97 
4 0 4 ..IK.LCCIK.LH..AALH.JDD.EEJ...GGG... A96 D98 G97 I99 J99 K97 L97 
4 0 4 ..IK.LCCIK.LH..AALH.JDD.EEJ....GGG.. A96 D98 G98 I99 J99 K97 L97 
4 0 4 ..IK.LCCIK.LH..AALH.JDD.EEJ.....GGG. A96 D98 G99 I99 J99 K97 L97 
5 0 5 ..IK.LCCIK.LH..AALH.J.DDEEJ.....GGG. A96 D97 G99 I99 J99 K97 L97 
5 0 5 ..IK.LCCIK.LH.JAALH.JDD.EE......GGG. A96 D98 G99 I99 J98 K97 L97 
4 0 4 ..IK.LCCIK.LH.JAALH.JDD.....EE..GGG. A96 D98 E96 G99 I99 J98 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...J.EE..GGG. A96 D98 E96 G99 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...J.EE...GGG A96 D98 E96 G98 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...JEE....GGG A96 D98 E95 G98 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...JEE.GGG... A96 D98 E95 G95 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...J.EE.GGG.. A96 D98 E96 G98 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...JEE...GGG. A96 D98 E95 G99 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.L...AAL..JDD.H.J.EEH.GGG. A96 D98 E96 G99 H98 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.L...AALH.JDD.H.J.EE..GGG. A96 D98 E96 G99 H99 I99 J97 K97 L97 
3 0 3 ..IK.LCCIK.LH..AALH.J.DD..JEE...GGG. A96 D97 E95 G99 I99 J97 K97 L97 
3 0 3 ..IK..CCIK.LH..AALH.JDDL..JEE...GGG. A96 D98 E95 G99 I99 J97 K97 L96 
3 0 3 ..IK.LCCIK.LH..AALH.J.DD..J.EE.GGG.. A96 D97 E96 G98 I99 J97 K97 L97 
3 0 3 ..IK..CCIK.LH..AALH.JDDL..J.EE.GGG.. A96 D98 E96 G98 I99 J97 K97 L96 
3 0 3 ..IK.LCCIK.LH..AALH.J.DD..J.EEGGG... A96 D97 E96 G97 I99 J97 K97 L97 
3 0 3 ..IK..CCIK.LH..AALH.JDDL..J.EEGGG... A96 D98 E96 G97 I99 J97 K97 L96 
3 0 3 ..IK.LCCIK.LHAA..LH.JDD...J.EEGGG... A94 D98 E96 G95 I99 J97 K97 L97 
3 0 3 ..IK.LCCIK.LHAA..LH.JDD...J.EE.GGG.. A94 D98 E96 G96 I99 J97 K97 L97 
3 0 3 ..IK.LCCIK.LHAA..LH..DD...J.EE..JGGG A94 D98 E96 G98 I99 J96 K97 L97 
3 0 3 ..IK..CCIK.LHAA..LH..DDL..J.EE..JGGG A94 D98 E96 G98 I99 J96 K97 L96 
3 0 3 ..IK..CCIK.LHAA..LH..DDL..JEE...JGGG A94 D98 E95 G98 I99 J96 K97 L96 
3 0 3 ..IK..CCIK.LH..AALH..DDL..JEE...JGGG A92 D98 E95 G98 I99 J96 K97 L96 
3 0 3 ..IK..CCIK.LH..AALH..DDL..J.EE..JGGG A92 D98 E96 G98 I99 J96 K97 L96 
3 0 3 ..IK.LCCIK.LHAA..LH.J.DD..J.EE...GGG A94 D97 E96 G98 I99 J97 K97 L97 
3 0 3 ..IK..CCIK.LHAA..LH.JDDL..J.EE...GGG A94 D98 E96 G98 I99 J97 K97 L96 
3 0 3 ...K.LCCIK.L..IAALH.JDD.H.J.EE...GGG A96 D98 E96 G98 H99 I98 J97 K97 L97 
3 0 3 ...K.LCCIK.L..IAAL..JDD.H.J.EEH..GGG A96 D98 E96 G98 H98 I98 J97 K97 L97 
3 0 3 ..IK.LCCIK.LHAA..LH.JDD...JEE...GGG. A94 D98 E95 G97 I99 J97 K97 L97 
3 0 3 ..IK.LCCIK.LHAA..LH..DD...JEE...JGGG A94 D98 E95 G98 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.LHAA..LH.J.DD..JEE....GGG A94 D97 E95 G98 I99 J97 K97 L97 
3 0 3 ..IK..CCIK.LHAA..LH.JDDL..JEE....GGG A94 D98 E95 G98 I99 J97 K97 L96 
3 0 3 ...K.LCCIK.L..IAALH.JDD.H.JEE....GGG A96 D98 E95 G98 H99 I98 J97 K97 L97 
3 0 3 ...K.LCCIK.L..IAAL..JDD.H.JEE.H..GGG A96 D98 E95 G98 H98 I98 J97 K97 L97 
3 0 3 ..IK.LCCIK.LH..AALH.J.DD..JEE..GGG.. A96 D97 E95 G96 I99 J97 K97 L97 
3 0 3 ..IK..CCIK.LH..AALH.JDDL..JEE..GGG.. A96 D98 E95 G96 I99 J97 K97 L96 
3 0 3 ..IK.LCCIK.LHAA..LH.JDD...JEE..GGG.. A94 D98 E95 G96 I99 J97 K97 L97 
3 0 3 ..IK.LCCIK.L...AALH.J.DDH.J.EEGGG... A96 D97 E94 G95 H99 I99 J97 K97 L97 
3 0 3 ..IK..CCIK.L...AALH.JDDLH.J.EEGGG... A96 D98 E94 G95 H99 I99 J97 K97 L96 
3 0 3 ..IK..CCIK.L...AALH.JDDLH.JEE....GGG A90 D98 E95 G92 H99 I99 J97 K97 L96 
3 0 3 ..IK..CCIK.L.AA..LH.JDDLH.JEE....GGG A92 D98 E95 G92 H99 I99 J97 K97 L96 
3 0 3 ...K..CCIK.LAAI..LH.JDDLH.JEE....GGG A93 D98 E95 G92 H99 I98 J97 K97 L96 
3 0 3 ..IK.LCCIK.L...AALH.J.DDH.JEE....GGG A90 D97 E95 G92 H99 I99 J97 K97 L97 
3 0 3 ..IK.LCCIK.L.AA..LH.J.DDH.JEE....GGG A92 D97 E95 G92 H99 I99 J97 K97 L97 
3 0 3 ...K.LCCIK.LAAI..LH.J.DDH.JEE....GGG A93 D97 E95 G92 H99 I98 J97 K97 L97 
3 0 3 ..IK.LCCIK.LAA...LH...DDH.JEE...JGGG A93 D97 E95 G92 H99 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.LAA...LHDD...H.JEE...JGGG A93 D96 E95 G92 H99 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.LAA...LH.DD..H.JEE...JGGG A93 D97 E95 G92 H99 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.L...AALH..DD.H.JEE...JGGG A90 D98 E95 G92 H99 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.L.AA..LH..DD.H.JEE...JGGG A92 D98 E95 G92 H99 I99 J96 K97 L97 
3 0 3 ...K.LCC.K.LAAI..LH.IDD.H.JEE...JGGG A93 D98 E95 G92 H99 I97 J96 K97 L97 
3 0 3 ...K.LCCIK.LAAI..LH..DD.H.JEE...JGGG A93 D98 E95 G92 H99 I98 J96 K97 L97 
3 0 3 ..IK..CCIK.L...AALH.JDDLH.J.EE...GGG A90 D98 E94 G92 H99 I99 J97 K97 L96 
3 0 3 ..IK..CCIK.L.AA..LH.JDDLH.J.EE...GGG A92 D98 E94 G92 H99 I99 J97 K97 L96 
3 0 3 ...K..CCIK.LAAI..LH.JDDLH.J.EE...GGG A93 D98 E94 G92 H99 I98 J97 K97 L96 
3 0 3 ..IK.LCCIK.L...AALH.J.DDH.J.EE...GGG A90 D97 E94 G92 H99 I99 J97 K97 L97 
3 0 3 ..IK.LCCIK.L.AA..LH.J.DDH.J.EE...GGG A92 D97 E94 G92 H99 I99 J97 K97 L97 
3 0 3 ...K.LCCIK.LAAI..LH.J.DDH.J.EE...GGG A93 D97 E94 G92 H99 I98 J97 K97 L97 
3 0 3 ..IK.LCCIK.LAA...LH...DDH.J.EE..JGGG A93 D97 E94 G92 H99 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.LAA...LHDD...H.J.EE..JGGG A93 D96 E94 G92 H99 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.LAA...LH.DD..H.J.EE..JGGG A93 D97 E94 G92 H99 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.L...AALH..DD.H.J.EE..JGGG A90 D98 E94 G92 H99 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.L.AA..LH..DD.H.J.EE..JGGG A92 D98 E94 G92 H99 I99 J96 K97 L97 
3 0 3 ...K.LCC.K.LAAI..LH.IDD.H.J.EE..JGGG A93 D98 E94 G92 H99 I97 J96 K97 L97 
3 0 3 ...K.LCCIK.LAAI..LH..DD.H.J.EE..JGGG A93 D98 E94 G92 H99 I98 J96 K97 L97 
